,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2340,PLXNA4_code_potential_somatic,ENSG00000198914,2340,1.0,1.310084153529462,-0.3652198141191266,9.819024671935763e-19,-5.004932501792379,1.7364073853683435,0.5
1088,PLXNA4_code_potential_somatic,ENSG00000163848,1088,1.0,1.7663186959470627,0.2502557088873085,2.854922798952659e-09,4.354290705848761,1.5254047748374366,1.0
2891,PLXNA4_code_potential_somatic,ENSG00000125482,2891,1.0,2.9753395085744154,0.4344523709885133,1.2338505384305904e-26,5.914805913638419,2.4329180738955754,1.0
1676,PLXNA4_code_potential_somatic,ENSG00000143190,1676,1.0,3.673854155886886,-0.29469739213029883,1.9241898424707e-12,-4.04800127880515,1.5146336797631337,1.0
2907,PLXNA4_code_potential_somatic,ENSG00000109381,2907,1.0,2.0585512522942753,0.18369366647715005,1.51006793607657e-05,4.55970372003411,1.5385837392001998,0.5
2915,PLXNA4_code_potential_somatic,ENSG00000109381,2915,1.0,2.0585512522942753,0.31997740676077746,1.640065020794619e-14,3.4889515130433217,1.4857192231438914,0.5
1502,PLXNA4_code_potential_somatic,ENSG00000185591,1502,1.0,1.310084153529462,-0.2805109904689695,2.288784017892297e-11,-5.403067721141493,1.921006344705712,1.0
2852,PLXNA4_code_potential_somatic,ENSG00000116132,2852,1.0,1.3286863032773208,0.46282313257770236,1.9242422559129766e-30,3.159925068058609,1.5246257518548363,1.0
2853,PLXNA4_code_potential_somatic,ENSG00000116132,2853,1.0,1.3286863032773208,0.4501575306750401,1.0668697629079217e-28,3.3153290941249622,1.5903742622966655,1.0
1180,PLXNA4_code_potential_somatic,ENSG00000100811,1180,1.0,3.325641594618893,0.35689748973974245,6.624743754004093e-18,5.576534854513217,6.821289018080431,0.6666666666666666
1200,PLXNA4_code_potential_somatic,ENSG00000100811,1200,1.0,3.325641594618893,0.3719153873565801,2.02867539310328e-19,4.29301720730775,1.7943740139740603,0.6666666666666666
919,PLXNA4_code_potential_somatic,ENSG00000106459,919,1.0,3.131861680785425,0.6639871102449301,6.013057518937056e-71,4.4556970482218405,4.630366632526148,1.0
