,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2318,PNPLA7_code_potential_somatic,ENSG00000135457,2318,1.0,1.7035955597558257,0.36490429337901564,1.0566881936261309e-18,4.283519514609859,1.607977272531308,1.0
366,PNPLA7_code_potential_somatic,ENSG00000163497,366,-1.0,1.891109297081154,0.2894018731355593,4.928790824080555e-12,-2.2261673881067114,1.5420576505577797,1.0
368,PNPLA7_code_potential_somatic,ENSG00000163497,368,-1.0,1.891109297081154,-0.2799891086086114,2.5004418102251358e-11,16.546686737246684,41.01761918287246,1.0
2946,PNPLA7_code_potential_somatic,ENSG00000100644,2946,1.0,1.3085331024443456,0.4403489701678677,2.1341629499025122e-27,5.301764998395202,2.5262218304676582,1.0
1073,PNPLA7_code_potential_somatic,ENSG00000163848,1073,1.0,2.291183804863111,0.13825590897718854,0.0011757745851098044,3.627955405948663,1.324337149590548,1.0
1088,PNPLA7_code_potential_somatic,ENSG00000163848,1088,1.0,2.291183804863111,0.2502557088873085,2.854922798952659e-09,4.545863982402977,1.6899360326048578,1.0
515,PNPLA7_code_potential_somatic,ENSG00000120690,515,1.0,2.9449624160611125,0.5845918979494944,1.5342715639809988e-51,3.949101886234541,1.45400461918188,1.0
527,PNPLA7_code_potential_somatic,ENSG00000120690,527,1.0,2.9449624160611125,0.22971441180174448,5.3856206155533787e-08,4.625508731647948,2.40860505657351,1.0
511,PNPLA7_code_potential_somatic,ENSG00000120690,511,1.0,2.9449624160611125,0.39671931349337175,4.237543695205365e-22,6.846519281064702,4.114359230012938,1.0
1095,PNPLA7_code_potential_somatic,ENSG00000176887,1095,-1.0,1.3625648532266117,-0.19735774896551567,3.2344417563205297e-06,3.1606115915177524,1.5163157713068387,0.75
1097,PNPLA7_code_potential_somatic,ENSG00000176887,1097,-1.0,1.3625648532266117,-0.24564299546509125,5.652251202870115e-09,4.241360017231888,1.7640489424647672,0.75
1096,PNPLA7_code_potential_somatic,ENSG00000176887,1096,-1.0,1.3625648532266117,0.6240930966293388,1.6996737217440208e-60,-3.9492402272406193,1.7192281774321183,0.75
156,PNPLA7_code_potential_somatic,ENSG00000178573,156,1.0,1.4122098822946225,0.32717787151765043,3.8762285888200216e-15,2.9735033581420756,1.6007405112986623,0.5
1762,PNPLA7_code_potential_somatic,ENSG00000116017,1762,1.0,1.5674030030207298,0.28234636302006505,1.6744588625687378e-11,5.221311920779297,5.0267655479717455,1.0
3011,PNPLA7_code_potential_somatic,ENSG00000157554,3011,1.0,1.7890740869980193,0.14389597892989395,0.0007290239167428797,4.817334813255073,1.7819910443132945,1.0
3481,PNPLA7_code_potential_somatic,ENSG00000203883,3481,1.0,2.4288034054771943,0.29219918539209705,3.0061923892346764e-12,4.857356439005106,2.001158796610983,1.0
3376,PNPLA7_code_potential_somatic,ENSG00000137273,3376,1.0,1.9693275192098418,0.4518914728241265,6.218274453371455e-29,2.856176274016882,1.3464079407930005,1.0
3386,PNPLA7_code_potential_somatic,ENSG00000137273,3386,1.0,1.9693275192098418,0.27798616827661,3.505019553240817e-11,7.091153591162806,2.283958118206728,1.0
3380,PNPLA7_code_potential_somatic,ENSG00000137273,3380,1.0,1.9693275192098418,0.19389372937712473,4.830213117931984e-06,3.2917303406219833,2.1781578711701286,1.0
422,PNPLA7_code_potential_somatic,ENSG00000109320,422,1.0,1.3482209595211438,0.5718680337238952,6.554258150111092e-49,2.726616564676875,1.4182480623463458,0.6666666666666666
408,PNPLA7_code_potential_somatic,ENSG00000109320,408,1.0,1.3482209595211438,0.603470057285937,1.1536500798029471e-55,3.7345063862404113,1.8478454581836425,0.6666666666666666
2860,PNPLA7_code_potential_somatic,ENSG00000116132,2860,1.0,2.8572053458387505,-0.23366224930338605,3.1266436270945316e-08,-4.071876238411454,2.980077591199491,1.0
2858,PNPLA7_code_potential_somatic,ENSG00000116132,2858,1.0,2.8572053458387505,0.4159127018937151,2.4650185837316205e-24,3.9673893507460027,1.7344542943792982,1.0
2862,PNPLA7_code_potential_somatic,ENSG00000116132,2862,1.0,2.8572053458387505,0.4682527581449306,3.26621149209739e-31,4.724206636013013,1.6166697840729842,1.0
859,PNPLA7_code_potential_somatic,ENSG00000084093,859,1.0,2.4760010772275183,-0.2206731784838919,1.8037968454357987e-07,-10.470476022937527,10.318553290595874,1.0
864,PNPLA7_code_potential_somatic,ENSG00000084093,864,1.0,2.4760010772275183,0.3032009932741654,4.0773341969062565e-13,7.706405776601144,3.458442781536744,1.0
