,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1036,POF1B_code_potential_somatic,ENSG00000137203,1036,-1.0,7.4467628437083375,-0.2227410898933683,1.3742325448913637e-07,4.4232385097997255,1.842989920920837,1.0
366,POF1B_code_potential_somatic,ENSG00000163497,366,-1.0,4.868087777357751,0.2894018731355593,4.928790824080555e-12,-4.815038281060207,2.539630948270381,1.0
2527,POF1B_code_potential_somatic,ENSG00000112333,2527,1.0,1.842989920920837,-0.18415378569834248,1.436266628702184e-05,-3.893236113640798,1.3202304743749715,1.0
1077,POF1B_code_potential_somatic,ENSG00000163848,1077,1.0,1.658616262292102,0.5905431864182139,8.225260381726367e-53,4.464159179435674,2.6942433838143227,0.6666666666666666
1066,POF1B_code_potential_somatic,ENSG00000163848,1066,1.0,1.658616262292102,0.5698172582917531,1.6976368826165313e-48,3.0941265974391436,1.3203456136902674,0.6666666666666666
1097,POF1B_code_potential_somatic,ENSG00000176887,1097,-1.0,1.3845073909662182,-0.24564299546509125,5.652251202870115e-09,7.1766639516188455,2.447743239392185,1.0
3264,POF1B_code_potential_somatic,ENSG00000184481,3264,-1.0,4.9794407546809705,0.25129859717597636,2.44176272655712e-09,-5.443501445807448,1.8064022340838273,0.5
1091,POF1B_code_potential_somatic,ENSG00000070444,1091,1.0,3.291917232272178,0.536417196733489,3.727865465651485e-42,5.1779188587442615,2.781359522296636,1.0
2158,POF1B_code_potential_somatic,ENSG00000124766,2158,-1.0,1.8534180385058954,0.7488274069467211,1.3197331325854062e-99,-4.62918786850618,1.7087973910287104,1.0
3399,POF1B_code_potential_somatic,ENSG00000120149,3399,-1.0,9.869589770199559,0.12252588389376366,0.004071887528659675,-3.771991728197719,1.6660034032904136,1.0
3398,POF1B_code_potential_somatic,ENSG00000120149,3398,-1.0,9.869589770199559,0.19005162450158916,7.473825507774001e-06,-12.726309506067942,26.84425586359531,1.0
3394,POF1B_code_potential_somatic,ENSG00000120149,3394,-1.0,9.869589770199559,0.3907673687531798,1.9552981475623017e-21,-4.888980838190734,1.8101189199344705,1.0
841,POF1B_code_potential_somatic,ENSG00000113580,841,1.0,1.310325632050587,0.5383941051654617,1.643079127810912e-42,5.831342875885768,1.9822116056279708,1.0
851,POF1B_code_potential_somatic,ENSG00000113580,851,1.0,1.310325632050587,-0.33467030416068094,8.291506310731383e-16,-5.535349703420953,6.460809440634279,1.0
