,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3756,POTEF_code_potential_somatic,ENSG00000176842,3756,-1.0,1.7722543422047439,0.1922083134370656,5.855888948107238e-06,-2.979476407088167,1.3885128400486584,1.0
366,POTEF_code_potential_somatic,ENSG00000163497,366,-1.0,5.1417035092184,0.2894018731355593,4.928790824080555e-12,-6.930919374670163,6.527200980398269,1.0
3041,POTEF_code_potential_somatic,ENSG00000183734,3041,1.0,2.1298332415391146,-0.3537216462467799,1.3526334008306997e-17,-4.0809888537682575,1.5790418132459003,0.5
3040,POTEF_code_potential_somatic,ENSG00000183734,3040,1.0,2.1298332415391146,-0.26506586012361094,2.901186024188211e-10,-9.88991273477784,4.408574912264417,0.5
2446,POTEF_code_potential_somatic,ENSG00000082641,2446,1.0,3.250216297841787,0.2536347777795522,1.7159686626440705e-09,12.852388402834201,7.02437312353631,1.0
1638,POTEF_code_potential_somatic,ENSG00000138795,1638,1.0,1.5161730815303516,0.41759064221049147,1.5468070154915822e-24,4.1260364169054276,3.2178103622292693,1.0
792,POTEF_code_potential_somatic,ENSG00000126561,792,1.0,1.441593433451218,0.4341744764794857,1.3390848145276473e-26,7.73986957630881,2.5497762099843486,1.0
796,POTEF_code_potential_somatic,ENSG00000126561,796,1.0,1.441593433451218,0.5136567541235907,3.1855011634080634e-38,7.105750203911529,2.3265097206311776,1.0
1325,POTEF_code_potential_somatic,ENSG00000116044,1325,1.0,2.155324132843067,0.40703393222480333,2.779108144004603e-23,7.61774070930624,3.2523406319450983,0.5
1345,POTEF_code_potential_somatic,ENSG00000182944,1345,-1.0,1.4104117275402286,0.20716033011038412,1.0002605368449623e-06,-3.9074067011328233,2.2337535521554948,1.0
1343,POTEF_code_potential_somatic,ENSG00000182944,1343,-1.0,1.4104117275402286,0.43058467152555485,3.828548555760569e-26,-3.67003313907633,1.3815208675997115,1.0
