,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1589,PREX2_code_potential_somatic,ENSG00000185811,1589,1.0,1.9093812459789703,0.48857770440176596,3.2002803666066633e-34,4.6359598964450095,2.097649628335103,1.0
1587,PREX2_code_potential_somatic,ENSG00000185811,1587,1.0,1.9093812459789703,0.31388436365402334,5.394745960784327e-14,5.573563784977855,1.7764103079735827,1.0
884,PREX2_code_potential_somatic,ENSG00000139083,884,1.0,1.915059407195382,-0.21474923465985488,3.8749813925423966e-07,-3.669487751057754,1.3955289923133551,1.0
881,PREX2_code_potential_somatic,ENSG00000139083,881,1.0,1.915059407195382,-0.2102080548281273,6.86336995117285e-07,-7.243417081873149,3.442950274871339,1.0
221,PREX2_code_potential_somatic,ENSG00000020633,221,1.0,2.2831486812212463,0.6379715611320159,5.8828214436437776e-64,4.1620274673686515,3.016069134827847,1.0
2333,PREX2_code_potential_somatic,ENSG00000198914,2333,1.0,1.5098188432118198,-0.30023005231869104,7.052392160175819e-13,-4.786221879962924,3.8744692749921597,0.5
2347,PREX2_code_potential_somatic,ENSG00000198914,2347,1.0,1.5098188432118198,-0.18550869461260186,1.2383500677845913e-05,-4.381376572445861,1.7207763494552468,0.5
902,PREX2_code_potential_somatic,ENSG00000105672,902,-1.0,1.4334569887162338,0.20568911530740816,1.1973037297252491e-06,-4.326572740432287,1.666858174838684,1.0
344,PREX2_code_potential_somatic,ENSG00000159216,344,1.0,1.8286718120851042,0.46056329822208036,3.988216844167444e-30,3.5596667158545285,2.602085912867305,1.0
349,PREX2_code_potential_somatic,ENSG00000159216,349,1.0,1.8286718120851042,0.5700792564473387,1.503842326774578e-48,7.418238789466493,3.9122203471067682,1.0
347,PREX2_code_potential_somatic,ENSG00000159216,347,1.0,1.8286718120851042,0.3472463614668893,5.655914319236252e-17,5.590905130112361,3.4385042127145926,1.0
2640,PREX2_code_potential_somatic,ENSG00000126767,2640,-1.0,1.3608363742117413,0.3679243817758663,5.2162881321656205e-19,-4.476840960289781,1.5220529368173388,1.0
2643,PREX2_code_potential_somatic,ENSG00000126767,2643,-1.0,1.3608363742117413,0.3027881985180369,4.401519795687066e-13,-3.9713272468060983,1.3575467557662981,1.0
2095,PREX2_code_potential_somatic,ENSG00000105856,2095,1.0,1.9591978518999704,0.305855830137109,2.4855471270809603e-13,4.333464194000513,1.481935197700203,1.0
167,PREX2_code_potential_somatic,ENSG00000178573,167,1.0,2.518553102018053,0.3452116282262944,8.80613792687681e-17,4.094347504323518,1.419222809597689,0.75
173,PREX2_code_potential_somatic,ENSG00000178573,173,1.0,2.518553102018053,0.23314955544535057,3.357278295225902e-08,3.626211614185442,1.3392105779986403,0.75
154,PREX2_code_potential_somatic,ENSG00000178573,154,1.0,2.518553102018053,0.6056710459662019,3.657733594393192e-56,3.459967518775305,1.7908258152171892,0.75
3574,PREX2_code_potential_somatic,ENSG00000253293,3574,-1.0,1.7707504665950795,0.29086017283127985,3.811496087124064e-12,-5.069738588391724,2.271524429225856,0.5
3101,PREX2_code_potential_somatic,ENSG00000184486,3101,1.0,2.12596754400775,-0.39465227711252515,7.232332742464199e-22,-7.216432696352888,11.158432760285269,0.5
355,PREX2_code_potential_somatic,ENSG00000173039,355,1.0,1.6588487562819096,0.22579129385889596,9.156403634871041e-08,3.121573777621979,1.506902696064731,1.0
3002,PREX2_code_potential_somatic,ENSG00000069011,3002,1.0,2.1110230643404866,0.1214474199633133,0.004412438885765609,4.262329494267811,1.6356133977516814,1.0
427,PREX2_code_potential_somatic,ENSG00000162367,427,1.0,2.1830797720262294,0.21193229874323286,5.532397045538258e-07,3.69839843958684,2.1024970730838315,1.0
633,PREX2_code_potential_somatic,ENSG00000140968,633,1.0,1.4379710514328377,0.37840131831813373,4.249973309836453e-20,8.244236146375961,13.952818313218978,1.0
623,PREX2_code_potential_somatic,ENSG00000140968,623,1.0,1.4379710514328377,0.7002585782520239,5.881945624895939e-82,3.4799620117907124,1.6182354579146263,1.0
632,PREX2_code_potential_somatic,ENSG00000140968,632,1.0,1.4379710514328377,0.4433930489329865,8.510373298026734e-28,3.5815157091307372,1.4268179633870168,1.0
64,PREX2_code_potential_somatic,ENSG00000166888,64,1.0,1.7895568314648829,0.45420359014038164,3.0126871941239254e-29,4.315107522115835,1.4282003691650353,1.0
1499,PREX2_code_potential_somatic,ENSG00000185591,1499,1.0,1.5098188432118198,-0.16352469407358422,0.00012046067361968546,-3.853152517726953,1.4108665456324632,1.0
2834,PREX2_code_potential_somatic,ENSG00000126456,2834,1.0,2.734162472268875,0.32164790933420023,1.1776461246860046e-14,3.6238124858364844,1.567252987547535,1.0
2843,PREX2_code_potential_somatic,ENSG00000126456,2843,1.0,2.734162472268875,0.31565491116745814,3.827581928131145e-14,6.580677296530004,4.918598673329455,1.0
2832,PREX2_code_potential_somatic,ENSG00000126456,2832,1.0,2.734162472268875,0.35914966759485334,3.973716202349924e-18,3.5337186106793217,1.5658231858368616,1.0
