,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1590,PROKR2_code_potential_somatic,ENSG00000185811,1590,-1.0,2.150655080029834,0.5350057755535523,6.668825680741697e-42,-2.9019059209688227,1.3963052975539791,1.0
1595,PROKR2_code_potential_somatic,ENSG00000185811,1595,-1.0,2.150655080029834,0.45970832233167136,5.247039673838221e-30,-2.7612960891622063,1.4618399899825139,1.0
221,PROKR2_code_potential_somatic,ENSG00000020633,221,-1.0,2.1377233494052104,0.6379715611320159,5.8828214436437776e-64,-4.575180506393941,2.154762530525707,0.6666666666666666
227,PROKR2_code_potential_somatic,ENSG00000020633,227,-1.0,2.1377233494052104,0.4475187360036436,2.4116916755157605e-28,-3.6544895375754214,1.9285975650422906,0.6666666666666666
344,PROKR2_code_potential_somatic,ENSG00000159216,344,-1.0,2.208837726684011,0.46056329822208036,3.988216844167444e-30,-4.342038997360134,2.031996390183069,1.0
345,PROKR2_code_potential_somatic,ENSG00000159216,345,-1.0,2.208837726684011,0.47552862120207495,2.8843745402118936e-32,-3.8588467756794276,1.8886513880573002,1.0
348,PROKR2_code_potential_somatic,ENSG00000159216,348,-1.0,2.208837726684011,0.3131232345841649,6.247962558606434e-14,-4.349696135873102,2.087951570559049,1.0
1392,PROKR2_code_potential_somatic,ENSG00000125398,1392,1.0,1.9869082700490317,-0.4753318126794128,3.0824486112951023e-32,-3.771770917315328,1.794460340867522,1.0
1398,PROKR2_code_potential_somatic,ENSG00000125398,1398,1.0,1.9869082700490317,-0.23534412724899675,2.472737776306242e-08,-3.2631209321179604,1.759537924030041,1.0
2187,PROKR2_code_potential_somatic,ENSG00000132170,2187,-1.0,1.9874040684468102,-0.41044792934318824,1.1043024615220297e-23,3.782866193476334,1.7971324113102645,1.0
2191,PROKR2_code_potential_somatic,ENSG00000132170,2191,-1.0,1.9874040684468102,0.41826857064146233,1.2803951378042436e-24,-5.707579061747111,3.2417925179066076,1.0
3043,PROKR2_code_potential_somatic,ENSG00000183734,3043,-1.0,1.4059563328584666,-0.21679592662505762,2.9825833509942507e-07,3.349392832752749,1.7359827703734911,0.6666666666666666
3041,PROKR2_code_potential_somatic,ENSG00000183734,3041,-1.0,1.4059563328584666,-0.3537216462467799,1.3526334008306997e-17,3.6230506859214544,1.827659999336486,0.6666666666666666
160,PROKR2_code_potential_somatic,ENSG00000178573,160,-1.0,1.922484040535862,0.2950522891587526,1.8053731169837242e-12,-2.8739503542095868,1.5081022253937677,1.0
166,PROKR2_code_potential_somatic,ENSG00000178573,166,-1.0,1.922484040535862,0.5169340280185626,9.020489212937334e-39,-5.691952660887936,3.3399521366424842,1.0
154,PROKR2_code_potential_somatic,ENSG00000178573,154,-1.0,1.922484040535862,0.6056710459662019,3.657733594393192e-56,-4.593630608613815,2.1593611874320104,1.0
459,PROKR2_code_potential_somatic,ENSG00000172216,459,-1.0,1.9390304142229713,0.37768933668965154,5.0541939676146437e-20,-4.98055338448955,2.3117109627341303,1.0
473,PROKR2_code_potential_somatic,ENSG00000172216,473,-1.0,1.9390304142229713,0.5345396040510034,8.07633152170066e-42,-3.275629263906278,1.5602656572794635,1.0
470,PROKR2_code_potential_somatic,ENSG00000172216,470,-1.0,1.9390304142229713,0.7912697226895726,9.865638401480642e-119,-2.833090133757783,1.621118240426079,1.0
478,PROKR2_code_potential_somatic,ENSG00000172216,478,-1.0,1.9390304142229713,0.5755761863000123,1.1527766325315883e-49,-3.040122162644375,1.6768308395061453,1.0
458,PROKR2_code_potential_somatic,ENSG00000172216,458,-1.0,1.9390304142229713,0.6437152490583052,1.92593106774297e-65,-4.092069484074322,2.0143897007521554,1.0
457,PROKR2_code_potential_somatic,ENSG00000172216,457,-1.0,1.9390304142229713,0.7148546391502247,7.166896573166083e-87,-4.583329694109586,2.1377582100049843,1.0
196,PROKR2_code_potential_somatic,ENSG00000125820,196,-1.0,2.0438461101415437,0.6110351173052444,2.1427077529094173e-57,-3.3904954014945945,1.6691548244838526,0.5
200,PROKR2_code_potential_somatic,ENSG00000125820,200,-1.0,2.0438461101415437,0.09322985244756811,0.029092849570705792,-2.7756714382762318,1.3227234465755213,0.5
3326,PROKR2_code_potential_somatic,ENSG00000128604,3326,-1.0,2.100144467865151,0.3469964678740166,5.973014440631016e-17,-4.094460551606011,1.9867658361496365,1.0
3331,PROKR2_code_potential_somatic,ENSG00000128604,3331,-1.0,2.100144467865151,-0.07421941794991439,0.08258868652466624,5.871227542509594,2.9685853563593727,1.0
3717,PROKR2_code_potential_somatic,ENSG00000163435,3717,-1.0,1.681963712130764,0.32730183390687817,3.779874815497097e-15,-2.7444297475655683,1.3308285608216681,1.0
3711,PROKR2_code_potential_somatic,ENSG00000163435,3711,-1.0,1.681963712130764,0.1713368767617699,5.540195542884278e-05,-4.564047401463506,2.166038207754097,1.0
3712,PROKR2_code_potential_somatic,ENSG00000163435,3712,-1.0,1.681963712130764,0.23974326076647987,1.3273277728038533e-08,-3.396021710469332,1.8832822505188034,1.0
427,PROKR2_code_potential_somatic,ENSG00000162367,427,-1.0,2.1141172949374814,0.21193229874323286,5.532397045538258e-07,-4.501560325879144,2.113595357116781,1.0
428,PROKR2_code_potential_somatic,ENSG00000162367,428,-1.0,2.1141172949374814,0.2329255481161108,3.463136694070408e-08,-3.850354971226293,1.856643339854378,1.0
2969,PROKR2_code_potential_somatic,ENSG00000187079,2969,1.0,1.560082561504278,0.3898660892644415,2.458114604640468e-21,4.196463437115321,1.9839519102030145,1.0
627,PROKR2_code_potential_somatic,ENSG00000140968,627,-1.0,1.9357834621787158,0.3184797952608012,2.203226298999811e-14,-5.248962738992313,3.128883769917104,1.0
623,PROKR2_code_potential_somatic,ENSG00000140968,623,-1.0,1.9357834621787158,0.7002585782520239,5.881945624895939e-82,-4.796472940539242,2.2696823370017163,1.0
632,PROKR2_code_potential_somatic,ENSG00000140968,632,-1.0,1.9357834621787158,0.4433930489329865,8.510373298026734e-28,-3.4728550003079253,1.760713077952213,1.0
624,PROKR2_code_potential_somatic,ENSG00000140968,624,-1.0,1.9357834621787158,0.6079559644758794,1.0994840884836115e-56,-3.6641003201826234,1.7977082477343072,1.0
2823,PROKR2_code_potential_somatic,ENSG00000126456,2823,1.0,1.4373425889581943,0.4195568315417488,8.929547673661836e-25,4.462236184507241,2.145698175042174,0.75
2824,PROKR2_code_potential_somatic,ENSG00000126456,2824,1.0,1.4373425889581943,0.3976187700057979,3.3541140019250776e-22,3.953972889109716,1.8839496920424188,0.75
2835,PROKR2_code_potential_somatic,ENSG00000126456,2835,1.0,1.4373425889581943,0.3527555417203807,1.6780100043281802e-17,4.081931697067219,2.1486314882844506,0.75
1476,PROKR2_code_potential_somatic,ENSG00000087510,1476,-1.0,2.4410766924369978,0.22488433575678962,1.0337572531428442e-07,-4.936700312757393,2.8144196134880692,0.75
1477,PROKR2_code_potential_somatic,ENSG00000087510,1477,-1.0,2.4410766924369978,0.13434414246872228,0.0016213704893200856,-3.104231306341578,1.5323154656423952,0.75
1467,PROKR2_code_potential_somatic,ENSG00000087510,1467,-1.0,2.4410766924369978,0.3621860031536285,1.9821152866970234e-18,-3.0575581159540643,1.453514993761964,0.75
290,PROKR2_code_potential_somatic,ENSG00000245848,290,-1.0,2.1240174500579077,0.6844355813766781,5.888470078524959e-77,-4.777020254194895,2.218019233097497,0.8
