,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1530,PTCHD3_code_potential_somatic,ENSG00000113916,1530,-1.0,1.5985061761319315,0.28051507393590874,2.2871989319564442e-11,-24.92666033846564,66.96948071577698,1.0
460,PTCHD3_code_potential_somatic,ENSG00000172216,460,-1.0,1.529482629421081,0.7538666239069344,1.1372637327826006e-101,-4.768098224140575,2.1370251371885165,1.0
459,PTCHD3_code_potential_somatic,ENSG00000172216,459,-1.0,1.529482629421081,0.37768933668965154,5.0541939676146437e-20,-3.9005315999472927,1.3268430690229522,1.0
477,PTCHD3_code_potential_somatic,ENSG00000172216,477,-1.0,1.529482629421081,0.36306811871834266,1.617202463869498e-18,-5.558840783636091,1.7876064487624819,1.0
473,PTCHD3_code_potential_somatic,ENSG00000172216,473,-1.0,1.529482629421081,0.5345396040510034,8.07633152170066e-42,-6.559317551441697,1.971540388592466,1.0
470,PTCHD3_code_potential_somatic,ENSG00000172216,470,-1.0,1.529482629421081,0.7912697226895726,9.865638401480642e-119,-6.819463626786802,2.2337697310484717,1.0
1486,PTCHD3_code_potential_somatic,ENSG00000129194,1486,1.0,1.379150313832012,-0.2931335701306644,2.5454518624540104e-12,-4.074938159565678,1.3804920856135814,1.0
2830,PTCHD3_code_potential_somatic,ENSG00000126456,2830,1.0,4.41041714981225,0.5963904193990348,4.371680359735945e-54,12.479771262204448,7.785308449589615,0.5
1476,PTCHD3_code_potential_somatic,ENSG00000087510,1476,-1.0,1.5184633867278412,0.22488433575678962,1.0337572531428442e-07,-4.798089437403449,1.5034160605608684,1.0
1470,PTCHD3_code_potential_somatic,ENSG00000087510,1470,-1.0,1.5184633867278412,0.22247778739014765,1.4228685801076825e-07,-6.31175629288019,2.3743320344367884,1.0
3497,PTCHD3_code_potential_somatic,ENSG00000120093,3497,1.0,3.5024624244276272,-0.17945276730356358,2.382631787843572e-05,-6.859295277247506,2.421842452476473,1.0
806,PTCHD3_code_potential_somatic,ENSG00000126561,806,-1.0,5.6830219049482045,0.30981256376315397,1.1775515344377468e-13,-5.558840783636091,1.7876064487624819,1.0
792,PTCHD3_code_potential_somatic,ENSG00000126561,792,-1.0,5.6830219049482045,0.4341744764794857,1.3390848145276473e-26,-18.476268739668473,10.43303155424507,1.0
810,PTCHD3_code_potential_somatic,ENSG00000126561,810,-1.0,5.6830219049482045,0.5407267856545183,6.205581202352399e-43,-4.051726887020646,1.4674894329891637,1.0
803,PTCHD3_code_potential_somatic,ENSG00000126561,803,-1.0,5.6830219049482045,0.5055807503035074,6.734713373543928e-37,-12.896424064017527,21.86732488920926,1.0
796,PTCHD3_code_potential_somatic,ENSG00000126561,796,-1.0,5.6830219049482045,0.5136567541235907,3.1855011634080634e-38,-4.3864658860119095,1.5752716475242914,1.0
536,PTCHD3_code_potential_somatic,ENSG00000169136,536,-1.0,1.3166161633950006,0.3120836276528589,7.630288101374089e-14,-4.559533103637648,1.4877573900616368,1.0
545,PTCHD3_code_potential_somatic,ENSG00000169136,545,-1.0,1.3166161633950006,0.3903781268510046,2.1586116099870858e-21,-13.944441342775498,7.228261577902472,1.0
1325,PTCHD3_code_potential_somatic,ENSG00000116044,1325,-1.0,1.363230803623671,0.40703393222480333,2.779108144004603e-23,-4.5414546711929535,1.435373616410935,0.5
1617,PTCHD3_code_potential_somatic,ENSG00000181690,1617,-1.0,1.4756278494937887,0.2690086662106309,1.540364797078522e-10,-3.48682969830264,1.5746010385649758,1.0
