,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2604,PTPN3_code_potential_somatic,ENSG00000087903,2604,1.0,3.3643518887508788,0.4409405624406941,1.786267814487868e-27,4.328927753028727,1.3566096639875604,1.0
2597,PTPN3_code_potential_somatic,ENSG00000087903,2597,1.0,3.3643518887508788,0.5134481327144256,3.450302845570539e-38,9.241760108714043,2.061139646580915,1.0
2601,PTPN3_code_potential_somatic,ENSG00000087903,2601,1.0,3.3643518887508788,0.4393491041201672,2.880696229003802e-27,5.616494755887882,1.5583627466739525,1.0
3599,PTPN3_code_potential_somatic,ENSG00000168779,3599,-1.0,3.7189485566457274,0.4704775999320541,1.5647032113427093e-31,-5.5828777915384915,1.6414013049469602,1.0
906,PTPN3_code_potential_somatic,ENSG00000105672,906,-1.0,1.3791669468091918,0.3500830584467353,3.034463601351218e-17,-2.7446135876398157,1.6816133956016595,0.5
1397,PTPN3_code_potential_somatic,ENSG00000125398,1397,-1.0,6.089494299935895,0.24957398866560834,3.1608836187217764e-09,-8.311456478729736,2.892666808365762,1.0
1402,PTPN3_code_potential_somatic,ENSG00000125398,1402,-1.0,6.089494299935895,0.2881429901784599,6.146141498690638e-12,-4.6904149824014905,1.571811191687786,1.0
3516,PTPN3_code_potential_somatic,ENSG00000105991,3516,1.0,1.3115576330142333,0.204880772040821,1.320900086403999e-06,4.812917876873807,2.0984686531339873,1.0
3514,PTPN3_code_potential_somatic,ENSG00000105991,3514,1.0,1.3115576330142333,0.28755586192906624,6.8100213599091565e-12,4.0519898622159065,1.3292946037560915,1.0
3268,PTPN3_code_potential_somatic,ENSG00000118922,3268,-1.0,1.4935577921984677,-0.2842981143789299,1.1979483602978354e-11,4.5532358941922935,1.570703661030039,1.0
3364,PTPN3_code_potential_somatic,ENSG00000105516,3364,-1.0,1.6656151275993105,0.11321390213402713,0.00798386347266414,-3.4070552898071758,1.5137673719331173,1.0
3401,PTPN3_code_potential_somatic,ENSG00000170345,3401,-1.0,4.0374879774417884,0.17891542680578748,2.5224884393378275e-05,-7.760611072670836,2.333982818404858,1.0
2041,PTPN3_code_potential_somatic,ENSG00000054598,2041,-1.0,1.449377178157178,0.27457851511579145,6.187456974436458e-11,-6.416694742264266,1.7632571423482613,1.0
2043,PTPN3_code_potential_somatic,ENSG00000054598,2043,-1.0,1.449377178157178,0.44557682871686455,4.375383691115867e-28,-4.309928928875664,1.3765618705409912,1.0
2033,PTPN3_code_potential_somatic,ENSG00000054598,2033,-1.0,1.449377178157178,0.37662573939007743,6.542483829647519e-20,-4.115153602665295,1.3383332555435283,1.0
2039,PTPN3_code_potential_somatic,ENSG00000054598,2039,-1.0,1.449377178157178,0.4104257619512322,1.1109781326525633e-23,-8.622178045368592,5.0610948671415485,1.0
1485,PTPN3_code_potential_somatic,ENSG00000129194,1485,1.0,3.3643518887508788,-0.2637203577671224,3.5923392638003295e-10,-2.9588015171928728,1.4155893014187968,0.6666666666666666
1486,PTPN3_code_potential_somatic,ENSG00000129194,1486,1.0,3.3643518887508788,-0.2931335701306644,2.5454518624540104e-12,-5.208950098369799,2.1881789321147935,0.6666666666666666
2983,PTPN3_code_potential_somatic,ENSG00000187079,2983,-1.0,1.8351772337995986,0.22134060657130464,1.6526718065336467e-07,-4.742820918217347,1.476518376783351,1.0
2970,PTPN3_code_potential_somatic,ENSG00000187079,2970,-1.0,1.8351772337995986,0.45223907794733165,5.578391551470065e-29,-7.066338348258759,2.3927695152643027,1.0
2969,PTPN3_code_potential_somatic,ENSG00000187079,2969,-1.0,1.8351772337995986,0.3898660892644415,2.458114604640468e-21,-5.96291122231041,1.9052248884258405,1.0
2978,PTPN3_code_potential_somatic,ENSG00000187079,2978,-1.0,1.8351772337995986,0.19721876525147555,3.2873561576711014e-06,-4.107497435314156,1.3541987593085483,1.0
1252,PTPN3_code_potential_somatic,ENSG00000089220,1252,1.0,1.7976551199992379,0.43438710843653755,1.2578048178292172e-26,4.182356830698365,1.3690229869808466,1.0
1793,PTPN3_code_potential_somatic,ENSG00000147421,1793,-1.0,3.639642258753915,0.1399658607580067,0.0010190268192739541,-9.211199587010432,2.9626564513542717,1.0
1795,PTPN3_code_potential_somatic,ENSG00000147421,1795,-1.0,3.639642258753915,0.12182134000863507,0.00429155379811314,-11.566222948765935,3.6925342796791996,1.0
1288,PTPN3_code_potential_somatic,ENSG00000118263,1288,-1.0,1.3745222278678118,0.4449642357569221,5.275683015253646e-28,-4.768156122245754,1.5923301059399344,1.0
1285,PTPN3_code_potential_somatic,ENSG00000118263,1285,-1.0,1.3745222278678118,0.47341134359406495,5.880013452014301e-32,-4.878627162747886,2.0477227761462773,1.0
1114,PTPN3_code_potential_somatic,ENSG00000165804,1114,-1.0,1.7917720408879103,0.35701897288118567,6.445267523997965e-18,-4.866951625441643,1.5180144604706947,0.8571428571428571
1121,PTPN3_code_potential_somatic,ENSG00000165804,1121,-1.0,1.7917720408879103,0.2661832716839204,2.427219813663866e-10,-10.530432825722762,4.617531544135583,0.8571428571428571
1126,PTPN3_code_potential_somatic,ENSG00000165804,1126,-1.0,1.7917720408879103,0.23559817722786122,2.38626453672153e-08,-14.617372431365128,12.039908673955475,0.8571428571428571
1134,PTPN3_code_potential_somatic,ENSG00000165804,1134,-1.0,1.7917720408879103,0.5152665880453443,1.716975815954447e-38,-3.107716747688978,1.4781759909658982,0.8571428571428571
1118,PTPN3_code_potential_somatic,ENSG00000165804,1118,-1.0,1.7917720408879103,0.5454016261094543,8.615484248213162e-44,-3.764524403386035,1.3890462852689627,0.8571428571428571
1132,PTPN3_code_potential_somatic,ENSG00000165804,1132,-1.0,1.7917720408879103,0.225593318631394,9.402558942698162e-08,-14.604473011238332,4.211135503438219,0.8571428571428571
647,PTPN3_code_potential_somatic,ENSG00000071564,647,-1.0,6.493802604237195,0.4828563297055376,2.358669041809324e-33,-9.835916166597492,4.294347236586597,1.0
642,PTPN3_code_potential_somatic,ENSG00000071564,642,-1.0,6.493802604237195,0.31006530119907366,1.1222497631393627e-13,-4.925257403750984,1.5667729027081339,1.0
2489,PTPN3_code_potential_somatic,ENSG00000106511,2489,-1.0,2.6177490930294747,0.3264023044753996,4.536191596632064e-15,-4.276925403491161,1.7041886531575523,0.6
2485,PTPN3_code_potential_somatic,ENSG00000106511,2485,-1.0,2.6177490930294747,0.563785904703403,2.6838864980021504e-47,-4.882260498576003,1.506206280177985,0.6
2481,PTPN3_code_potential_somatic,ENSG00000106511,2481,-1.0,2.6177490930294747,0.38656628338225113,5.647822511674906e-21,-5.105792275662885,1.5377496652118081,0.6
1183,PTPN3_code_potential_somatic,ENSG00000100811,1183,-1.0,3.0311118509437396,0.43649723997740386,6.740456233367988e-27,-6.384871716796985,1.8898887227591477,1.0
1197,PTPN3_code_potential_somatic,ENSG00000100811,1197,-1.0,3.0311118509437396,0.485409298652157,9.718661584604942e-34,-4.7003002589161245,1.4600924165624891,1.0
1185,PTPN3_code_potential_somatic,ENSG00000100811,1185,-1.0,3.0311118509437396,0.3996405965741025,1.9778961562326593e-22,-23.488236815404996,15.729167118291562,1.0
