,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,PTPRR_code_potential_somatic,ENSG00000125952,1313,1.0,1.3479673098339364,0.6383058949876683,4.830752998599309e-64,5.699011482634697,1.6641493473236537,1.0
1311,PTPRR_code_potential_somatic,ENSG00000125952,1311,1.0,1.3479673098339364,0.4344864971050772,1.2215048897877538e-26,6.364479922513314,2.236781939447344,1.0
1316,PTPRR_code_potential_somatic,ENSG00000125952,1316,1.0,1.3479673098339364,0.41974138966359315,8.47913416258375e-25,8.87049588632471,2.439714789386092,1.0
3508,PTPRR_code_potential_somatic,ENSG00000111145,3508,1.0,1.8840640405314772,0.3742587869463521,1.158009875598377e-19,11.192337762357212,3.2115755401529396,1.0
1246,PTPRR_code_potential_somatic,ENSG00000151702,1246,1.0,2.4509629523229215,0.39119708072948517,1.7527427011751133e-21,4.739381404528968,1.8244759424151513,1.0
1239,PTPRR_code_potential_somatic,ENSG00000151702,1239,1.0,2.4509629523229215,0.42951808454482876,5.218396625533201e-26,14.082649361273337,32.66658164672662,1.0
1242,PTPRR_code_potential_somatic,ENSG00000151702,1242,1.0,2.4509629523229215,0.562027315914576,5.939088929213614e-47,5.975917001957428,2.1734748879824486,1.0
32,PTPRR_code_potential_somatic,ENSG00000261678,32,-1.0,1.5149927767263687,-0.27645840978820174,4.5265870704530514e-11,3.7662057301628225,1.3215086426004174,1.0
506,PTPRR_code_potential_somatic,ENSG00000120690,506,1.0,7.518697954890374,0.6316443020286737,2.3401461848474217e-62,4.03300834672614,1.3125582651847745,1.0
522,PTPRR_code_potential_somatic,ENSG00000120690,522,1.0,7.518697954890374,0.5149455254572445,1.9427218299118388e-38,11.266323614755084,4.1925637588033045,1.0
509,PTPRR_code_potential_somatic,ENSG00000120690,509,1.0,7.518697954890374,0.5888866843028687,1.8685424437953998e-52,6.695768429680889,2.7660464759337873,1.0
3464,PTPRR_code_potential_somatic,ENSG00000150347,3464,1.0,2.431496727006436,0.437452844160245,5.074229972271124e-27,4.0959885677507675,1.371327198599768,1.0
3463,PTPRR_code_potential_somatic,ENSG00000150347,3463,1.0,2.431496727006436,0.4458585150166216,4.014154139911832e-28,6.061263431051884,2.228109597414227,1.0
255,PTPRR_code_potential_somatic,ENSG00000177606,255,1.0,2.3804268085529188,0.46501566264787897,9.438461489358275e-31,5.427478546056529,1.8632507885298368,1.0
251,PTPRR_code_potential_somatic,ENSG00000177606,251,1.0,2.3804268085529188,0.7020705437872713,1.4989788859365892e-82,5.9959785656557605,2.0091426646998465,1.0
236,PTPRR_code_potential_somatic,ENSG00000177606,236,1.0,2.3804268085529188,0.5406569292022357,6.389904688620846e-43,4.611877176393266,1.545168710372246,1.0
2575,PTPRR_code_potential_somatic,ENSG00000196767,2575,-1.0,1.317739943913121,-0.24686613965150678,4.722205969345338e-09,7.2001123657006145,2.2814723181598735,1.0
121,PTPRR_code_potential_somatic,ENSG00000196843,121,1.0,1.8213819281727863,0.3782272605398475,4.4340798692102234e-20,4.325642433114161,1.444475506246993,1.0
118,PTPRR_code_potential_somatic,ENSG00000196843,118,1.0,1.8213819281727863,0.3938647513456665,8.857303610475404e-22,5.234999081952858,1.6707970967586458,1.0
117,PTPRR_code_potential_somatic,ENSG00000196843,117,1.0,1.8213819281727863,0.3881891698143999,3.75587017565155e-21,11.951738524091104,24.21034857231997,1.0
129,PTPRR_code_potential_somatic,ENSG00000196843,129,1.0,1.8213819281727863,0.35362189298297775,1.3831236173598629e-17,4.050421427660995,1.3989864452932097,1.0
126,PTPRR_code_potential_somatic,ENSG00000196843,126,1.0,1.8213819281727863,0.4051785798533263,4.568774759530043e-23,6.312017185050922,2.0211628666777104,1.0
667,PTPRR_code_potential_somatic,ENSG00000131408,667,1.0,1.429372257455992,0.36502176597257213,1.0282108622574756e-18,7.366770377569377,3.6479305425103727,1.0
664,PTPRR_code_potential_somatic,ENSG00000131408,664,1.0,1.429372257455992,0.35709582956250685,6.334202219148733e-18,5.7569251815340206,1.8639035536276594,1.0
3505,PTPRR_code_potential_somatic,ENSG00000149948,3505,1.0,1.7601482066969387,0.30313028389722696,4.131155459913165e-13,5.435892403129286,1.7434736556081651,1.0
2208,PTPRR_code_potential_somatic,ENSG00000187140,2208,-1.0,1.4901653228333445,-0.38940352372950876,2.7637120623036622e-21,5.336003935943532,1.6520138736642052,1.0
2209,PTPRR_code_potential_somatic,ENSG00000187140,2209,-1.0,1.4901653228333445,-0.3347616488853905,8.134929841845888e-16,4.504186426189571,1.5064075372236985,1.0
2210,PTPRR_code_potential_somatic,ENSG00000187140,2210,-1.0,1.4901653228333445,-0.347055522008887,5.8965359850472e-17,3.956343947623213,1.3534206347039053,1.0
2226,PTPRR_code_potential_somatic,ENSG00000187140,2226,-1.0,1.4901653228333445,-0.24477638365332186,6.416337993313395e-09,4.061463912987149,1.3397135824386788,1.0
2213,PTPRR_code_potential_somatic,ENSG00000187140,2213,-1.0,1.4901653228333445,-0.32520348264683924,5.779002007452825e-15,13.586555543289416,17.8403142444331,1.0
1283,PTPRR_code_potential_somatic,ENSG00000118263,1283,1.0,1.8254594598251257,0.1543660610812277,0.0002865907037319989,4.529427623596248,1.4530239510752532,1.0
3119,PTPRR_code_potential_somatic,ENSG00000156273,3119,1.0,1.3371105647590622,0.4579719738538529,9.137558301042453e-30,5.8272890901557215,2.3962024028931106,1.0
3115,PTPRR_code_potential_somatic,ENSG00000156273,3115,1.0,1.3371105647590622,0.36494797189145534,1.04601020305821e-18,3.8689450605201494,1.345375647307563,1.0
