,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2188,RAB3GAP2_code_potential_somatic,ENSG00000132170,2188,1.0,1.8419168446757508,0.38661812882856933,5.574890332489311e-21,3.888636996251479,1.7071333365677979,1.0
1096,RAB3GAP2_code_potential_somatic,ENSG00000176887,1096,-1.0,1.5133885256833568,0.6240930966293388,1.6996737217440208e-60,-5.01304268798967,4.809066861937252,1.0
1494,RAB3GAP2_code_potential_somatic,ENSG00000129194,1494,1.0,1.3042766480278773,-0.21446623581715313,4.016987531438759e-07,-4.5901494618196175,2.7782054054264758,0.5
193,RAB3GAP2_code_potential_somatic,ENSG00000125820,193,-1.0,1.3579690374829902,0.48643512388254295,6.791520817291902e-34,-3.6526289808395616,2.444570172649041,1.0
2918,RAB3GAP2_code_potential_somatic,ENSG00000162419,2918,-1.0,2.109039211988979,0.5140835493377967,2.7049308769963784e-38,-4.206872755045773,1.427041050752024,1.0
1,RAB3GAP2_code_potential_somatic,ENSG00000147862,1,-1.0,2.1311376758025378,-0.34791313328282963,4.8886237929099734e-17,5.810551424979312,2.180938631149261,1.0
1435,RAB3GAP2_code_potential_somatic,ENSG00000116035,1435,-1.0,3.565929856648573,0.33872365553127115,3.5364439975546097e-16,-6.446614779564165,2.785932338389966,1.0
944,RAB3GAP2_code_potential_somatic,ENSG00000112242,944,-1.0,1.6488296002727598,0.48907289768720463,2.687407961291249e-34,-5.02743935745131,1.6499439591663032,1.0
945,RAB3GAP2_code_potential_somatic,ENSG00000112242,945,-1.0,1.6488296002727598,0.32447381429427813,6.693167540718355e-15,-5.667127194178164,2.0046628553495056,1.0
645,RAB3GAP2_code_potential_somatic,ENSG00000071564,645,-1.0,1.4160859366375158,-0.32236528697256656,1.0208603892805576e-14,4.090632516557848,1.3205941694913783,1.0
1324,RAB3GAP2_code_potential_somatic,ENSG00000116044,1324,1.0,1.96157087270384,0.5899994290438191,1.0773378209287607e-52,7.496510097621507,9.428061464005896,1.0
3119,RAB3GAP2_code_potential_somatic,ENSG00000156273,3119,1.0,1.3145584111096191,0.4579719738538529,9.137558301042453e-30,6.465106977251513,1.9999570209003925,1.0
3125,RAB3GAP2_code_potential_somatic,ENSG00000156273,3125,1.0,1.3145584111096191,0.4986946395819055,8.52275922039928e-36,3.337231622545962,1.6066096964516008,1.0
3116,RAB3GAP2_code_potential_somatic,ENSG00000156273,3116,1.0,1.3145584111096191,0.5950714595776515,8.519642508183082e-54,4.554501266194849,1.630705450318645,1.0
