,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2951,RAG2_code_potential_somatic,ENSG00000099326,2951,1.0,1.3117188609803339,0.461927978289373,2.5699245299049342e-30,3.6348249016281557,1.4037526024373632,1.0
2955,RAG2_code_potential_somatic,ENSG00000099326,2955,1.0,1.3117188609803339,0.3054606817916824,2.676422979743797e-13,9.244517784297573,15.157507149601155,1.0
2950,RAG2_code_potential_somatic,ENSG00000099326,2950,1.0,1.3117188609803339,0.3406215926294005,2.3626796039625614e-16,10.975174776850455,5.1410441539791,1.0
2952,RAG2_code_potential_somatic,ENSG00000099326,2952,1.0,1.3117188609803339,0.6748517573892705,4.433728282902681e-74,3.2842049964592297,1.492095892039627,1.0
1399,RAG2_code_potential_somatic,ENSG00000125398,1399,1.0,3.5916332504064172,0.4607348038335296,3.774330828148208e-30,5.208144886425149,1.9294273559091837,0.5
2887,RAG2_code_potential_somatic,ENSG00000125482,2887,1.0,2.660302872601941,0.6821702780921197,2.88366451140532e-76,4.287617406234217,1.765041107877095,1.0
3200,RAG2_code_potential_somatic,ENSG00000171634,3200,1.0,4.112621379670462,0.2508470094839249,2.61299671137318e-09,14.950326875858957,34.213027034344805,1.0
3208,RAG2_code_potential_somatic,ENSG00000171634,3208,1.0,4.112621379670462,0.7234444306141309,6.547527839233926e-90,2.6595369233628725,1.6303256469976917,1.0
251,RAG2_code_potential_somatic,ENSG00000177606,251,1.0,2.1568789582668404,0.7020705437872713,1.4989788859365892e-82,8.538413910502566,3.748167627518726,1.0
243,RAG2_code_potential_somatic,ENSG00000177606,243,1.0,2.1568789582668404,0.5406951387857389,6.28842195941703e-43,4.0222569492399805,1.430322893824081,1.0
2983,RAG2_code_potential_somatic,ENSG00000187079,2983,1.0,1.5438097692303674,0.22134060657130464,1.6526718065336467e-07,4.128161547904775,1.8625607990443578,1.0
2970,RAG2_code_potential_somatic,ENSG00000187079,2970,1.0,1.5438097692303674,0.45223907794733165,5.578391551470065e-29,7.679467300291391,2.516970995071802,1.0
2969,RAG2_code_potential_somatic,ENSG00000187079,2969,1.0,1.5438097692303674,0.3898660892644415,2.458114604640468e-21,8.724297067149317,8.862102100325497,1.0
3195,RAG2_code_potential_somatic,ENSG00000176165,3195,1.0,1.749974205750123,0.26173608451084845,4.912321927136984e-10,3.486393671932849,1.3281675958528436,1.0
3189,RAG2_code_potential_somatic,ENSG00000176165,3189,1.0,1.749974205750123,0.35657285411807066,7.128843507972646e-18,6.172142904990378,2.1146834489879978,1.0
3179,RAG2_code_potential_somatic,ENSG00000176165,3179,1.0,1.749974205750123,0.5844367991248547,1.654511029519718e-51,16.57602255230264,41.101402183221246,1.0
2488,RAG2_code_potential_somatic,ENSG00000106511,2488,1.0,3.4497734597763787,0.4415516970195869,1.4857751504158297e-27,4.173188647108062,1.3947782351297848,0.6666666666666666
2484,RAG2_code_potential_somatic,ENSG00000106511,2484,1.0,3.4497734597763787,0.3815883184261269,1.946245305429649e-20,5.482415670004479,1.8497811879686088,0.6666666666666666
2440,RAG2_code_potential_somatic,ENSG00000169057,2440,1.0,2.682290605249106,0.11256951646720027,0.008350591842490531,5.0575628222415085,1.6692452213219566,1.0
