,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,RBPJL_code_potential_somatic,ENSG00000125952,1313,1.0,1.9048384950689956,0.6383058949876683,4.830752998599309e-64,4.480706370494778,1.748477762358162,1.0
1311,RBPJL_code_potential_somatic,ENSG00000125952,1311,1.0,1.9048384950689956,0.4344864971050772,1.2215048897877538e-26,5.807480243106866,2.223311591654641,1.0
1308,RBPJL_code_potential_somatic,ENSG00000125952,1308,1.0,1.9048384950689956,0.293091131242117,2.5647925652965465e-12,3.1932003200420307,1.318966680207864,1.0
1316,RBPJL_code_potential_somatic,ENSG00000125952,1316,1.0,1.9048384950689956,0.41974138966359315,8.47913416258375e-25,3.1372588994522888,1.312452137762649,1.0
1307,RBPJL_code_potential_somatic,ENSG00000125952,1307,1.0,1.9048384950689956,0.3594368228235468,3.721926650177375e-18,3.2484865232907185,1.3663903248217935,1.0
1310,RBPJL_code_potential_somatic,ENSG00000125952,1310,1.0,1.9048384950689956,0.1946859219633426,4.409687713544408e-06,3.6859676670870294,1.4963560205780135,1.0
1037,RBPJL_code_potential_somatic,ENSG00000137203,1037,-1.0,1.7625406608499594,0.188860127183953,8.542161780917127e-06,-6.678337547381664,2.391773164346913,1.0
2318,RBPJL_code_potential_somatic,ENSG00000135457,2318,1.0,1.4133109824109298,0.36490429337901564,1.0566881936261309e-18,7.727489958861763,2.753087451935586,1.0
1588,RBPJL_code_potential_somatic,ENSG00000185811,1588,1.0,1.409985449977597,0.3550750238609369,9.988427254548676e-18,3.3930845913092917,1.499196581140425,1.0
1585,RBPJL_code_potential_somatic,ENSG00000185811,1585,1.0,1.409985449977597,0.40857361801806463,1.835320516994237e-23,11.467896669722935,4.069806403171872,1.0
1584,RBPJL_code_potential_somatic,ENSG00000185811,1584,1.0,1.409985449977597,-0.32656126800982105,4.392501871817817e-15,-4.999233037932968,1.928903196594899,1.0
1587,RBPJL_code_potential_somatic,ENSG00000185811,1587,1.0,1.409985449977597,0.31388436365402334,5.394745960784327e-14,3.7168646455208103,1.4968515424739803,1.0
366,RBPJL_code_potential_somatic,ENSG00000163497,366,-1.0,1.5933435689562148,0.2894018731355593,4.928790824080555e-12,-3.6951799105266034,1.6308657979228958,1.0
364,RBPJL_code_potential_somatic,ENSG00000163497,364,-1.0,1.5933435689562148,-0.29843019019556005,9.798844265767807e-13,7.115723879359617,2.5378528259803392,1.0
361,RBPJL_code_potential_somatic,ENSG00000163497,361,-1.0,1.5933435689562148,-0.23103258225524304,4.496299133309155e-08,3.3821561948310257,1.3881617119201655,1.0
367,RBPJL_code_potential_somatic,ENSG00000163497,367,-1.0,1.5933435689562148,-0.2748689275683561,5.896715648202729e-11,8.35573047769378,2.8118098132030833,1.0
960,RBPJL_code_potential_somatic,ENSG00000101412,960,-1.0,2.4176707710005267,0.6491518019355196,7.070099083657812e-67,-4.262196721270822,1.7468420024379043,1.0
963,RBPJL_code_potential_somatic,ENSG00000101412,963,-1.0,2.4176707710005267,0.6513661348023898,1.8046161375597924e-67,-3.217650269105553,1.34273590016598,1.0
959,RBPJL_code_potential_somatic,ENSG00000101412,959,-1.0,2.4176707710005267,0.7769628587535349,8.154332160431679e-112,-4.061061075564722,1.6022719763608715,1.0
965,RBPJL_code_potential_somatic,ENSG00000101412,965,-1.0,2.4176707710005267,0.6201656764623934,1.50771877898473e-59,-3.527485121681006,1.4652028720842223,1.0
964,RBPJL_code_potential_somatic,ENSG00000101412,964,-1.0,2.4176707710005267,0.3713515772427513,2.320072316957606e-19,-4.677388691073845,2.7073489320284945,1.0
31,RBPJL_code_potential_somatic,ENSG00000261678,31,-1.0,3.816228729729587,-0.23690966716517176,1.984404634231846e-08,3.8903355653870935,1.5511515849175155,1.0
221,RBPJL_code_potential_somatic,ENSG00000020633,221,1.0,1.3776479693015609,0.6379715611320159,5.8828214436437776e-64,3.2253207815561153,1.3323270390635755,1.0
223,RBPJL_code_potential_somatic,ENSG00000020633,223,1.0,1.3776479693015609,0.41155265298836496,8.17328897573916e-24,3.2189001160197095,1.3462364323736598,1.0
1451,RBPJL_code_potential_somatic,ENSG00000007372,1451,-1.0,1.7446810025761512,0.2724136213665075,8.841964764630294e-11,-3.642880796375677,1.612592861444952,0.5
524,RBPJL_code_potential_somatic,ENSG00000120690,524,1.0,1.8083038827654287,0.6207065899937414,1.1183039932827503e-59,4.989492733291813,2.022301969839199,1.0
506,RBPJL_code_potential_somatic,ENSG00000120690,506,1.0,1.8083038827654287,0.6316443020286737,2.3401461848474217e-62,5.863637661481113,2.304713792245992,1.0
528,RBPJL_code_potential_somatic,ENSG00000120690,528,1.0,1.8083038827654287,0.5146372237033298,2.1871123933028906e-38,7.168488761402052,2.539895172740483,1.0
514,RBPJL_code_potential_somatic,ENSG00000120690,514,1.0,1.8083038827654287,0.720242482100378,9.169289141148163e-89,3.393960631132026,1.3864928916929464,1.0
519,RBPJL_code_potential_somatic,ENSG00000120690,519,1.0,1.8083038827654287,0.43115883614483685,3.239143679177495e-26,7.7124651952452075,3.9996936570328163,1.0
513,RBPJL_code_potential_somatic,ENSG00000120690,513,1.0,1.8083038827654287,0.5715665134418617,7.541806748598516e-49,6.717083877822566,2.3769171155141584,1.0
505,RBPJL_code_potential_somatic,ENSG00000120690,505,1.0,1.8083038827654287,0.593719832020754,1.682613800120794e-53,3.199335437600297,1.324726978617583,1.0
344,RBPJL_code_potential_somatic,ENSG00000159216,344,1.0,1.404815166016359,0.46056329822208036,3.988216844167444e-30,3.236239590067688,1.3376980522445217,1.0
346,RBPJL_code_potential_somatic,ENSG00000159216,346,1.0,1.404815166016359,0.6165858614186533,1.0733277171175652e-58,5.182887676976084,2.0024553709296367,1.0
1546,RBPJL_code_potential_somatic,ENSG00000173404,1546,-1.0,1.493146204830132,0.418613404840673,1.1628277981738513e-24,-3.8113905765345133,1.5991726572363838,1.0
1522,RBPJL_code_potential_somatic,ENSG00000113916,1522,1.0,1.6965711523728935,0.20905214200810465,7.922529811932706e-07,5.078324296630892,1.9869564729492504,0.875
1523,RBPJL_code_potential_somatic,ENSG00000113916,1523,1.0,1.6965711523728935,0.323287421310316,8.491104504296732e-15,3.1916636323548038,1.3259924610398244,0.875
1531,RBPJL_code_potential_somatic,ENSG00000113916,1531,1.0,1.6965711523728935,0.31463397151358885,4.666481870643881e-14,3.7329444880433926,1.607502605700752,0.875
1526,RBPJL_code_potential_somatic,ENSG00000113916,1526,1.0,1.6965711523728935,0.2997373382810369,7.718583792617932e-13,3.7616753379107006,1.531473019296302,0.875
1529,RBPJL_code_potential_somatic,ENSG00000113916,1529,1.0,1.6965711523728935,0.2930879228038076,2.566260578578119e-12,3.4350322292123177,1.481184082927729,0.875
1538,RBPJL_code_potential_somatic,ENSG00000113916,1538,1.0,1.6965711523728935,0.6841581243819654,7.158883160947051e-77,5.288319597253552,1.9877787985795101,0.875
1532,RBPJL_code_potential_somatic,ENSG00000113916,1532,1.0,1.6965711523728935,0.2540152693954289,1.6196192939160244e-09,4.364532503616936,1.7208936621436273,0.875
2101,RBPJL_code_potential_somatic,ENSG00000105856,2101,1.0,1.5569555541913258,0.2938920011955808,2.222919856400888e-12,5.4719488721564336,2.016247387708356,1.0
2094,RBPJL_code_potential_somatic,ENSG00000105856,2094,1.0,1.5569555541913258,0.2907389084469941,3.89407002302842e-12,9.439571882994688,3.6788400462570676,1.0
2095,RBPJL_code_potential_somatic,ENSG00000105856,2095,1.0,1.5569555541913258,0.305855830137109,2.4855471270809603e-13,5.504465230859553,2.3916562419464262,1.0
1720,RBPJL_code_potential_somatic,ENSG00000170365,1720,1.0,3.8265171097111033,-0.214570145466947,3.964274428907616e-07,-4.7361315089592,2.7410128965923537,0.3333333333333333
3048,RBPJL_code_potential_somatic,ENSG00000183734,3048,1.0,1.4308762415015208,-0.2065527685650632,1.0775334269494765e-06,-3.4772562444114143,1.517223230046809,1.0
3040,RBPJL_code_potential_somatic,ENSG00000183734,3040,1.0,1.4308762415015208,-0.26506586012361094,2.901186024188211e-10,-3.566876462299193,1.499161115244182,1.0
159,RBPJL_code_potential_somatic,ENSG00000178573,159,1.0,1.341262392215139,0.4123296784116655,6.609690096601123e-24,10.620184674518994,3.712927908224134,1.0
157,RBPJL_code_potential_somatic,ENSG00000178573,157,1.0,1.341262392215139,0.42850990572514464,6.986103301632626e-26,3.126672267193883,1.3076944780909823,1.0
158,RBPJL_code_potential_somatic,ENSG00000178573,158,1.0,1.341262392215139,0.4564464343567742,1.4837418012313657e-29,3.469935437867908,1.4135668320047774,1.0
155,RBPJL_code_potential_somatic,ENSG00000178573,155,1.0,1.341262392215139,0.437889848041799,4.454969881791262e-27,5.047065807431346,1.9448243545349004,1.0
166,RBPJL_code_potential_somatic,ENSG00000178573,166,1.0,1.341262392215139,0.5169340280185626,9.020489212937334e-39,3.198339410509385,1.3193031006990965,1.0
154,RBPJL_code_potential_somatic,ENSG00000178573,154,1.0,1.341262392215139,0.6056710459662019,3.657733594393192e-56,3.7085040071184503,1.4944440734524085,1.0
165,RBPJL_code_potential_somatic,ENSG00000178573,165,1.0,1.341262392215139,0.5041632039231617,1.1409910202983428e-36,3.5368309923547603,1.4496893209771813,1.0
171,RBPJL_code_potential_somatic,ENSG00000178573,171,1.0,1.341262392215139,0.3972264655034182,3.7145130551871923e-22,8.667457811461247,3.531346735339567,1.0
3253,RBPJL_code_potential_somatic,ENSG00000184481,3253,-1.0,1.778626478821986,-0.23141729043447137,4.264722675816897e-08,3.30311799163879,1.3766104559045547,1.0
3259,RBPJL_code_potential_somatic,ENSG00000184481,3259,-1.0,1.778626478821986,-0.22017601638403608,1.9249384956311133e-07,5.1523969345093175,2.367148648149129,1.0
3252,RBPJL_code_potential_somatic,ENSG00000184481,3252,-1.0,1.778626478821986,-0.30368539453983595,3.726652938907681e-13,8.582846726666547,3.009204521365035,1.0
3265,RBPJL_code_potential_somatic,ENSG00000184481,3265,-1.0,1.778626478821986,0.3577604138068726,5.449156345779989e-18,-3.48439738515606,1.7073062190865247,1.0
3257,RBPJL_code_potential_somatic,ENSG00000184481,3257,-1.0,1.778626478821986,-0.16339796076036198,0.0001219533298829075,4.193812696473779,1.665148443309803,1.0
3103,RBPJL_code_potential_somatic,ENSG00000184486,3103,-1.0,1.9232161283333116,0.3951167714768668,6.415788450770041e-22,-2.6574306691618195,1.732309171166316,0.6666666666666666
3112,RBPJL_code_potential_somatic,ENSG00000184486,3112,-1.0,1.9232161283333116,-0.22947261222369789,5.56624537586132e-08,8.474787584932411,2.8029271170927648,0.6666666666666666
3104,RBPJL_code_potential_somatic,ENSG00000184486,3104,-1.0,1.9232161283333116,0.5073930075149646,3.4200584568360427e-37,-3.324980897702155,1.4121565186447371,0.6666666666666666
3108,RBPJL_code_potential_somatic,ENSG00000184486,3108,-1.0,1.9232161283333116,0.3355158005742668,6.94849595439125e-16,-3.278945734321555,1.3965486360612591,0.6666666666666666
3327,RBPJL_code_potential_somatic,ENSG00000128604,3327,1.0,1.3822748670940415,0.26238652245903177,4.434663181358086e-10,3.7425521012581133,1.5884779044287767,1.0
3329,RBPJL_code_potential_somatic,ENSG00000128604,3329,1.0,1.3822748670940415,0.3914265569876615,1.6532030520778984e-21,11.662746634999307,3.5995596569735673,1.0
