,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1308,REPIN1_code_potential_somatic,ENSG00000125952,1308,1.0,1.4715949166706548,0.293091131242117,2.5647925652965465e-12,3.6548707560401232,1.7800782715836658,1.0
1440,REPIN1_code_potential_somatic,ENSG00000221869,1440,1.0,3.0582587033917257,0.7210168824377889,4.8594174980191e-89,7.192656207533475,2.7287337821340643,1.0
1442,REPIN1_code_potential_somatic,ENSG00000221869,1442,1.0,3.0582587033917257,0.34831433390961264,4.477296755863648e-17,4.664675207489239,1.702704619825355,1.0
366,REPIN1_code_potential_somatic,ENSG00000163497,366,-1.0,1.8915382919065529,0.2894018731355593,4.928790824080555e-12,-2.6881648772371745,1.7920603400863755,1.0
368,REPIN1_code_potential_somatic,ENSG00000163497,368,-1.0,1.8915382919065529,-0.2799891086086114,2.5004418102251358e-11,4.790981986222126,1.657432348121898,1.0
367,REPIN1_code_potential_somatic,ENSG00000163497,367,-1.0,1.8915382919065529,-0.2748689275683561,5.896715648202729e-11,5.941092974920196,2.0570535865589803,1.0
1411,REPIN1_code_potential_somatic,ENSG00000170689,1411,-1.0,10.57908217706378,-0.10585575961753706,0.013162914984489954,4.850426116966227,1.7362625057401326,0.6666666666666666
1412,REPIN1_code_potential_somatic,ENSG00000170689,1412,-1.0,10.57908217706378,-0.12531776511230677,0.0032979717084882813,8.144546264995375,2.949174312555849,0.6666666666666666
3649,REPIN1_code_potential_somatic,ENSG00000198353,3649,-1.0,6.481067764134207,0.3031002920626809,4.154193656006295e-13,-5.23315505688337,2.4419953120206537,0.5
3698,REPIN1_code_potential_somatic,ENSG00000163884,3698,-1.0,1.8251364390547815,-0.3262951134682438,4.635677907970887e-15,3.703202251011907,1.8789144206525514,1.0
1533,REPIN1_code_potential_somatic,ENSG00000113916,1533,1.0,6.67653808554038,-0.19397182568233826,4.787112997302301e-06,-4.861171975362115,3.5225021216121997,1.0
1538,REPIN1_code_potential_somatic,ENSG00000113916,1538,1.0,6.67653808554038,0.6841581243819654,7.158883160947051e-77,13.482198527647544,21.93450460068586,1.0
1723,REPIN1_code_potential_somatic,ENSG00000170365,1723,1.0,1.5408799692678117,0.35332022686283937,1.479504512321763e-17,6.1172050431747715,1.9971911594853922,1.0
