,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3646,RGS12_code_potential_somatic,ENSG00000198353,3646,1.0,2.2381579539269576,0.27271791257253536,8.410853905558882e-11,7.5203690262670815,3.8967771251211416,1.0
3648,RGS12_code_potential_somatic,ENSG00000198353,3648,1.0,2.2381579539269576,0.16537953601169392,0.00010048856265653956,6.1366491925449935,2.004330296486381,1.0
2459,RGS12_code_potential_somatic,ENSG00000071794,2459,1.0,1.367007274485179,0.2560222204770262,1.1922324735613492e-09,6.271256681889698,2.318327100526775,1.0
1812,RGS12_code_potential_somatic,ENSG00000281306,1812,1.0,1.3349392528038488,0.19703894686804288,3.3570467475867707e-06,4.5124835821696125,1.438703221823736,1.0
1807,RGS12_code_potential_somatic,ENSG00000281306,1807,1.0,1.3349392528038488,0.263323896878751,3.8249225043729997e-10,5.136453724824329,1.5409331012274683,1.0
3601,RGS12_code_potential_somatic,ENSG00000166478,3601,1.0,1.8462111606060472,0.4831486621869576,2.1317641999305934e-33,6.837062437070087,1.8858663375936862,1.0
3603,RGS12_code_potential_somatic,ENSG00000166478,3603,1.0,1.8462111606060472,0.4036518736514077,6.861795405579112e-23,5.546047141926633,1.6792828004908664,1.0
470,RGS12_code_potential_somatic,ENSG00000172216,470,-1.0,2.3212256018199584,0.7912697226895726,9.865638401480642e-119,-2.958214979303293,1.46596362791596,1.0
458,RGS12_code_potential_somatic,ENSG00000172216,458,-1.0,2.3212256018199584,0.6437152490583052,1.92593106774297e-65,-5.345825711302472,3.765706888513285,1.0
113,RGS12_code_potential_somatic,ENSG00000057657,113,-1.0,2.793157284637971,0.48237695985448864,2.783612097846488e-33,-4.543866639206205,2.3212256018199584,1.0
2274,RGS12_code_potential_somatic,ENSG00000165030,2274,1.0,3.6542400065893443,0.16691090903297162,8.639333942545057e-05,4.230966653491248,1.4633611649649716,1.0
3547,RGS12_code_potential_somatic,ENSG00000167157,3547,-1.0,15.31671430636195,-0.2097524312342929,7.263508125129762e-07,4.117973304986163,1.3625660554760504,1.0
2896,RGS12_code_potential_somatic,ENSG00000109381,2896,1.0,1.6216717971146295,0.2669809331990748,2.1359413618762443e-10,3.59092600580727,1.3349392528038488,0.5
1567,RGS12_code_potential_somatic,ENSG00000182568,1567,1.0,1.4916087802445466,0.1657206513392277,9.71730877692699e-05,13.484063443108328,5.240978994627923,1.0
1558,RGS12_code_potential_somatic,ENSG00000182568,1558,1.0,1.4916087802445466,0.1810524654770215,2.0085329692983338e-05,4.200486690961943,1.3518542717560633,1.0
1569,RGS12_code_potential_somatic,ENSG00000182568,1569,1.0,1.4916087802445466,0.299884707686113,7.513122910910073e-13,7.570327138879059,2.113216695874727,1.0
1570,RGS12_code_potential_somatic,ENSG00000182568,1570,1.0,1.4916087802445466,0.5369513287929557,2.989233645983186e-42,7.149456477792058,1.9213810938847613,1.0
1565,RGS12_code_potential_somatic,ENSG00000182568,1565,1.0,1.4916087802445466,0.6586203409009456,1.8979495177804281e-69,19.70411914615537,16.30914006725032,1.0
1559,RGS12_code_potential_somatic,ENSG00000182568,1559,1.0,1.4916087802445466,0.4311016676076871,3.2935593248948073e-26,4.733824752903533,1.4671801187979379,1.0
1566,RGS12_code_potential_somatic,ENSG00000182568,1566,1.0,1.4916087802445466,-0.24212873464953683,9.423878474541465e-09,-5.230906736296247,1.7731781117618768,1.0
1917,RGS12_code_potential_somatic,ENSG00000167034,1917,-1.0,1.3830044319048291,-0.33248572226722545,1.3056476504494472e-15,4.796844001955763,1.4743565237974248,1.0
1115,RGS12_code_potential_somatic,ENSG00000165804,1115,1.0,4.519627062044635,0.350485717454568,2.7763467624571606e-17,6.039368228208533,1.7002872068532402,1.0
1204,RGS12_code_potential_somatic,ENSG00000100811,1204,1.0,1.4163110282212492,0.49941901744931055,6.5434422067206e-36,9.0987158425925,2.581286274794907,1.0
