,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
366,RIMS2_code_potential_somatic,ENSG00000163497,366,-1.0,2.236085868358457,0.2894018731355593,4.928790824080555e-12,-2.731287002894116,1.8492699655598406,1.0
368,RIMS2_code_potential_somatic,ENSG00000163497,368,-1.0,2.236085868358457,-0.2799891086086114,2.5004418102251358e-11,3.0183116994692925,1.9752374635198742,1.0
2528,RIMS2_code_potential_somatic,ENSG00000112333,2528,1.0,2.276982594953133,0.5900396803607918,1.0560480916954014e-52,2.446772586693331,1.5804784771472424,1.0
2529,RIMS2_code_potential_somatic,ENSG00000112333,2529,1.0,2.276982594953133,-0.2800459856712603,2.476477360786239e-11,-3.2202389975906818,2.299294850441948,1.0
2035,RIMS2_code_potential_somatic,ENSG00000054598,2035,1.0,1.946535470909896,0.46502937142974654,9.396365267908402e-31,2.3603891158471138,1.4305679744796667,1.0
2051,RIMS2_code_potential_somatic,ENSG00000054598,2051,1.0,1.946535470909896,-0.3056735325058917,2.571888608765702e-13,-2.6413502235567905,1.8050596359589972,1.0
2054,RIMS2_code_potential_somatic,ENSG00000054598,2054,1.0,1.946535470909896,0.31473190180107874,4.578765605275875e-14,2.400896801372161,1.5340600797023694,1.0
2033,RIMS2_code_potential_somatic,ENSG00000054598,2033,1.0,1.946535470909896,0.37662573939007743,6.542483829647519e-20,2.393626692268365,1.4770871029842705,1.0
2980,RIMS2_code_potential_somatic,ENSG00000187079,2980,1.0,1.3944856435524182,0.34025801823370083,2.5530111958010085e-16,3.140950860135911,2.12028060561632,1.0
2970,RIMS2_code_potential_somatic,ENSG00000187079,2970,1.0,1.3944856435524182,0.45223907794733165,5.578391551470065e-29,2.6250267488030086,1.669988537382728,1.0
3026,RIMS2_code_potential_somatic,ENSG00000166949,3026,1.0,1.7916772865138677,0.3849844503766524,8.387289374062211e-21,2.6778911073075395,1.7530045743106295,1.0
3071,RIMS2_code_potential_somatic,ENSG00000100968,3071,1.0,1.5004455744196812,0.29690253719655557,1.2930951840202602e-12,2.9582812527984768,1.9490433528062097,1.0
3194,RIMS2_code_potential_somatic,ENSG00000176165,3194,1.0,1.6677952654320536,0.3617291790765779,2.2018247943940607e-18,2.446772586693331,1.5804784771472424,1.0
3179,RIMS2_code_potential_somatic,ENSG00000176165,3179,1.0,1.6677952654320536,0.5844367991248547,1.654511029519718e-51,2.8501856402469232,1.876721340241541,1.0
1290,RIMS2_code_potential_somatic,ENSG00000118263,1290,1.0,1.5894650957006278,0.20138747456310002,2.010454652407139e-06,2.364504873607517,1.4855827601040648,1.0
1292,RIMS2_code_potential_somatic,ENSG00000118263,1292,1.0,1.5894650957006278,0.5005456168102334,4.332669506832742e-36,2.8474642520331144,1.930233922644311,1.0
1285,RIMS2_code_potential_somatic,ENSG00000118263,1285,1.0,1.5894650957006278,0.47341134359406495,5.880013452014301e-32,2.3620414204123925,1.4594957916153763,1.0
