,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1035,RLTPR_code_potential_somatic,ENSG00000137203,1035,-1.0,3.001321396562211,0.38751189765490146,4.4541864144617496e-21,-3.1050930215393993,1.5144523428529684,1.0
1505,RLTPR_code_potential_somatic,ENSG00000165495,1505,-1.0,3.3858024080406413,0.40147655247761804,1.2205230895498734e-22,-3.434333540612554,1.6564760834382808,1.0
1507,RLTPR_code_potential_somatic,ENSG00000165495,1507,-1.0,3.3858024080406413,0.31968660557945966,1.737041989800858e-14,-5.090227264562164,2.7231917079467225,1.0
639,RLTPR_code_potential_somatic,ENSG00000115844,639,-1.0,1.8763800261315684,0.24863172866937241,3.6366861171739948e-09,-6.450278342657702,2.9694409355782385,1.0
835,RLTPR_code_potential_somatic,ENSG00000152284,835,-1.0,1.9768544691361716,0.5134336947420332,3.4694159806059647e-38,-9.740830340383898,5.4892389613309485,1.0
832,RLTPR_code_potential_somatic,ENSG00000152284,832,-1.0,1.9768544691361716,0.2787978302498419,3.057707982116084e-11,-2.813321445308878,1.3808374984822618,1.0
1100,RLTPR_code_potential_somatic,ENSG00000176887,1100,-1.0,3.15366111911039,0.5747518364116476,1.6996917970202137e-49,-8.57007801835608,4.172276839050507,1.0
1104,RLTPR_code_potential_somatic,ENSG00000176887,1104,-1.0,3.15366111911039,0.6051891968673684,4.707148290550106e-56,-2.852664743343169,1.3552166018289002,1.0
371,RLTPR_code_potential_somatic,ENSG00000112561,371,-1.0,1.931249427130678,0.3455223363089412,8.232171146233444e-17,-2.9904816023655876,1.4229345879234694,1.0
3264,RLTPR_code_potential_somatic,ENSG00000184481,3264,-1.0,1.3025957148146914,0.25129859717597636,2.44176272655712e-09,-6.473130820267692,2.8852180990063085,1.0
3261,RLTPR_code_potential_somatic,ENSG00000184481,3261,-1.0,1.3025957148146914,-0.216595909664086,3.0602078586550607e-07,3.1446967700122306,1.5036689651446091,1.0
3258,RLTPR_code_potential_somatic,ENSG00000184481,3258,-1.0,1.3025957148146914,0.3408873825757153,2.2324339101400756e-16,-5.361053543775773,2.4085962470742937,1.0
7,RLTPR_code_potential_somatic,ENSG00000126351,7,-1.0,1.306337788923559,0.5924389359447688,3.1973683806405464e-53,-2.9842601694949145,1.467650715226961,1.0
196,RLTPR_code_potential_somatic,ENSG00000125820,196,-1.0,3.0203842309907754,0.6110351173052444,2.1427077529094173e-57,-4.708529704495523,2.1600213485606377,1.0
192,RLTPR_code_potential_somatic,ENSG00000125820,192,-1.0,3.0203842309907754,0.3581231131739425,5.0187136753240924e-18,-3.80549929842744,1.856898808319383,1.0
2158,RLTPR_code_potential_somatic,ENSG00000124766,2158,-1.0,2.2737765361403284,0.7488274069467211,1.3197331325854062e-99,-7.196437956614921,3.2869380072300047,1.0
3746,RLTPR_code_potential_somatic,ENSG00000128713,3746,-1.0,1.5796598718652983,0.1697353800737623,6.514836078854801e-05,-2.7210368652084713,1.3334941818982429,1.0
2512,RLTPR_code_potential_somatic,ENSG00000128652,2512,-1.0,3.1012740899365254,0.1865944325210957,1.0987742459927316e-05,-4.1352172052014415,2.0465319460020184,1.0
2513,RLTPR_code_potential_somatic,ENSG00000128652,2513,-1.0,3.1012740899365254,0.2976693980399551,1.1252597729420222e-12,-3.2608322876522466,1.5394954859125076,1.0
1361,RLTPR_code_potential_somatic,ENSG00000173153,1361,-1.0,1.4000971444237016,0.1917439298717055,6.17314799274213e-06,-4.6173013318094585,2.387876812956335,0.25
503,RLTPR_code_potential_somatic,ENSG00000068305,503,-1.0,1.3536132947509538,0.24830322833791887,3.818369841885456e-09,-2.852664743343169,1.3552166018289002,1.0
500,RLTPR_code_potential_somatic,ENSG00000068305,500,-1.0,1.3536132947509538,0.40121105420751324,1.3090178053946188e-22,-4.211406605448179,2.0123441336142447,1.0
490,RLTPR_code_potential_somatic,ENSG00000068305,490,-1.0,1.3536132947509538,0.21440337959390943,4.0492010423748867e-07,-3.9917002091249887,1.9314550897396792,1.0
1552,RLTPR_code_potential_somatic,ENSG00000182568,1552,-1.0,3.3622600032123815,0.28307759527840387,1.477471382374854e-11,-2.7512181549726717,1.3379808108152125,1.0
1570,RLTPR_code_potential_somatic,ENSG00000182568,1570,-1.0,3.3622600032123815,0.5369513287929557,2.989233645983186e-42,-3.1496191977738865,1.4956547829311402,1.0
1559,RLTPR_code_potential_somatic,ENSG00000182568,1559,-1.0,3.3622600032123815,0.4311016676076871,3.2935593248948073e-26,-3.543333981888028,1.7095073833810397,1.0
1561,RLTPR_code_potential_somatic,ENSG00000182568,1561,-1.0,3.3622600032123815,0.23822107554581554,1.648445658405193e-08,-2.7025018761221116,1.368082591393531,1.0
1798,RLTPR_code_potential_somatic,ENSG00000147421,1798,-1.0,1.9797622312979668,0.5141627394287974,2.6240212468825756e-38,-5.07924010996575,2.2722574972324323,1.0
1158,RLTPR_code_potential_somatic,ENSG00000162702,1158,-1.0,1.3571657673321098,0.3524230308410404,1.806924640884381e-17,-4.493642605655616,2.333488502585818,1.0
1170,RLTPR_code_potential_somatic,ENSG00000162702,1170,-1.0,1.3571657673321098,0.5894637656842502,1.4047286638202446e-52,-3.3309368957451917,1.6209203427710626,1.0
1176,RLTPR_code_potential_somatic,ENSG00000162702,1176,-1.0,1.3571657673321098,0.6394811313566,2.411994971440027e-64,-3.176650176876912,1.5332395828855194,1.0
1153,RLTPR_code_potential_somatic,ENSG00000162702,1153,-1.0,1.3571657673321098,0.5253982528740864,3.2518881955657156e-40,-7.447624089661352,4.049387351199969,1.0
1164,RLTPR_code_potential_somatic,ENSG00000162702,1164,-1.0,1.3571657673321098,0.42427957981416875,2.3508949324205875e-25,-3.94903503258056,2.038750128005038,1.0
1162,RLTPR_code_potential_somatic,ENSG00000162702,1162,-1.0,1.3571657673321098,0.5310239577734518,3.3903727070524536e-41,-3.238848291970805,1.5453807357713236,1.0
1155,RLTPR_code_potential_somatic,ENSG00000162702,1155,-1.0,1.3571657673321098,0.3855103425831881,7.355781248504171e-21,-4.041670365863343,2.1747877976242296,1.0
943,RLTPR_code_potential_somatic,ENSG00000112242,943,-1.0,1.8720808609829103,0.4906530535545961,1.5362166371506275e-34,-7.022565806716861,3.1821639488822755,1.0
183,RLTPR_code_potential_somatic,ENSG00000007866,183,1.0,1.326969896966185,-0.16986697450173865,6.429015551285007e-05,-7.333449354142599,3.1240099787367193,1.0
