,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
885,RNF130_code_potential_somatic,ENSG00000139083,885,-1.0,1.7645278350713764,0.3774455682971878,5.362641469225887e-20,-4.3100197826169495,1.5256801687616908,1.0
889,RNF130_code_potential_somatic,ENSG00000139083,889,-1.0,1.7645278350713764,0.37569040670382775,8.203038178775998e-20,-5.8146030844151095,2.0308999007364816,1.0
1298,RNF130_code_potential_somatic,ENSG00000131759,1298,-1.0,2.0765620339835746,0.2173097142688804,2.7917800352979025e-07,-5.757151605005436,2.685833781104808,1.0
1583,RNF130_code_potential_somatic,ENSG00000105866,1583,1.0,1.9714414553709279,-0.18440426264363505,1.397546363172393e-05,-5.0707911209698295,1.7190788000935948,1.0
1574,RNF130_code_potential_somatic,ENSG00000105866,1574,1.0,1.9714414553709279,-0.21339921132211218,4.598802402890166e-07,-6.013297160098722,2.6581496805439917,1.0
3648,RNF130_code_potential_somatic,ENSG00000198353,3648,1.0,1.9714414553709279,0.16537953601169392,0.00010048856265653956,20.027143431624182,44.357576114573035,1.0
255,RNF130_code_potential_somatic,ENSG00000177606,255,-1.0,2.13072685420842,0.46501566264787897,9.438461489358275e-31,-5.85745466181719,2.152055250025852,1.0
251,RNF130_code_potential_somatic,ENSG00000177606,251,-1.0,2.13072685420842,0.7020705437872713,1.4989788859365892e-82,-5.238025586128178,1.8863298532837653,1.0
236,RNF130_code_potential_somatic,ENSG00000177606,236,-1.0,2.13072685420842,0.5406569292022357,6.389904688620846e-43,-4.096327741096412,1.4920528594208122,1.0
250,RNF130_code_potential_somatic,ENSG00000177606,250,-1.0,2.13072685420842,0.5698915628062372,1.6402869014388916e-48,-6.805971855766989,3.0338425433235936,1.0
254,RNF130_code_potential_somatic,ENSG00000177606,254,-1.0,2.13072685420842,-0.18991030737786954,7.593532978337662e-06,9.140289001290986,2.5640180300771513,1.0
243,RNF130_code_potential_somatic,ENSG00000177606,243,-1.0,2.13072685420842,0.5406951387857389,6.28842195941703e-43,-4.936167539576101,1.5538318064466572,1.0
3008,RNF130_code_potential_somatic,ENSG00000171940,3008,-1.0,1.3030211946597927,0.649163979417285,7.017423356659764e-67,-4.5598310031194975,1.5088638042318672,1.0
3277,RNF130_code_potential_somatic,ENSG00000137309,3277,-1.0,1.474685208421009,0.27867693046081854,3.120616831555176e-11,-4.574120427362854,2.0171104077916473,0.5
3272,RNF130_code_potential_somatic,ENSG00000137309,3272,-1.0,1.474685208421009,0.21119056614133597,6.071337605769466e-07,-3.8589608624035945,1.4049629287684595,0.5
2918,RNF130_code_potential_somatic,ENSG00000162419,2918,1.0,1.728563136204481,0.5140835493377967,2.7049308769963784e-38,4.541251005330215,1.5445813582013623,1.0
2840,RNF130_code_potential_somatic,ENSG00000126456,2840,-1.0,2.1668852048245606,0.34532560070533147,8.591167713235556e-17,-4.219156732748143,1.6927207636710755,1.0
2830,RNF130_code_potential_somatic,ENSG00000126456,2830,-1.0,2.1668852048245606,0.5963904193990348,4.371680359735945e-54,-5.5561240607691795,3.6239113844958393,1.0
2837,RNF130_code_potential_somatic,ENSG00000126456,2837,-1.0,2.1668852048245606,0.4755943212683657,2.8211001466529374e-32,-2.4415814928843926,1.645640503753262,1.0
1839,RNF130_code_potential_somatic,ENSG00000112658,1839,-1.0,1.3043774899106266,0.43930433182194023,2.919581539654522e-27,-3.8908805446566785,1.6090525282732175,0.5
916,RNF130_code_potential_somatic,ENSG00000101057,916,1.0,1.8344166353020648,0.8137042900539069,9.46897652452271e-131,5.130986154060635,1.5864735973339747,1.0
941,RNF130_code_potential_somatic,ENSG00000112242,941,1.0,1.922165027466673,0.5505707119021468,9.360156667283042e-45,7.052239188533307,2.009275688806897,1.0
696,RNF130_code_potential_somatic,ENSG00000188786,696,-1.0,1.4427555994764683,0.41171431452772844,7.820438187644113e-24,-3.8908805446566785,1.6090525282732175,0.4
694,RNF130_code_potential_somatic,ENSG00000188786,694,-1.0,1.4427555994764683,0.2777765260007101,3.630562065344432e-11,-3.578966760143304,1.6363692110869936,0.4
396,RNF130_code_potential_somatic,ENSG00000168610,396,-1.0,2.438507982637171,0.42987393735746504,4.706685048495833e-26,-3.4359227090677487,1.7463593244838864,1.0
2133,RNF130_code_potential_somatic,ENSG00000175592,2133,-1.0,2.0146570958681633,0.6836078772118992,1.0539597238896441e-76,-3.65667023880787,1.3360190578105706,1.0
2139,RNF130_code_potential_somatic,ENSG00000175592,2139,-1.0,2.0146570958681633,0.6268982925785104,3.5071788300740385e-61,-4.225899948986418,1.5004870823488083,1.0
2138,RNF130_code_potential_somatic,ENSG00000175592,2138,-1.0,2.0146570958681633,0.6028789025274255,1.5681961555226815e-55,-4.159484230084331,1.5699653480239277,1.0
185,RNF130_code_potential_somatic,ENSG00000007866,185,-1.0,1.5642242077323882,0.42703621167438405,1.068239312855163e-25,-3.224429707843695,1.395103927841217,1.0
186,RNF130_code_potential_somatic,ENSG00000007866,186,-1.0,1.5642242077323882,0.5363189747697891,3.8821898238458e-42,-6.032433044662139,2.17200210353906,1.0
