,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2203,ROBO1_code_potential_somatic,ENSG00000169083,2203,1.0,2.162616479558176,0.4748926212262841,3.574342057785658e-32,4.645139792730592,1.4581489237390162,1.0
2358,ROBO1_code_potential_somatic,ENSG00000148516,2358,1.0,1.8759161769116797,-0.47289697259782226,6.985546911952625e-32,-7.18640119846728,4.3838908636180625,1.0
2363,ROBO1_code_potential_somatic,ENSG00000148516,2363,1.0,1.8759161769116797,0.5007088096496991,4.080975243308675e-36,4.483604608410761,1.3820602132746853,1.0
1108,ROBO1_code_potential_somatic,ENSG00000100105,1108,1.0,1.6882336086101581,0.5687831932084362,2.7362525640183454e-48,4.16134525981274,1.3943529786401567,1.0
2887,ROBO1_code_potential_somatic,ENSG00000125482,2887,1.0,1.6889731015287628,0.6821702780921197,2.88366451140532e-76,17.789033708348434,44.65775718053905,1.0
3049,ROBO1_code_potential_somatic,ENSG00000183734,3049,-1.0,2.2840526142727655,0.2479952911792666,3.996661987275056e-09,-5.484736827342925,1.7120488437449093,1.0
1889,ROBO1_code_potential_somatic,ENSG00000185697,1889,1.0,1.490953172427382,0.5169485389100075,8.969962979303061e-39,12.1781560998027,4.948388292646804,1.0
3351,ROBO1_code_potential_somatic,ENSG00000102974,3351,1.0,2.552421597510491,-0.16478750622455265,0.00010649693130003789,-4.198757338364599,1.3944277064590058,0.5
3553,ROBO1_code_potential_somatic,ENSG00000167157,3553,-1.0,22.434690124692185,-0.3781314885066346,4.538711291597494e-20,4.885035708307414,1.4660623727098387,1.0
1678,ROBO1_code_potential_somatic,ENSG00000143190,1678,1.0,1.9420888710616435,0.49206090170096095,9.310791978854605e-35,4.585026492838119,1.38935324663521,1.0
1675,ROBO1_code_potential_somatic,ENSG00000143190,1675,1.0,1.9420888710616435,0.49002514759363125,1.9191889527620623e-34,9.527399165908339,2.7667639773758834,1.0
3,ROBO1_code_potential_somatic,ENSG00000147862,3,1.0,1.3104125187269418,0.3334027522713009,1.0795469938655826e-15,6.788903665003835,2.8475149448977386,1.0
1,ROBO1_code_potential_somatic,ENSG00000147862,1,1.0,1.3104125187269418,-0.34791313328282963,4.8886237929099734e-17,-7.291708298046051,2.0585783749210065,1.0
3600,ROBO1_code_potential_somatic,ENSG00000174197,3600,1.0,2.1081892012009114,0.423077071719607,3.3088827658186693e-25,7.327665611899332,2.2458119206787988,1.0
2549,ROBO1_code_potential_somatic,ENSG00000263001,2549,1.0,1.4181969217688801,-0.12488430480834796,0.003408620152084813,-3.3672523386995845,1.4017574243868087,1.0
1127,ROBO1_code_potential_somatic,ENSG00000165804,1127,1.0,3.584578023438238,-0.2488335686066562,3.529246939257606e-09,-8.73118513711529,2.2840526142727655,1.0
1112,ROBO1_code_potential_somatic,ENSG00000165804,1112,1.0,3.584578023438238,0.40266600806178465,8.912850380793931e-23,3.4604784946697933,1.3062563264022837,1.0
1116,ROBO1_code_potential_somatic,ENSG00000165804,1116,1.0,3.584578023438238,0.4169209536324517,1.8635762799478215e-24,7.683157299719222,2.1999411122900154,1.0
839,ROBO1_code_potential_somatic,ENSG00000113580,839,1.0,1.9340859077823307,0.2903503957353438,4.170576972448733e-12,7.964698732465863,5.738158498804099,0.5
919,ROBO1_code_potential_somatic,ENSG00000106459,919,1.0,6.383135658437802,0.6639871102449301,6.013057518937056e-71,4.145347344259033,1.5580531049178559,1.0
932,ROBO1_code_potential_somatic,ENSG00000106459,932,1.0,6.383135658437802,0.44919405123453054,1.4381365370625404e-28,4.0702387397733535,1.330956809404533,1.0
918,ROBO1_code_potential_somatic,ENSG00000106459,918,1.0,6.383135658437802,0.46502025654818563,9.424334020821153e-31,3.682950747347264,1.4516187517046746,1.0
926,ROBO1_code_potential_somatic,ENSG00000106459,926,1.0,6.383135658437802,0.6328333200985253,1.1788917713746272e-62,6.428186482573441,2.2010787507843808,1.0
920,ROBO1_code_potential_somatic,ENSG00000106459,920,1.0,6.383135658437802,0.7131916472392081,2.6962513095890753e-86,8.93730907304464,2.64512362613932,1.0
