,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2724,RPL13AP6_code_potential_somatic,ENSG00000130726,2724,1.0,9.332622972466124,0.4769486468302052,1.783927552507496e-32,4.9939128549271565,2.988124833845949,1.0
2894,RPL13AP6_code_potential_somatic,ENSG00000183918,2894,-1.0,5.955843918025396,-0.4147288664466925,3.419186821723198e-24,4.999895389892766,1.7273887017041691,1.0
2956,RPL13AP6_code_potential_somatic,ENSG00000099326,2956,1.0,1.5238853565461536,0.30407842823274045,3.463977880396004e-13,7.0644480184164795,3.894495311071162,1.0
2957,RPL13AP6_code_potential_somatic,ENSG00000099326,2957,1.0,1.5238853565461536,0.41592837948999983,2.4543388813726996e-24,6.671031159174284,3.9300055319553175,1.0
2952,RPL13AP6_code_potential_somatic,ENSG00000099326,2952,1.0,1.5238853565461536,0.6748517573892705,4.433728282902681e-74,7.593196925595313,2.991021975998965,1.0
3684,RPL13AP6_code_potential_somatic,ENSG00000106689,3684,1.0,5.20918835217995,0.21229703984377238,5.284549734916635e-07,4.8652866168449975,1.8304207000423252,1.0
1889,RPL13AP6_code_potential_somatic,ENSG00000185697,1889,1.0,3.393837921919263,0.5169485389100075,8.969962979303061e-39,6.43977534266902,2.0684098665439694,1.0
946,RPL13AP6_code_potential_somatic,ENSG00000001167,946,1.0,1.5417682346773232,0.3569742005829587,6.510849095546955e-18,6.882356863441671,3.403895199131411,1.0
3346,RPL13AP6_code_potential_somatic,ENSG00000102974,3346,1.0,9.246468090077421,-0.3737324572255015,1.313940468327183e-19,-4.171217590534313,1.3869274325084864,1.0
3337,RPL13AP6_code_potential_somatic,ENSG00000102974,3337,1.0,9.246468090077421,0.315343400975234,4.066491240154021e-14,4.604572439141063,1.6236844383294207,1.0
956,RPL13AP6_code_potential_somatic,ENSG00000129173,956,1.0,1.3269866537841677,0.7719811749257338,1.5861341031969156e-109,3.9913830867155675,1.5197438631293865,1.0
3551,RPL13AP6_code_potential_somatic,ENSG00000167157,3551,-1.0,1.6562656118231514,0.23820553109920556,1.652084474045135e-08,-3.173348855384239,1.57118522154658,1.0
1426,RPL13AP6_code_potential_somatic,ENSG00000116035,1426,1.0,1.6870509507203078,-0.3587185701565507,4.383513563256642e-18,-3.7583101163907457,1.3128225218858074,1.0
916,RPL13AP6_code_potential_somatic,ENSG00000101057,916,1.0,1.759153482534135,0.8137042900539069,9.46897652452271e-131,9.03342858972042,4.120234443317514,1.0
3727,RPL13AP6_code_potential_somatic,ENSG00000124813,3727,-1.0,3.8739695079115277,-0.441509331050092,1.504886531202862e-27,3.758703723482037,1.664557768608242,1.0
1131,RPL13AP6_code_potential_somatic,ENSG00000165804,1131,1.0,1.30713295091295,0.4811802123650734,4.2045115283454574e-33,16.264072416091956,16.286742939994397,1.0
1119,RPL13AP6_code_potential_somatic,ENSG00000165804,1119,1.0,1.30713295091295,0.2661530102771384,2.438999883740879e-10,3.9962401231045157,1.8421056445826547,1.0
1129,RPL13AP6_code_potential_somatic,ENSG00000165804,1129,1.0,1.30713295091295,0.17657508981621997,3.227591270942632e-05,7.164546714470897,9.10177504160764,1.0
1116,RPL13AP6_code_potential_somatic,ENSG00000165804,1116,1.0,1.30713295091295,0.4169209536324517,1.8635762799478215e-24,8.058206296034513,4.0549166266124885,1.0
1124,RPL13AP6_code_potential_somatic,ENSG00000165804,1124,1.0,1.30713295091295,0.33866896624190596,3.5776368042370365e-16,8.724319400815613,3.1288425939018243,1.0
941,RPL13AP6_code_potential_somatic,ENSG00000112242,941,1.0,5.573845023268117,0.5505707119021468,9.360156667283042e-45,5.166835977354459,2.0975022066871762,1.0
929,RPL13AP6_code_potential_somatic,ENSG00000106459,929,1.0,4.248503373374879,0.53288725832165,1.588363949744896e-41,4.471703731896405,1.77271011576083,1.0
932,RPL13AP6_code_potential_somatic,ENSG00000106459,932,1.0,4.248503373374879,0.44919405123453054,1.4381365370625404e-28,5.764611520030838,2.625093560789064,1.0
923,RPL13AP6_code_potential_somatic,ENSG00000106459,923,1.0,4.248503373374879,0.7121543007985294,6.132342355537881e-86,6.44353584260887,3.2703917497986885,1.0
918,RPL13AP6_code_potential_somatic,ENSG00000106459,918,1.0,4.248503373374879,0.46502025654818563,9.424334020821153e-31,10.293924668033466,19.910819759633366,1.0
926,RPL13AP6_code_potential_somatic,ENSG00000106459,926,1.0,4.248503373374879,0.6328333200985253,1.1788917713746272e-62,10.565744886539699,6.075465764361842,1.0
920,RPL13AP6_code_potential_somatic,ENSG00000106459,920,1.0,4.248503373374879,0.7131916472392081,2.6962513095890753e-86,5.504888215098367,1.9967754141358527,1.0
