,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1311,RSBN1L_code_potential_somatic,ENSG00000125952,1311,1.0,1.4762560602578232,0.4344864971050772,1.2215048897877538e-26,4.496538241568841,1.6164481296362403,1.0
2524,RSBN1L_code_potential_somatic,ENSG00000112333,2524,-1.0,4.540145103690085,0.18161685894327023,1.89040325177178e-05,-12.105027052895924,4.723405453195767,1.0
1391,RSBN1L_code_potential_somatic,ENSG00000125398,1391,-1.0,1.4375808053820216,0.429461353521994,5.30490735006758e-26,-6.453378839630035,2.077825631065686,1.0
1393,RSBN1L_code_potential_somatic,ENSG00000125398,1393,-1.0,1.4375808053820216,0.565772292612199,1.088004707899191e-47,-12.262139013044012,25.34565811409218,1.0
3267,RSBN1L_code_potential_somatic,ENSG00000118922,3267,-1.0,2.7993805609290225,-0.42594184253466044,1.4623221067978944e-25,4.94938099940917,1.493823621730481,1.0
3269,RSBN1L_code_potential_somatic,ENSG00000118922,3269,-1.0,2.7993805609290225,0.3254074698423206,5.546153376746925e-15,-4.1628872095377645,1.4093640699826806,1.0
2534,RSBN1L_code_potential_somatic,ENSG00000177732,2534,-1.0,1.4426375944668142,0.23673403730844986,2.0341488626729835e-08,-4.774788655571934,1.8121176314365188,1.0
2541,RSBN1L_code_potential_somatic,ENSG00000177732,2541,-1.0,1.4426375944668142,0.3678287119790034,5.334864101638348e-19,-4.182886361348852,1.7522160212250297,1.0
2533,RSBN1L_code_potential_somatic,ENSG00000177732,2533,-1.0,1.4426375944668142,-0.31846557604556625,2.2093924051452993e-14,4.300907854138101,1.3611407286714179,1.0
2544,RSBN1L_code_potential_somatic,ENSG00000177732,2544,-1.0,1.4426375944668142,0.1265648702110139,0.0029975803511913166,-6.6839558225196,2.7744443253552573,1.0
1103,RSBN1L_code_potential_somatic,ENSG00000176887,1103,-1.0,8.048679993583477,-0.34866755379985925,4.1434742678126196e-17,22.380856968261444,32.22447643551596,1.0
1105,RSBN1L_code_potential_somatic,ENSG00000176887,1105,-1.0,8.048679993583477,0.25637369031001317,1.1296466103021258e-09,-4.136222660788798,1.5416815393470291,1.0
1099,RSBN1L_code_potential_somatic,ENSG00000176887,1099,-1.0,8.048679993583477,0.6638642416414896,6.512780905743984e-71,-9.971061643662686,3.018497787381461,1.0
1096,RSBN1L_code_potential_somatic,ENSG00000176887,1096,-1.0,8.048679993583477,0.6240930966293388,1.6996737217440208e-60,-4.746969852737303,1.6203420158402522,1.0
1100,RSBN1L_code_potential_somatic,ENSG00000176887,1100,-1.0,8.048679993583477,0.5747518364116476,1.6996917970202137e-49,-10.975597242888453,15.35543635883128,1.0
561,RSBN1L_code_potential_somatic,ENSG00000181449,561,-1.0,2.94801484242757,0.35285930553206957,1.6396659545587892e-17,-8.37754805371884,11.247985510976646,1.0
560,RSBN1L_code_potential_somatic,ENSG00000181449,560,-1.0,2.94801484242757,0.7759856705311577,2.31757765165303e-111,-7.830851999872699,2.3182219824657673,1.0
3100,RSBN1L_code_potential_somatic,ENSG00000184486,3100,-1.0,2.1087695510348414,0.3438958768432205,1.17051570381943e-16,-6.881020526594703,2.1980370045372326,1.0
3112,RSBN1L_code_potential_somatic,ENSG00000184486,3112,-1.0,2.1087695510348414,-0.22947261222369789,5.56624537586132e-08,4.9534451337003995,1.4856990652196096,1.0
3104,RSBN1L_code_potential_somatic,ENSG00000184486,3104,-1.0,2.1087695510348414,0.5073930075149646,3.4200584568360427e-37,-13.075873179987829,4.982615551101421,1.0
201,RSBN1L_code_potential_somatic,ENSG00000125820,201,-1.0,13.037728815375079,0.3954492094371546,5.887931734240413e-22,-6.3678181283778414,6.841657011560413,1.0
196,RSBN1L_code_potential_somatic,ENSG00000125820,196,-1.0,13.037728815375079,0.6110351173052444,2.1427077529094173e-57,-4.148900265642557,1.6845928673196322,1.0
2579,RSBN1L_code_potential_somatic,ENSG00000196767,2579,-1.0,2.5904161162742034,-0.2676199957750701,1.927417416791905e-10,7.595474738535032,2.008777652001033,1.0
2577,RSBN1L_code_potential_somatic,ENSG00000196767,2577,-1.0,2.5904161162742034,0.21614869711518375,3.2408662166958257e-07,-5.798339570190062,1.8097918348462412,1.0
743,RSBN1L_code_potential_somatic,ENSG00000196628,743,-1.0,4.675112889947861,-0.35899661050368326,4.114699005330921e-18,4.3126834041904045,1.365247208901306,1.0
2167,RSBN1L_code_potential_somatic,ENSG00000124766,2167,-1.0,2.0098484953393254,0.2376913915485506,1.7769218612626782e-08,-7.865328172677199,4.476761251467606,1.0
2166,RSBN1L_code_potential_somatic,ENSG00000124766,2166,-1.0,2.0098484953393254,0.1779606247325238,2.7904126501251873e-05,-7.401972860284157,3.1831107782625763,1.0
2170,RSBN1L_code_potential_somatic,ENSG00000124766,2170,-1.0,2.0098484953393254,0.32636919922557056,4.566691454960954e-15,-11.056736615241407,5.466683765429631,1.0
2158,RSBN1L_code_potential_somatic,ENSG00000124766,2158,-1.0,2.0098484953393254,0.7488274069467211,1.3197331325854062e-99,-7.219242691155195,3.0596311717918754,1.0
875,RSBN1L_code_potential_somatic,ENSG00000132005,875,-1.0,1.395389467904245,-0.34280398695128145,1.480802640841583e-16,4.274021367264071,1.7401925777003386,0.5
2562,RSBN1L_code_potential_somatic,ENSG00000175745,2562,-1.0,2.936159658809424,-0.25441734505084174,1.5235209289417991e-09,9.149882735145757,2.276667804772748,1.0
2572,RSBN1L_code_potential_somatic,ENSG00000175745,2572,-1.0,2.936159658809424,0.24496200443391591,6.244680347417678e-09,-4.494450284739211,1.4094739112647863,1.0
3487,RSBN1L_code_potential_somatic,ENSG00000129654,3487,-1.0,1.342336828380698,0.2500965995147821,2.923649799590827e-09,-7.906410583172653,11.75961110094342,0.5
664,RSBN1L_code_potential_somatic,ENSG00000131408,664,1.0,1.491392333223926,0.35709582956250685,6.334202219148733e-18,5.048955648338533,1.53324594175556,1.0
55,RSBN1L_code_potential_somatic,ENSG00000125347,55,1.0,1.4932340680418035,0.36897718705567234,4.0711881418957313e-19,5.9435724715455995,2.273363397057658,1.0
57,RSBN1L_code_potential_somatic,ENSG00000125347,57,1.0,1.4932340680418035,0.5910295564983017,6.458447969963658e-53,5.746693281340441,1.8528915832378132,1.0
783,RSBN1L_code_potential_somatic,ENSG00000115415,783,1.0,1.5905590190202312,0.72549804988932,1.1812802619047889e-90,4.330446057905966,1.6942696875332326,1.0
1435,RSBN1L_code_potential_somatic,ENSG00000116035,1435,-1.0,1.45549508458336,0.33872365553127115,3.5364439975546097e-16,-5.793569628094846,1.9580852187904334,0.5
1564,RSBN1L_code_potential_somatic,ENSG00000182568,1564,-1.0,8.727813381787206,0.28365547876936265,1.3379812363408308e-11,-4.694672809606209,2.0823115329093578,1.0
1571,RSBN1L_code_potential_somatic,ENSG00000182568,1571,-1.0,8.727813381787206,-0.4410157419838081,1.746283792144781e-27,6.883243519058311,1.85728446189266,1.0
2592,RSBN1L_code_potential_somatic,ENSG00000185630,2592,-1.0,1.6468734059741472,0.2908792776230314,3.798643919702454e-12,-3.848482094913916,1.7564714619414457,1.0
2218,RSBN1L_code_potential_somatic,ENSG00000187140,2218,-1.0,1.395389467904245,-0.33403129091008305,9.472778577955283e-16,2.720823921514795,2.1544907900603,1.0
2229,RSBN1L_code_potential_somatic,ENSG00000187140,2229,-1.0,1.395389467904245,-0.2994988341326952,8.062813036915475e-13,8.218637252235949,2.2225699163239194,1.0
329,RSBN1L_code_potential_somatic,ENSG00000134532,329,-1.0,1.3287101739663167,0.5573847785998916,4.72638074142059e-46,-5.040870653090399,1.6557457445757557,1.0
343,RSBN1L_code_potential_somatic,ENSG00000134532,343,-1.0,1.3287101739663167,-0.3510042448368025,2.4755618334021125e-17,5.9294319640752144,1.8482318096581831,1.0
334,RSBN1L_code_potential_somatic,ENSG00000134532,334,-1.0,1.3287101739663167,0.6472405935698375,2.2767547765862564e-66,-13.900482797933527,5.1379314945732295,1.0
339,RSBN1L_code_potential_somatic,ENSG00000134532,339,-1.0,1.3287101739663167,0.2097092885091168,7.302537756236115e-07,-4.558917666585389,1.855492773213125,1.0
1885,RSBN1L_code_potential_somatic,ENSG00000118513,1885,-1.0,2.0541006653358393,-0.43684591039046755,6.0777015077199534e-27,4.680499806366762,1.660031716794386,0.5
2985,RSBN1L_code_potential_somatic,ENSG00000074047,2985,-1.0,2.088824618985545,0.2975625275406147,1.1473023678005e-12,-4.67429060675551,1.7409549115724778,1.0
