,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,SASH1_code_potential_somatic,ENSG00000125952,1313,-1.0,2.334639334791693,0.6383058949876683,4.830752998599309e-64,-10.69985485778037,5.045391856444933,1.0
1320,SASH1_code_potential_somatic,ENSG00000125952,1320,-1.0,2.334639334791693,0.31249401608025534,7.05206169676757e-14,-2.9399745614507165,2.1183517040389814,1.0
834,SASH1_code_potential_somatic,ENSG00000152284,834,1.0,1.6790934571187575,-0.22092015531466508,1.7463831148306196e-07,-3.879080454263178,1.8824999719566327,1.0
832,SASH1_code_potential_somatic,ENSG00000152284,832,1.0,1.6790934571187575,0.2787978302498419,3.057707982116084e-11,5.4106644077320825,1.621481526953008,1.0
2534,SASH1_code_potential_somatic,ENSG00000177732,2534,-1.0,11.177422680730809,0.23673403730844986,2.0341488626729835e-08,-4.616897334481934,1.8671786633091667,1.0
375,SASH1_code_potential_somatic,ENSG00000112561,375,1.0,1.4760607724624872,0.31303325247339603,6.357187405864917e-14,2.6235534568871857,1.3052969029061823,1.0
1763,SASH1_code_potential_somatic,ENSG00000116017,1763,1.0,2.7034619901811836,0.10612682650377135,0.012929118521684267,3.793085833503797,1.8883025180064272,0.5
120,SASH1_code_potential_somatic,ENSG00000196843,120,-1.0,1.4120515950958619,0.275748938827259,5.0947342064368726e-11,-2.7149125645077876,2.0791686073902325,0.5
129,SASH1_code_potential_somatic,ENSG00000196843,129,-1.0,1.4120515950958619,0.35362189298297775,1.3831236173598629e-17,-3.475949776514609,1.4881569561215744,0.5
2488,SASH1_code_potential_somatic,ENSG00000106511,2488,-1.0,1.3057700498543567,0.4415516970195869,1.4857751504158297e-27,-3.475949776514609,1.4881569561215744,1.0
