,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3756,SCN1A_code_potential_somatic,ENSG00000176842,3756,-1.0,1.8187619589693522,0.1922083134370656,5.855888948107238e-06,-4.059414530191416,3.1774427202823308,1.0
82,SCN1A_code_potential_somatic,ENSG00000213928,82,1.0,1.7297566341313924,0.28806095624441214,6.234947022058461e-12,2.7621823874112454,1.380409863400312,1.0
2533,SCN1A_code_potential_somatic,ENSG00000177732,2533,-1.0,1.3239012215295283,-0.31846557604556625,2.2093924051452993e-14,2.2310280930054995,1.3818617242201654,1.0
1709,SCN1A_code_potential_somatic,ENSG00000170365,1709,1.0,1.5098867054489993,0.5748467770179856,1.6254511934235935e-49,3.377437328045267,1.4772965075152122,1.0
356,SCN1A_code_potential_somatic,ENSG00000173039,356,1.0,2.193504214489596,0.3999613674859924,1.8183068309375444e-22,4.577256317017384,4.4592922395893355,1.0
358,SCN1A_code_potential_somatic,ENSG00000173039,358,1.0,2.193504214489596,0.563718527498905,2.7670601494996506e-47,3.1867700735645528,1.4046077781420532,1.0
3194,SCN1A_code_potential_somatic,ENSG00000176165,3194,1.0,1.7587396209493267,0.3617291790765779,2.2018247943940607e-18,6.366553883950235,5.334106677865008,1.0
1235,SCN1A_code_potential_somatic,ENSG00000110777,1235,-1.0,2.170926314071224,0.36754829584680226,5.697930515715456e-19,-2.334192991100221,1.3671968566187978,1.0
1882,SCN1A_code_potential_somatic,ENSG00000118513,1882,-1.0,1.7335607752834779,-0.19039813930992,7.187867467240718e-06,3.955862988382734,2.057651065390832,0.75
1875,SCN1A_code_potential_somatic,ENSG00000118513,1875,-1.0,1.7335607752834779,0.37999052307517084,2.8821468727292314e-20,-3.823743491750523,2.068138288893898,0.75
1885,SCN1A_code_potential_somatic,ENSG00000118513,1885,-1.0,1.7335607752834779,-0.43684591039046755,6.0777015077199534e-27,3.341657464751668,1.57644815804326,0.75
