,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2493,SDK1_code_potential_somatic,ENSG00000184058,2493,-1.0,1.6225420090940472,-0.24809892724398988,3.935774117002259e-09,2.570255486521723,1.5269933263564817,1.0
2496,SDK1_code_potential_somatic,ENSG00000184058,2496,-1.0,1.6225420090940472,-0.18651243897039507,1.1087687294694841e-05,2.772441737808898,1.6895002710446951,1.0
1597,SDK1_code_potential_somatic,ENSG00000185811,1597,1.0,1.4513767861991749,0.21535191062865922,3.5884866081187396e-07,2.734701183318811,1.6175004211191404,1.0
230,SDK1_code_potential_somatic,ENSG00000020633,230,1.0,1.4793473867009157,0.4287268399062932,6.561586503023197e-26,2.64624214593099,1.5846488885844123,1.0
344,SDK1_code_potential_somatic,ENSG00000159216,344,1.0,1.4792174919751118,0.46056329822208036,3.988216844167444e-30,2.553009707745521,1.5413238768592121,1.0
348,SDK1_code_potential_somatic,ENSG00000159216,348,1.0,1.4792174919751118,0.3131232345841649,6.247962558606434e-14,2.6607499852770675,1.615550673692458,1.0
2188,SDK1_code_potential_somatic,ENSG00000132170,2188,1.0,1.331767223599244,0.38661812882856933,5.574890332489311e-21,2.3493971168170087,1.3609187786178147,1.0
2195,SDK1_code_potential_somatic,ENSG00000132170,2195,1.0,1.331767223599244,0.4387491990753573,3.447069013165574e-27,3.2391478364142516,1.985955258297759,1.0
3516,SDK1_code_potential_somatic,ENSG00000105991,3516,1.0,1.7097334366130437,0.204880772040821,1.320900086403999e-06,2.577750901332335,1.5500497056564313,1.0
3514,SDK1_code_potential_somatic,ENSG00000105991,3514,1.0,1.7097334366130437,0.28755586192906624,6.8100213599091565e-12,3.481950932122408,2.138685212623402,1.0
2101,SDK1_code_potential_somatic,ENSG00000105856,2101,1.0,1.3407388154138233,0.2938920011955808,2.222919856400888e-12,2.4275854069806146,1.4102385301450746,1.0
2103,SDK1_code_potential_somatic,ENSG00000105856,2103,1.0,1.3407388154138233,0.24667567508641092,4.856576332122605e-09,3.030928886925284,1.833048310192073,1.0
2095,SDK1_code_potential_somatic,ENSG00000105856,2095,1.0,1.3407388154138233,0.305855830137109,2.4855471270809603e-13,2.668406744085469,1.5872836750434642,1.0
163,SDK1_code_potential_somatic,ENSG00000178573,163,1.0,2.2481186310489543,0.4531010540667795,4.2591906544578275e-29,2.2810230808323784,1.3034872348637838,1.0
154,SDK1_code_potential_somatic,ENSG00000178573,154,1.0,2.2481186310489543,0.6056710459662019,3.657733594393192e-56,2.5078186415167436,1.501657942790083,1.0
1692,SDK1_code_potential_somatic,ENSG00000105997,1692,-1.0,1.5880789522458338,-0.19580218237023253,3.876084948608755e-06,3.1969386929328545,2.0073394304292673,1.0
