,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3532,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143437,3532,1.0,1.5830459797114855,0.21110277160214172,6.138372932581186e-07,2.7857441112569923,2.2045798970267474,1.0
3418,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100393,3418,1.0,1.5622138056622543,0.4573433387023632,1.1161228377162261e-29,2.75932836006081,2.1675541196030723,1.0
2604,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2604,1.0,1.6703127285399548,0.4409405624406941,1.786267814487868e-27,2.0740398273240555,1.3933279647587005,1.0
2599,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2599,1.0,1.6703127285399548,0.3299908698054381,2.183250779018185e-15,2.070567511678023,1.3909913011887578,1.0
366,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.6971269813188483,0.2894018731355593,4.928790824080555e-12,-3.027737818005588,2.555527805109047,1.0
363,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.6971269813188483,-0.26567493056812325,2.632663727496636e-10,2.203786168493572,1.5289577923510762,1.0
888,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,888,1.0,1.687899850389106,0.2889669754715621,5.319994671720451e-12,2.0877907374693017,1.4078486351662487,1.0
2951,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2951,1.0,2.5395727961751855,0.461927978289373,2.5699245299049342e-30,2.1193647241527533,1.4407355344528276,1.0
2960,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2960,1.0,2.5395727961751855,0.28522921776013527,1.0201303328519375e-11,2.6265903237434314,2.0119057550863677,1.0
2957,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2957,1.0,2.5395727961751855,0.41592837948999983,2.4543388813726996e-24,2.080873574061544,1.40264111746796,1.0
2952,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000099326,2952,1.0,2.5395727961751855,0.6748517573892705,4.433728282902681e-74,3.41235940059853,3.0549191796607795,1.0
2632,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143995,2632,1.0,1.3360237720886365,0.16687014728263141,8.674307949184707e-05,2.21142257694358,1.540014851732279,1.0
2633,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000143995,2633,1.0,1.3360237720886365,0.3102047953464811,1.0928255191385607e-13,2.2992248698472904,1.6316929443662516,1.0
2095,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2095,1.0,1.613343247043926,0.305855830137109,2.4855471270809603e-13,2.230406999306706,1.5568077605657678,1.0
2098,SIGNALING_EVENTS_MEDIATED_BY_PTP1B_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105856,2098,1.0,1.613343247043926,0.38110100039835687,2.1943428122448814e-20,2.1963758625573706,1.5245036640843541,1.0
