,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2359,SIPA1L1_code_potential_somatic,ENSG00000148516,2359,1.0,1.5273689510944537,0.48467070156951697,1.2570182182003646e-33,4.532312098029034,1.4621789878258593,1.0
1396,SIPA1L1_code_potential_somatic,ENSG00000125398,1396,1.0,1.8690141357792975,0.3393591450736945,3.0906595458958634e-16,4.06046670394652,1.3417170815606108,1.0
1405,SIPA1L1_code_potential_somatic,ENSG00000125398,1405,1.0,1.8690141357792975,-0.28136064326854693,1.9810491482248785e-11,-5.108235445063702,6.179637029311339,1.0
1391,SIPA1L1_code_potential_somatic,ENSG00000125398,1391,1.0,1.8690141357792975,0.429461353521994,5.30490735006758e-26,4.101965340108022,1.714230778766299,1.0
1400,SIPA1L1_code_potential_somatic,ENSG00000125398,1400,1.0,1.8690141357792975,-0.3265436945181717,4.4081644919256105e-15,-3.4105754526648733,1.4561569434712889,1.0
2280,SIPA1L1_code_potential_somatic,ENSG00000118689,2280,1.0,1.5684708615797647,0.23757034592142234,1.8076150531486775e-08,7.360354665014938,2.0658914337770864,1.0
2300,SIPA1L1_code_potential_somatic,ENSG00000118689,2300,1.0,1.5684708615797647,0.328233593559556,3.127140481836837e-15,5.283973029311896,1.9914680209120246,1.0
2301,SIPA1L1_code_potential_somatic,ENSG00000118689,2301,1.0,1.5684708615797647,0.5932008671242047,2.183214141928799e-53,5.891413387203787,6.162618195637941,1.0
2296,SIPA1L1_code_potential_somatic,ENSG00000118689,2296,1.0,1.5684708615797647,0.3734317390530455,1.4121369632795847e-19,7.891135282744071,5.132133036846226,1.0
2289,SIPA1L1_code_potential_somatic,ENSG00000118689,2289,1.0,1.5684708615797647,0.6409212826432166,1.0255208479425349e-64,4.018112891155019,1.3682670557599774,1.0
3401,SIPA1L1_code_potential_somatic,ENSG00000170345,3401,1.0,4.140237626489328,0.17891542680578748,2.5224884393378275e-05,5.305676755654916,1.7252083205044806,1.0
3404,SIPA1L1_code_potential_somatic,ENSG00000170345,3404,1.0,4.140237626489328,0.43853700463262035,3.6727014873598426e-27,5.164732391392037,1.6472250124679317,1.0
2047,SIPA1L1_code_potential_somatic,ENSG00000054598,2047,1.0,1.6976878690210464,0.2306455881020024,4.741496666014998e-08,4.5530929198912595,1.85383421228108,1.0
2049,SIPA1L1_code_potential_somatic,ENSG00000054598,2049,1.0,1.6976878690210464,0.25671013881818777,1.072734585399716e-09,4.018112891155019,1.3682670557599774,1.0
2033,SIPA1L1_code_potential_somatic,ENSG00000054598,2033,1.0,1.6976878690210464,0.37662573939007743,6.542483829647519e-20,4.688622784901075,1.487862743088503,1.0
2509,SIPA1L1_code_potential_somatic,ENSG00000128652,2509,-1.0,3.1402723145308205,-0.2848819037821037,1.0832176815210206e-11,3.811662434319848,1.6442228686089504,1.0
2511,SIPA1L1_code_potential_somatic,ENSG00000128652,2511,-1.0,3.1402723145308205,-0.19095853121833672,6.7473736561759085e-06,4.987745717958589,4.165894087800665,1.0
1554,SIPA1L1_code_potential_somatic,ENSG00000182568,1554,-1.0,1.7888970186545667,-0.439099429284452,3.104269743167222e-27,4.5933966423101165,4.320073704573967,0.3333333333333333
3472,SIPA1L1_code_potential_somatic,ENSG00000177463,3472,1.0,2.2769357306541522,0.10734836647103214,0.011920389157737249,3.635140545465491,1.3648593182041169,1.0
2214,SIPA1L1_code_potential_somatic,ENSG00000187140,2214,1.0,8.001192670552987,-0.23871089775635182,1.537676928478932e-08,-3.1861045915020485,1.3336288629758442,0.3333333333333333
2479,SIPA1L1_code_potential_somatic,ENSG00000106511,2479,1.0,1.853741060336605,0.2148087366066842,3.8457447323519043e-07,4.152986488997522,1.8552263826891913,1.0
2105,SIPA1L1_code_potential_somatic,ENSG00000183072,2105,1.0,4.162620143201169,0.1687019086009387,7.227411653022727e-05,4.324598766311923,1.3941830282340781,1.0
