,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,SIRPG_code_potential_somatic,ENSG00000028277,1635,-1.0,1.6276504842947426,-0.2939484405422057,2.200584761537425e-12,9.379494856600505,5.22499368029248,1.0
3052,SIRPG_code_potential_somatic,ENSG00000124782,3052,-1.0,2.0488038349922406,-0.33779743772658233,4.301413147830727e-16,5.241629510804459,2.966675674401713,1.0
3059,SIRPG_code_potential_somatic,ENSG00000124782,3059,-1.0,2.0488038349922406,0.4756982309181596,2.723821737395236e-32,-6.703530287450442,2.0609111944182215,1.0
3523,SIRPG_code_potential_somatic,ENSG00000153234,3523,-1.0,1.700319566239988,0.12843859818371767,0.0025928454275054203,-3.0021566084821285,1.3567515500579488,1.0
2092,SIRPG_code_potential_somatic,ENSG00000030419,2092,-1.0,2.7627657897283053,-0.2713725560541517,1.0486144463594457e-10,2.5653254603098476,1.3645542056349125,1.0
571,SIRPG_code_potential_somatic,ENSG00000090447,571,-1.0,4.5502183270722165,-0.2677949285819863,1.8738850665632585e-10,5.749384235583997,1.7703052743679992,1.0
1887,SIRPG_code_potential_somatic,ENSG00000185697,1887,-1.0,1.4864330616890085,0.4812984870682071,4.036880256481482e-33,-3.3686015632879722,1.4089169322643385,1.0
246,SIRPG_code_potential_somatic,ENSG00000177606,246,1.0,1.3253735222430896,0.3281355903530136,3.1902171679371e-15,4.289065543859962,2.695110795522676,1.0
257,SIRPG_code_potential_somatic,ENSG00000177606,257,1.0,1.3253735222430896,0.47048590412734237,1.5603952636220468e-31,4.151109404170135,1.3487835395218313,1.0
243,SIRPG_code_potential_somatic,ENSG00000177606,243,1.0,1.3253735222430896,0.5406951387857389,6.28842195941703e-43,3.409629045399893,1.3807203118807745,1.0
242,SIRPG_code_potential_somatic,ENSG00000177606,242,1.0,1.3253735222430896,0.4134308290232705,4.8874770622916165e-24,6.121004184949064,1.8856591731918113,1.0
235,SIRPG_code_potential_somatic,ENSG00000177606,235,1.0,1.3253735222430896,0.2755067017348974,5.304207159214475e-11,3.8407507235854035,1.4242509121061944,1.0
2947,SIRPG_code_potential_somatic,ENSG00000169016,2947,1.0,3.605080722999495,0.3604231988465373,2.9709430789772162e-18,3.8667337505542627,1.4224917687466196,1.0
2886,SIRPG_code_potential_somatic,ENSG00000136535,2886,-1.0,2.4075276323260226,-0.2780388838543881,3.47412398671553e-11,3.743055186635166,1.3401933603386136,1.0
2885,SIRPG_code_potential_somatic,ENSG00000136535,2885,-1.0,2.4075276323260226,-0.1740189505436227,4.2095410235556445e-05,3.109613643892289,1.4655424933691032,1.0
40,SIRPG_code_potential_somatic,ENSG00000125347,40,1.0,1.4219312204859835,0.7218787127191317,2.3911038311816783e-89,5.440583688331,1.6672119184616574,1.0
42,SIRPG_code_potential_somatic,ENSG00000125347,42,1.0,1.4219312204859835,0.2996728778386385,7.810173466169212e-13,4.375010558537063,1.7328868562762956,1.0
1895,SIRPG_code_potential_somatic,ENSG00000167034,1895,-1.0,6.736641149461731,-0.24430215992796186,6.8759328732485116e-09,5.031851336893146,1.6954041461331855,1.0
3627,SIRPG_code_potential_somatic,ENSG00000136352,3627,-1.0,1.3409501823526435,-0.36165947299622075,2.2373944073117365e-18,10.383150349681987,6.210754344406908,1.0
939,SIRPG_code_potential_somatic,ENSG00000106459,939,-1.0,4.872248048058327,0.17608128199277853,3.3985269343626105e-05,-4.801449622405003,1.735275360207651,1.0
923,SIRPG_code_potential_somatic,ENSG00000106459,923,-1.0,4.872248048058327,0.7121543007985294,6.132342355537881e-86,-5.507741871095722,6.806494711302408,1.0
926,SIRPG_code_potential_somatic,ENSG00000106459,926,-1.0,4.872248048058327,0.6328333200985253,1.1788917713746272e-62,-4.142483997961806,1.5638805257986326,1.0
