,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1636,SLC5A7_code_potential_somatic,ENSG00000028277,1636,-1.0,1.4332670260116636,-0.17012343080933515,6.264822439909219e-05,3.6211937628313913,2.28556563480348,1.0
1631,SLC5A7_code_potential_somatic,ENSG00000028277,1631,-1.0,1.4332670260116636,-0.15303601756386634,0.0003237671838138839,3.0559415368212486,1.6236179828101054,1.0
2522,SLC5A7_code_potential_somatic,ENSG00000112333,2522,1.0,2.2258774860430357,0.4848949276559143,1.1626510343479794e-33,3.0065438285744057,1.6138759921082106,1.0
2528,SLC5A7_code_potential_somatic,ENSG00000112333,2528,1.0,2.2258774860430357,0.5900396803607918,1.0560480916954014e-52,3.4830585191548136,1.889504838376523,1.0
288,SLC5A7_code_potential_somatic,ENSG00000072310,288,1.0,6.201492600016267,0.5114015136682754,7.53010353623837e-38,3.5633695038937825,1.8722807590109345,1.0
283,SLC5A7_code_potential_somatic,ENSG00000072310,283,1.0,6.201492600016267,0.3281347882434362,3.1907385401537325e-15,2.613587524936634,1.3535748604109672,1.0
2084,SLC5A7_code_potential_somatic,ENSG00000030419,2084,-1.0,1.4492571824068923,-0.15234204694134837,0.00034490662725660735,3.376846401045685,1.8270535024774086,1.0
2087,SLC5A7_code_potential_somatic,ENSG00000030419,2087,-1.0,1.4492571824068923,-0.236753069181149,2.0287006221242865e-08,3.287285706494285,1.8957542937142435,1.0
1725,SLC5A7_code_potential_somatic,ENSG00000170365,1725,1.0,1.5257867966536751,0.24239941017236824,9.062583003005396e-09,3.6702391475103058,1.9086437717706177,1.0
1715,SLC5A7_code_potential_somatic,ENSG00000170365,1715,1.0,1.5257867966536751,0.44415665725062947,6.747683774922753e-28,3.636686894015765,1.978222170158625,1.0
