,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1922,SLITRK6_code_potential_somatic,ENSG00000006468,1922,1.0,1.3735160263549377,0.4905505293667995,1.5931241134102757e-34,5.846687628950511,6.099869717573543,1.0
960,SLITRK6_code_potential_somatic,ENSG00000101412,960,1.0,2.0465720628552266,0.6491518019355196,7.070099083657812e-67,4.466041807003211,2.0361997168612023,1.0
959,SLITRK6_code_potential_somatic,ENSG00000101412,959,1.0,2.0465720628552266,0.7769628587535349,8.154332160431679e-112,5.909132298996636,4.035009994856558,1.0
2728,SLITRK6_code_potential_somatic,ENSG00000130726,2728,1.0,6.279436784520308,0.4123955972351137,6.4915270866524605e-24,5.008949855162827,3.081571827914976,1.0
2887,SLITRK6_code_potential_somatic,ENSG00000125482,2887,1.0,1.3279321807647286,0.6821702780921197,2.88366451140532e-76,4.084280016202691,1.7293831228874998,1.0
560,SLITRK6_code_potential_somatic,ENSG00000181449,560,1.0,1.454421773981509,0.7759856705311577,2.31757765165303e-111,3.309105804970128,1.4635599662364276,1.0
3302,SLITRK6_code_potential_somatic,ENSG00000006704,3302,1.0,1.506236390340942,0.560984427625908,9.491054619532947e-47,3.275445397907536,1.4862389495007935,1.0
1889,SLITRK6_code_potential_somatic,ENSG00000185697,1889,1.0,1.3525211027110693,0.5169485389100075,8.969962979303061e-39,6.741458325711309,3.16868384173239,1.0
948,SLITRK6_code_potential_somatic,ENSG00000001167,948,1.0,1.7870730344781856,0.33278359659663453,1.2275265310019254e-15,3.7559137739946165,1.764826684413543,1.0
946,SLITRK6_code_potential_somatic,ENSG00000001167,946,1.0,1.7870730344781856,0.3569742005829587,6.510849095546955e-18,4.955502584906696,2.832920875077509,1.0
3202,SLITRK6_code_potential_somatic,ENSG00000171634,3202,1.0,1.4116430987466648,0.5685978329770145,2.980163628773529e-48,4.9474025885909105,2.3377025928253463,1.0
3206,SLITRK6_code_potential_somatic,ENSG00000171634,3206,1.0,1.4116430987466648,0.5092732982023923,1.6858867508120433e-37,5.630029513292636,3.737840780479585,1.0
3208,SLITRK6_code_potential_somatic,ENSG00000171634,3208,1.0,1.4116430987466648,0.7234444306141309,6.547527839233926e-90,5.774709559122775,3.521281162415018,1.0
956,SLITRK6_code_potential_somatic,ENSG00000129173,956,1.0,2.184051688253253,0.7719811749257338,1.5861341031969156e-109,6.074747111478191,4.1276255113654,1.0
957,SLITRK6_code_potential_somatic,ENSG00000129173,957,1.0,2.184051688253253,0.656211387082988,8.734534768759101e-69,6.260211427666983,3.3063494066192103,1.0
1669,SLITRK6_code_potential_somatic,ENSG00000143190,1669,1.0,1.4770652042047354,0.41618111692591947,2.2883478984196298e-24,3.1414301281792514,1.39296501435312,1.0
982,SLITRK6_code_potential_somatic,ENSG00000282899,982,1.0,1.6435568538280851,0.2007361615862869,2.1724806003503496e-06,7.697381815085772,9.339716833462862,1.0
2218,SLITRK6_code_potential_somatic,ENSG00000187140,2218,1.0,1.6435568538280851,-0.33403129091008305,9.472778577955283e-16,-2.666119025466287,1.524995557635049,1.0
916,SLITRK6_code_potential_somatic,ENSG00000101057,916,1.0,4.081317753110978,0.8137042900539069,9.46897652452271e-131,2.9407567170676585,1.3601487982094416,1.0
25,SLITRK6_code_potential_somatic,ENSG00000196712,25,1.0,1.4137626207838951,0.568410576850228,3.2484746207953633e-48,3.969941417028158,1.7333523162579758,1.0
1116,SLITRK6_code_potential_somatic,ENSG00000165804,1116,1.0,1.32881546830297,0.4169209536324517,1.8635762799478215e-24,5.08177426101222,2.9959792294642154,1.0
1180,SLITRK6_code_potential_somatic,ENSG00000100811,1180,1.0,4.243169329729707,0.35689748973974245,6.624743754004093e-18,4.218020079354093,2.06074835953523,1.0
1182,SLITRK6_code_potential_somatic,ENSG00000100811,1182,1.0,4.243169329729707,0.5131002359150106,3.9412618460168217e-38,5.820681283764256,3.032911658949747,1.0
