,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
372,SNX9_code_potential_somatic,ENSG00000112561,372,-1.0,1.7385250161562527,0.3576730567819933,5.558143064804769e-18,-3.9740660120162863,1.4108621380189317,1.0
7,SNX9_code_potential_somatic,ENSG00000126351,7,-1.0,1.7668493966734833,0.5924389359447688,3.1973683806405464e-53,-7.49036108013627,2.352718012284316,1.0
3577,SNX9_code_potential_somatic,ENSG00000134138,3577,-1.0,1.6628097554161163,0.6019454657365405,2.5430605829568647e-55,-10.414451928180606,3.0906682265655845,1.0
874,SNX9_code_potential_somatic,ENSG00000132005,874,1.0,3.4709530814724676,-0.11189720280327088,0.008749162168533282,-4.943539706249091,1.5990793593631343,1.0
2586,SNX9_code_potential_somatic,ENSG00000185630,2586,-1.0,1.6316179806867162,0.27924205311759215,2.83701559966102e-11,-4.426992606729129,1.6001658861944812,1.0
2594,SNX9_code_potential_somatic,ENSG00000185630,2594,-1.0,1.6316179806867162,0.4522632870727573,5.53633587571199e-29,-7.0518754966556,2.369486301358721,1.0
2593,SNX9_code_potential_somatic,ENSG00000185630,2593,-1.0,1.6316179806867162,0.4626175008496893,2.056643182146867e-30,-5.6497069034430325,1.657143442753432,1.0
1158,SNX9_code_potential_somatic,ENSG00000162702,1158,-1.0,1.3064366167445958,0.3524230308410404,1.806924640884381e-17,-6.793266718704289,1.9613202041002427,1.0
1176,SNX9_code_potential_somatic,ENSG00000162702,1176,-1.0,1.3064366167445958,0.6394811313566,2.411994971440027e-64,-3.911261051725425,1.3182063227411536,1.0
1167,SNX9_code_potential_somatic,ENSG00000162702,1167,-1.0,1.3064366167445958,0.5290373511074983,7.569855971612138e-41,-5.07051866200147,1.636338991635498,1.0
338,SNX9_code_potential_somatic,ENSG00000134532,338,-1.0,1.6924654954240257,0.37481741980745437,1.0124456353186332e-19,-4.352024047117008,1.454639938775712,1.0
