,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2411,SPAG5_code_potential_somatic,ENSG00000198815,2411,1.0,2.2382226542551993,0.22339794471817043,1.2597899026040629e-07,4.2586589060400515,1.5365197678319902,1.0
2414,SPAG5_code_potential_somatic,ENSG00000198815,2414,1.0,2.2382226542551993,0.5548471955733468,1.4485774081206976e-45,4.156724660432787,1.3665367816138982,1.0
2408,SPAG5_code_potential_somatic,ENSG00000198815,2408,1.0,2.2382226542551993,0.6558470105777108,1.0989746058201963e-68,3.990965680353472,1.4486262203093498,1.0
2423,SPAG5_code_potential_somatic,ENSG00000198815,2423,1.0,2.2382226542551993,0.33707831003095634,5.005455565380171e-16,9.8116918026263,14.494393013929626,1.0
2526,SPAG5_code_potential_somatic,ENSG00000112333,2526,1.0,1.6273940978445056,0.22439795660397596,1.1030256575549125e-07,6.932428515665182,3.6887646898848976,1.0
2529,SPAG5_code_potential_somatic,ENSG00000112333,2529,1.0,1.6273940978445056,-0.2800459856712603,2.476477360786239e-11,-4.461938920635507,2.888442219636788,1.0
1072,SPAG5_code_potential_somatic,ENSG00000163848,1072,1.0,1.745899621542215,-0.3644669978212517,1.169689169460119e-18,-4.02400650014247,1.6348007788437964,1.0
1080,SPAG5_code_potential_somatic,ENSG00000163848,1080,1.0,1.745899621542215,0.44276098658602986,1.030827146531104e-27,5.238296093991919,1.7444626006712676,1.0
1538,SPAG5_code_potential_somatic,ENSG00000113916,1538,1.0,5.4755669811715295,0.6841581243819654,7.158883160947051e-77,9.8116918026263,14.494393013929626,1.0
1683,SPAG5_code_potential_somatic,ENSG00000105997,1683,-1.0,2.2520901454296642,-0.3613915756893783,2.3794402024027917e-18,4.0508187430031555,1.3537277019646177,1.0
1696,SPAG5_code_potential_somatic,ENSG00000105997,1696,-1.0,2.2520901454296642,-0.254596013334257,1.4826184992271661e-09,5.5778343098449,2.32272455058743,1.0
1701,SPAG5_code_potential_somatic,ENSG00000105997,1701,-1.0,2.2520901454296642,-0.18737072924918127,1.0083049484000519e-05,7.5676127813231115,11.99427139605365,1.0
3100,SPAG5_code_potential_somatic,ENSG00000184486,3100,1.0,1.6734145055896819,0.3438958768432205,1.17051570381943e-16,7.709874705020222,3.014114230323489,1.0
3102,SPAG5_code_potential_somatic,ENSG00000184486,3102,1.0,1.6734145055896819,0.24392910605543874,7.259763637820748e-09,4.027089418070776,1.3444529634555988,1.0
3110,SPAG5_code_potential_somatic,ENSG00000184486,3110,1.0,1.6734145055896819,0.26887580769699976,1.573844320577644e-10,4.971006846340841,1.7445571794857992,1.0
3581,SPAG5_code_potential_somatic,ENSG00000134138,3581,1.0,3.564181914622858,0.35668215977774864,6.955033033573604e-18,4.515213989754484,1.5111407799259902,1.0
3580,SPAG5_code_potential_somatic,ENSG00000134138,3580,1.0,3.564181914622858,0.2290556610815777,5.8915476780693083e-08,3.1510960124856067,1.3290048830763852,1.0
2830,SPAG5_code_potential_somatic,ENSG00000126456,2830,1.0,1.9447627472329252,0.5963904193990348,4.371680359735945e-54,3.31419138771454,1.6829099665637062,1.0
2591,SPAG5_code_potential_somatic,ENSG00000185630,2591,1.0,2.8592244904250483,0.39405105952477054,8.443041094817708e-22,4.026149076583277,1.3700634189959002,1.0
334,SPAG5_code_potential_somatic,ENSG00000134532,334,1.0,3.687552246191253,0.6472405935698375,2.2767547765862564e-66,3.9456749953054557,1.4117024660476412,1.0
341,SPAG5_code_potential_somatic,ENSG00000134532,341,1.0,3.687552246191253,0.1604141860516499,0.00016254680321509365,8.402769676400176,3.9392354143437767,1.0
335,SPAG5_code_potential_somatic,ENSG00000134532,335,1.0,3.687552246191253,0.4231308859803424,3.2587484611528784e-25,4.815962880195969,1.7664662844540306,1.0
1334,SPAG5_code_potential_somatic,ENSG00000116044,1334,1.0,1.3728996034531737,0.24201614763249704,9.578236084836308e-09,5.125990509553825,1.7925429256053107,1.0
2860,SPAG5_code_potential_somatic,ENSG00000116132,2860,1.0,2.9484367612498965,-0.23366224930338605,3.1266436270945316e-08,-3.266046167332824,1.3208247463348448,1.0
2861,SPAG5_code_potential_somatic,ENSG00000116132,2861,1.0,2.9484367612498965,0.39820554962116,2.8785291500686686e-22,4.075154707494655,1.894156368826041,1.0
2862,SPAG5_code_potential_somatic,ENSG00000116132,2862,1.0,2.9484367612498965,0.4682527581449306,3.26621149209739e-31,3.4275376409936196,1.4460777100944635,1.0
