,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2604,ST18_code_potential_somatic,ENSG00000087903,2604,-1.0,1.4822158194763266,0.4409405624406941,1.786267814487868e-27,-3.069206370234442,1.4299696620022526,1.0
2602,ST18_code_potential_somatic,ENSG00000087903,2602,-1.0,1.4822158194763266,0.40086724087503744,1.433083479882713e-22,-3.313466998504883,1.4028825633549462,1.0
2601,ST18_code_potential_somatic,ENSG00000087903,2601,-1.0,1.4822158194763266,0.4393491041201672,2.880696229003802e-27,-3.908765299381837,1.8411260808998042,1.0
719,ST18_code_potential_somatic,ENSG00000168310,719,-1.0,1.4121514290902133,0.440857288882754,1.831614056765395e-27,-3.566164200749912,1.7059986114847574,1.0
713,ST18_code_potential_somatic,ENSG00000168310,713,-1.0,1.4121514290902133,0.22724201840812316,7.533166919045975e-08,-3.209324275884621,1.753962350971617,1.0
716,ST18_code_potential_somatic,ENSG00000168310,716,-1.0,1.4121514290902133,0.532708314966847,1.708690346240468e-41,-13.554238365246551,10.702653359983053,1.0
724,ST18_code_potential_somatic,ENSG00000168310,724,-1.0,1.4121514290902133,0.5096017256147933,1.4892679928868209e-37,-3.0240399509257356,1.3203234360274925,1.0
493,ST18_code_potential_somatic,ENSG00000068305,493,-1.0,1.3723231438581645,0.5455885905600307,7.95616765330567e-44,-3.2459939260930755,1.387276196428677,1.0
496,ST18_code_potential_somatic,ENSG00000068305,496,-1.0,1.3723231438581645,0.2934522263900322,2.4047170843089814e-12,-3.5793698635953626,1.9078255649862363,1.0
850,ST18_code_potential_somatic,ENSG00000113580,850,-1.0,1.3280264345379929,0.38885484784455293,3.175065307044252e-21,-3.4319058552888433,1.4608346801906553,1.0
