,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1037,SYNE2_code_potential_somatic,ENSG00000137203,1037,-1.0,3.056255707570737,0.188860127183953,8.542161780917127e-06,-4.854561271024954,1.6412660431252017,1.0
1036,SYNE2_code_potential_somatic,ENSG00000137203,1036,-1.0,3.056255707570737,-0.2227410898933683,1.3742325448913637e-07,3.4681849152069706,1.392116758434641,1.0
1035,SYNE2_code_potential_somatic,ENSG00000137203,1035,-1.0,3.056255707570737,0.38751189765490146,4.4541864144617496e-21,-3.600211746052994,1.3990748693482882,1.0
3751,SYNE2_code_potential_somatic,ENSG00000163666,3751,-1.0,1.9751285564453245,0.24013607570222692,1.2548504380198814e-08,-8.340893262484855,6.877217234368161,1.0
1506,SYNE2_code_potential_somatic,ENSG00000165495,1506,-1.0,2.9273686689512983,0.2947349454423296,1.911264015084126e-12,-4.112345925580319,1.347338484087388,1.0
2520,SYNE2_code_potential_somatic,ENSG00000112333,2520,1.0,1.392116758434641,0.5670993464484083,5.931604568650053e-48,4.835485783529106,1.727067289046637,1.0
2528,SYNE2_code_potential_somatic,ENSG00000112333,2528,1.0,1.392116758434641,0.5900396803607918,1.0560480916954014e-52,9.795614057893777,7.251815466966664,1.0
2519,SYNE2_code_potential_somatic,ENSG00000112333,2519,1.0,1.392116758434641,0.5367556869751333,3.2412023142188855e-42,3.5238805974484846,1.31018033740329,1.0
2724,SYNE2_code_potential_somatic,ENSG00000130726,2724,-1.0,2.8856119112078957,0.4769486468302052,1.783927552507496e-32,-3.3871968208473144,1.3097223565695177,0.5
1079,SYNE2_code_potential_somatic,ENSG00000163848,1079,-1.0,1.804038072330077,0.3841071612561824,1.043439722072115e-20,-6.424244278884323,2.1932518158304917,1.0
1071,SYNE2_code_potential_somatic,ENSG00000163848,1071,-1.0,1.804038072330077,0.25391617240309916,1.644194180087542e-09,-6.711464766598887,4.449269997054714,1.0
1076,SYNE2_code_potential_somatic,ENSG00000163848,1076,-1.0,1.804038072330077,0.32495945518384095,6.070185910073987e-15,-4.230340754725669,1.394046287945333,1.0
