,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1820,SYNM_code_potential_somatic,ENSG00000096401,1820,-1.0,2.5973479062253237,0.08937549717121475,0.036471025480254764,-4.0074671409392195,1.3318690092676786,1.0
2109,SYNM_code_potential_somatic,ENSG00000069667,2109,-1.0,7.393801729492703,0.24399764996477646,7.187715218684385e-09,-3.8359792189216404,1.842174425070965,1.0
2696,SYNM_code_potential_somatic,ENSG00000065970,2696,-1.0,2.204490363019399,0.4068838648147853,2.8934643692381296e-23,-12.676990950714966,4.549073199446218,1.0
2719,SYNM_code_potential_somatic,ENSG00000065970,2719,-1.0,2.204490363019399,0.3324375227735316,1.3187394579292682e-15,-3.7280995154643533,1.3014391836244759,1.0
2702,SYNM_code_potential_somatic,ENSG00000065970,2702,-1.0,2.204490363019399,0.2055092969239754,1.223799261818669e-06,-4.40194358120137,1.5362458557340049,1.0
2717,SYNM_code_potential_somatic,ENSG00000065970,2717,-1.0,2.204490363019399,0.2815966822414471,1.902988218551368e-11,-3.9704007454619146,1.41738966251994,1.0
2966,SYNM_code_potential_somatic,ENSG00000143799,2966,-1.0,1.5703441636767224,0.23901027845088144,1.473562004007722e-08,-4.043671567740838,1.6452106183200363,1.0
2965,SYNM_code_potential_somatic,ENSG00000143799,2965,-1.0,1.5703441636767224,0.1519239290943884,0.0003582575815629536,-5.049462033533146,1.8589036782086337,1.0
2904,SYNM_code_potential_somatic,ENSG00000109381,2904,-1.0,1.5722580435244309,0.5149795057357034,1.91750077851589e-38,-4.548210612132095,1.4160935332167401,1.0
2902,SYNM_code_potential_somatic,ENSG00000109381,2902,-1.0,1.5722580435244309,0.36776643910817963,5.413469517792808e-19,-2.724929843717985,1.65647309319974,1.0
2897,SYNM_code_potential_somatic,ENSG00000109381,2897,-1.0,1.5722580435244309,0.6838262697740976,9.040613206213917e-77,-3.818150089878315,1.3983842471860075,1.0
2757,SYNM_code_potential_somatic,ENSG00000157557,2757,-1.0,1.5232333016212296,0.24424243922397504,6.93602730163172e-09,-8.489154629692402,2.471853961267509,1.0
1059,SYNM_code_potential_somatic,ENSG00000005889,1059,-1.0,1.5510973487900874,0.22726097736176973,7.513915354602884e-08,-4.966758179541874,1.8345496756462956,1.0
