,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1035,TCHH_code_potential_somatic,ENSG00000137203,1035,-1.0,1.7578207696623356,0.38751189765490146,4.4541864144617496e-21,-3.4644065855533746,2.355664203857349,1.0
2604,TCHH_code_potential_somatic,ENSG00000087903,2604,1.0,1.615595012626745,0.4409405624406941,1.786267814487868e-27,2.581018171151061,1.6378739741499053,1.0
2597,TCHH_code_potential_somatic,ENSG00000087903,2597,1.0,1.615595012626745,0.5134481327144256,3.450302845570539e-38,3.1578224727850777,2.068456431720835,1.0
2601,TCHH_code_potential_somatic,ENSG00000087903,2601,1.0,1.615595012626745,0.4393491041201672,2.880696229003802e-27,2.451701480121858,1.5104382058660784,1.0
2599,TCHH_code_potential_somatic,ENSG00000087903,2599,1.0,1.615595012626745,0.3299908698054381,2.183250779018185e-15,4.049396222623615,2.8994646755258513,1.0
1505,TCHH_code_potential_somatic,ENSG00000165495,1505,-1.0,1.607770280014504,0.40147655247761804,1.2205230895498734e-22,-4.348798404075633,3.202609835895296,1.0
2608,TCHH_code_potential_somatic,ENSG00000196482,2608,1.0,1.37118822100644,0.25842884088530443,8.22821973489768e-10,4.727722370291719,3.647117922411622,1.0
86,TCHH_code_potential_somatic,ENSG00000213928,86,-1.0,1.5578326503279905,0.26897454009406707,1.548897525308145e-10,-3.046851373066549,2.0721003060083465,0.5
3006,TCHH_code_potential_somatic,ENSG00000077463,3006,-1.0,2.284223438121747,0.1902152548553698,7.337464969356812e-06,-2.546836513367025,1.5954700770297863,1.0
1497,TCHH_code_potential_somatic,ENSG00000171532,1497,-1.0,1.8355651342719654,-0.26971126669775786,1.3745321258473617e-10,2.3492566023291257,1.4449918889835394,1.0
1178,TCHH_code_potential_somatic,ENSG00000198911,1178,-1.0,4.452519088420143,0.34028485244501594,2.538462751185916e-16,-3.7362903046822358,2.7073819006165456,1.0
3514,TCHH_code_potential_somatic,ENSG00000105991,3514,1.0,1.803338994373062,0.28755586192906624,6.8100213599091565e-12,3.1232285321820035,2.0444401330273636,1.0
3515,TCHH_code_potential_somatic,ENSG00000105991,3515,1.0,1.803338994373062,0.26456954836373886,3.139552712885348e-10,2.692229545165284,1.7167655934013073,1.0
1696,TCHH_code_potential_somatic,ENSG00000105997,1696,-1.0,1.4360087581301217,-0.254596013334257,1.4826184992271661e-09,3.115399058336921,2.066796630546358,1.0
1484,TCHH_code_potential_somatic,ENSG00000129194,1484,1.0,1.615595012626745,0.31388042602518906,5.3988512870859237e-14,3.550262220417685,2.517051382968526,1.0
3275,TCHH_code_potential_somatic,ENSG00000137309,3275,-1.0,2.2477055906732315,-0.25240930018345703,2.0656721801998677e-09,2.4837979034607574,1.5347444112906763,1.0
3281,TCHH_code_potential_somatic,ENSG00000137309,3281,-1.0,2.2477055906732315,0.36842015841372483,4.642180239440188e-19,-3.337281750950174,2.2917127093718883,1.0
3485,TCHH_code_potential_somatic,ENSG00000129654,3485,1.0,1.723993632339776,-0.22560527735600183,9.387510341550672e-08,-3.7440403536768585,2.610276206472152,1.0
1371,TCHH_code_potential_somatic,ENSG00000173153,1371,-1.0,1.7045422267088073,0.4110246461293073,9.438912001866733e-24,-3.01524101006963,2.0200267591586516,0.5
1115,TCHH_code_potential_somatic,ENSG00000165804,1115,-1.0,1.9590723407371933,0.350485717454568,2.7763467624571606e-17,-3.0858206291222374,2.0579217489579995,1.0
1121,TCHH_code_potential_somatic,ENSG00000165804,1121,-1.0,1.9590723407371933,0.2661832716839204,2.427219813663866e-10,-3.0236754967201924,1.9969903310765516,1.0
1126,TCHH_code_potential_somatic,ENSG00000165804,1126,-1.0,1.9590723407371933,0.23559817722786122,2.38626453672153e-08,-2.2545654834406066,1.3546728074492254,1.0
1120,TCHH_code_potential_somatic,ENSG00000165804,1120,-1.0,1.9590723407371933,0.39368230787634423,9.282390141394174e-22,-4.488850950434645,3.2703777456573544,1.0
1134,TCHH_code_potential_somatic,ENSG00000165804,1134,-1.0,1.9590723407371933,0.5152665880453443,1.716975815954447e-38,-3.861619459042581,2.700539575724566,1.0
1118,TCHH_code_potential_somatic,ENSG00000165804,1118,-1.0,1.9590723407371933,0.5454016261094543,8.615484248213162e-44,-3.2453166985151936,2.2031351278048774,1.0
1132,TCHH_code_potential_somatic,ENSG00000165804,1132,-1.0,1.9590723407371933,0.225593318631394,9.402558942698162e-08,-2.7146495615915405,1.7780262217899518,1.0
669,TCHH_code_potential_somatic,ENSG00000130675,669,-1.0,1.607770280014504,-0.1997544053604313,2.4405514433155047e-06,2.5183427928612825,1.5843160031532428,1.0
