,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2457,TEP1_code_potential_somatic,ENSG00000071794,2457,1.0,2.7725714249479294,0.39612341899644865,4.945513996166504e-22,5.7538648035370015,1.8008709059035128,1.0
1810,TEP1_code_potential_somatic,ENSG00000281306,1810,1.0,29.62461781386174,0.5363910187936461,3.768390707530011e-42,6.60697935481951,2.043231402831355,1.0
1816,TEP1_code_potential_somatic,ENSG00000281306,1816,1.0,29.62461781386174,0.2775112464877627,3.795725456340904e-11,8.323017329609952,6.2164464418791425,1.0
3602,TEP1_code_potential_somatic,ENSG00000166478,3602,1.0,1.4643453636276964,0.547348273134645,3.751574126272493e-44,4.140753091772971,1.3360039360947686,1.0
3606,TEP1_code_potential_somatic,ENSG00000166478,3606,1.0,1.4643453636276964,0.5588034916850769,2.51626080751731e-46,5.570130611269292,2.099648384798703,1.0
3603,TEP1_code_potential_somatic,ENSG00000166478,3603,1.0,1.4643453636276964,0.4036518736514077,6.861795405579112e-23,3.855481408583353,1.5669124831504977,1.0
1548,TEP1_code_potential_somatic,ENSG00000123364,1548,1.0,15.271624019183342,0.45285051907844587,4.607026336387008e-29,15.473281540457974,33.301477361280895,1.0
2451,TEP1_code_potential_somatic,ENSG00000160199,2451,1.0,10.354849922131374,0.3312488692989424,1.6856757292169836e-15,7.385393756282361,3.3767661179034145,1.0
2452,TEP1_code_potential_somatic,ENSG00000160199,2452,1.0,10.354849922131374,-0.2776344796864656,3.718108094517221e-11,-5.6529791060418795,1.7223840486452584,1.0
3092,TEP1_code_potential_somatic,ENSG00000119725,3092,1.0,2.081754667967667,0.43490432327582723,1.0798985900997392e-26,9.375689078768842,3.1698773382955543,1.0
1432,TEP1_code_potential_somatic,ENSG00000116035,1432,1.0,1.3187919762775575,0.15741495250381057,0.00021588380434739752,4.040734298460935,1.3944528624925536,0.5
3449,TEP1_code_potential_somatic,ENSG00000278129,3449,1.0,1.4847956424897932,0.1977392614481272,3.093345552587242e-06,5.686331411663194,2.127448617027249,1.0
1875,TEP1_code_potential_somatic,ENSG00000118513,1875,1.0,1.4551351657260505,0.37999052307517084,2.8821468727292314e-20,4.117927871257703,1.3710769603375124,1.0
3513,TEP1_code_potential_somatic,ENSG00000106004,3513,1.0,1.490815923098913,0.2663213605718773,2.374164686437784e-10,4.387133181359728,1.4277369244597176,1.0
