,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1440,THOC2_code_potential_somatic,ENSG00000221869,1440,1.0,1.445260621653283,0.7210168824377889,4.8594174980191e-89,3.4941486051039057,1.6616433217230204,1.0
1442,THOC2_code_potential_somatic,ENSG00000221869,1442,1.0,1.445260621653283,0.34831433390961264,4.477296755863648e-17,4.320162849873602,1.9809393614362387,1.0
1441,THOC2_code_potential_somatic,ENSG00000221869,1441,1.0,1.445260621653283,0.18593111468365855,1.1821511134466203e-05,5.255872801043415,2.8126867619435467,1.0
2522,THOC2_code_potential_somatic,ENSG00000112333,2522,1.0,1.3180711568718693,0.4848949276559143,1.1626510343479794e-33,3.378431811916927,1.6034065336604661,1.0
2526,THOC2_code_potential_somatic,ENSG00000112333,2526,1.0,1.3180711568718693,0.22439795660397596,1.1030256575549125e-07,3.439301348696941,1.615929089527956,1.0
2528,THOC2_code_potential_somatic,ENSG00000112333,2528,1.0,1.3180711568718693,0.5900396803607918,1.0560480916954014e-52,2.955478300433568,1.4655741072559723,1.0
2530,THOC2_code_potential_somatic,ENSG00000112333,2530,1.0,1.3180711568718693,0.62790340879799,1.984555698064428e-61,3.042076609959198,1.5940968050248183,1.0
2524,THOC2_code_potential_somatic,ENSG00000112333,2524,1.0,1.3180711568718693,0.18161685894327023,1.89040325177178e-05,3.4024372936667415,1.866237181977674,1.0
88,THOC2_code_potential_somatic,ENSG00000213928,88,1.0,1.559392716689521,0.18557403008363016,1.2294946352902099e-05,2.9265365117593736,1.444266869015695,1.0
78,THOC2_code_potential_somatic,ENSG00000213928,78,1.0,1.559392716689521,0.24851957916664758,3.697748436415998e-09,4.027649678691012,1.8864989096821019,1.0
81,THOC2_code_potential_somatic,ENSG00000213928,81,1.0,1.559392716689521,0.27612746162871854,4.783468584944775e-11,4.082338092327091,1.9010687105003812,1.0
75,THOC2_code_potential_somatic,ENSG00000213928,75,1.0,1.559392716689521,0.4423592755258794,1.1641182146341424e-27,2.7887092672286733,1.4307924723108654,1.0
3421,THOC2_code_potential_somatic,ENSG00000185022,3421,1.0,1.4495191889713492,0.42446457545032806,2.2301941256005507e-25,4.642628918095437,2.5242711511567983,1.0
524,THOC2_code_potential_somatic,ENSG00000120690,524,1.0,1.8029654281321934,0.6207065899937414,1.1183039932827503e-59,6.122295496962632,3.3807727619332244,1.0
506,THOC2_code_potential_somatic,ENSG00000120690,506,1.0,1.8029654281321934,0.6316443020286737,2.3401461848474217e-62,3.2732493216557668,1.6132821965484765,1.0
528,THOC2_code_potential_somatic,ENSG00000120690,528,1.0,1.8029654281321934,0.5146372237033298,2.1871123933028906e-38,2.6665503779759216,1.3624540579657995,1.0
519,THOC2_code_potential_somatic,ENSG00000120690,519,1.0,1.8029654281321934,0.43115883614483685,3.239143679177495e-26,5.081880426289756,2.6220413986597952,1.0
513,THOC2_code_potential_somatic,ENSG00000120690,513,1.0,1.8029654281321934,0.5715665134418617,7.541806748598516e-49,4.122227490505999,1.9896604522810102,1.0
1522,THOC2_code_potential_somatic,ENSG00000113916,1522,1.0,1.5104053404699989,0.20905214200810465,7.922529811932706e-07,4.162297374725484,2.08228678671607,1.0
1534,THOC2_code_potential_somatic,ENSG00000113916,1534,1.0,1.5104053404699989,0.4626668670482229,2.0240576697670936e-30,4.674053046474627,2.1858637533999916,1.0
1538,THOC2_code_potential_somatic,ENSG00000113916,1538,1.0,1.5104053404699989,0.6841581243819654,7.158883160947051e-77,3.6461724128908557,1.707087689125493,1.0
1532,THOC2_code_potential_somatic,ENSG00000113916,1532,1.0,1.5104053404699989,0.2540152693954289,1.6196192939160244e-09,3.4764895169358745,1.7523102440966076,1.0
1709,THOC2_code_potential_somatic,ENSG00000170365,1709,1.0,2.339594490251387,0.5748467770179856,1.6254511934235935e-49,2.7894598728012117,1.3377597094107316,1.0
1720,THOC2_code_potential_somatic,ENSG00000170365,1720,1.0,2.339594490251387,-0.214570145466947,3.964274428907616e-07,-2.756084241134094,1.6944675078157796,1.0
1715,THOC2_code_potential_somatic,ENSG00000170365,1715,1.0,2.339594490251387,0.44415665725062947,6.747683774922753e-28,2.7328960671600653,1.3535478115045427,1.0
1710,THOC2_code_potential_somatic,ENSG00000170365,1710,1.0,2.339594490251387,0.5793861338734011,1.88865570112978e-50,3.2251862964290505,1.6265023149345461,1.0
1704,THOC2_code_potential_somatic,ENSG00000170365,1704,1.0,2.339594490251387,0.6188182782105403,3.1655520819072472e-59,3.4780073118430526,1.8799929695609106,1.0
3718,THOC2_code_potential_somatic,ENSG00000137265,3718,-1.0,1.4608524611396794,-0.26478344463332915,3.034572481510701e-10,6.64668101135336,3.002665215242477,1.0
3721,THOC2_code_potential_somatic,ENSG00000137265,3721,-1.0,1.4608524611396794,-0.3738906915693982,1.2650050285892425e-19,4.443657184750417,3.1693038959447373,1.0
3722,THOC2_code_potential_somatic,ENSG00000137265,3722,-1.0,1.4608524611396794,0.3288728748927087,2.7447125190265412e-15,-2.7312819932359993,1.4678321585634486,1.0
3720,THOC2_code_potential_somatic,ENSG00000137265,3720,-1.0,1.4608524611396794,-0.1483829799056238,0.0004922567568174612,3.2503392704535092,1.6189338946822205,1.0
238,THOC2_code_potential_somatic,ENSG00000177606,238,1.0,1.6907240122921856,0.5242632678221274,5.105164133303365e-40,7.661549066452745,3.9618873139946595,1.0
257,THOC2_code_potential_somatic,ENSG00000177606,257,1.0,1.6907240122921856,0.47048590412734237,1.5603952636220468e-31,3.9698103222239602,2.0457266312114,1.0
251,THOC2_code_potential_somatic,ENSG00000177606,251,1.0,1.6907240122921856,0.7020705437872713,1.4989788859365892e-82,4.669751903713531,2.1722567857704953,1.0
247,THOC2_code_potential_somatic,ENSG00000177606,247,1.0,1.6907240122921856,0.5122275406948471,5.498927871433927e-38,3.5410925491248078,1.6776115289845912,1.0
239,THOC2_code_potential_somatic,ENSG00000177606,239,1.0,1.6907240122921856,0.36573265381526704,8.713214957431152e-19,2.8776369013682124,1.4411651692049925,1.0
250,THOC2_code_potential_somatic,ENSG00000177606,250,1.0,1.6907240122921856,0.5698915628062372,1.6402869014388916e-48,3.7558874143072654,1.7727602883575095,1.0
3621,THOC2_code_potential_somatic,ENSG00000105880,3621,-1.0,1.8889602194080668,-0.3428641451695831,1.4617775743690047e-16,3.2650871635551506,1.5551862864716461,1.0
3590,THOC2_code_potential_somatic,ENSG00000100219,3590,1.0,1.6849814669141534,0.41579012496648465,2.5501168606443973e-24,3.0764316334484896,1.5530711304939406,1.0
3589,THOC2_code_potential_somatic,ENSG00000100219,3589,1.0,1.6849814669141534,0.5402038831291346,7.72438309390268e-43,2.949830101361662,1.4237016445111215,1.0
1520,THOC2_code_potential_somatic,ENSG00000012223,1520,1.0,1.6865796436313376,0.308661536519648,1.4650970081105438e-13,3.1708948415491736,1.541658152393602,1.0
1334,THOC2_code_potential_somatic,ENSG00000116044,1334,1.0,1.517425688686296,0.24201614763249704,9.578236084836308e-09,3.5929629830716108,1.771900437287736,1.0
1330,THOC2_code_potential_somatic,ENSG00000116044,1330,1.0,1.517425688686296,0.33238553148910843,1.3330057562902736e-15,3.6038169394951494,1.7100904253607327,1.0
1324,THOC2_code_potential_somatic,ENSG00000116044,1324,1.0,1.517425688686296,0.5899994290438191,1.0773378209287607e-52,4.316393583691983,2.0673870808632056,1.0
1323,THOC2_code_potential_somatic,ENSG00000116044,1323,1.0,1.517425688686296,-0.03627467644540328,0.39671183769720353,-3.0298295620894584,1.8080738449717215,1.0
1327,THOC2_code_potential_somatic,ENSG00000116044,1327,1.0,1.517425688686296,0.5498990545096897,1.2516814062210034e-44,3.2723327940316365,1.6287357195818661,1.0
1329,THOC2_code_potential_somatic,ENSG00000116044,1329,1.0,1.517425688686296,0.46568965345001545,7.574473206526272e-31,3.312078844027052,1.7192886028827805,1.0
394,THOC2_code_potential_somatic,ENSG00000168610,394,1.0,1.5515498877033587,0.7253796790311073,1.3043827865767566e-90,3.642443683398809,1.7251792517308528,1.0
390,THOC2_code_potential_somatic,ENSG00000168610,390,1.0,1.5515498877033587,0.4318538719662096,2.644574074210169e-26,4.307419867665527,2.014988568312134,1.0
399,THOC2_code_potential_somatic,ENSG00000168610,399,1.0,1.5515498877033587,0.6022359497607409,2.1882294656626997e-55,2.869566589228075,1.3611776390826338,1.0
393,THOC2_code_potential_somatic,ENSG00000168610,393,1.0,1.5515498877033587,0.5050356166737949,8.25080988383053e-37,3.7662172600646113,1.8907419673874584,1.0
1513,THOC2_code_potential_somatic,ENSG00000177426,1513,1.0,2.5061012179844906,0.3842106333916613,1.0169407469529677e-20,4.4768423444491825,2.2403681220290053,1.0
