,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2598,TLL1_code_potential_somatic,ENSG00000087903,2598,1.0,1.303566331133028,0.36823574612998544,4.848065539250322e-19,2.948901368930796,1.317614250254094,1.0
2599,TLL1_code_potential_somatic,ENSG00000087903,2599,1.0,1.303566331133028,0.3299908698054381,2.183250779018185e-15,6.342192119743213,3.0913657068283733,1.0
895,TLL1_code_potential_somatic,ENSG00000154727,895,1.0,1.3487472039208832,0.2739724848705727,6.839914695696494e-11,4.2798229762891085,2.5118691955902315,1.0
1451,TLL1_code_potential_somatic,ENSG00000007372,1451,1.0,1.3823913670913366,0.2724136213665075,8.841964764630294e-11,3.4823788435808196,1.5101105693792805,1.0
1446,TLL1_code_potential_somatic,ENSG00000007372,1446,1.0,1.3823913670913366,0.3243926553888602,6.803227275682828e-15,3.900730390051388,1.662650342396534,1.0
1484,TLL1_code_potential_somatic,ENSG00000129194,1484,1.0,1.303566331133028,0.31388042602518906,5.3988512870859237e-14,9.248706520884312,13.4450369861493,1.0
2565,TLL1_code_potential_somatic,ENSG00000175745,2565,1.0,1.4415238338320588,0.4047934943371429,5.0633719300263606e-23,2.5906225219294283,1.3422998869458467,1.0
2558,TLL1_code_potential_somatic,ENSG00000175745,2558,1.0,1.4415238338320588,0.2940616109116653,2.1564585201837476e-12,4.600904021789057,2.107341672827387,1.0
3184,TLL1_code_potential_somatic,ENSG00000176165,3184,1.0,1.404391037259843,0.3179894875518792,2.4259084268250033e-14,3.493185841028817,1.5612827130907219,1.0
3192,TLL1_code_potential_somatic,ENSG00000176165,3192,1.0,1.404391037259843,0.31358218710051755,5.718857767884767e-14,2.73159873357469,1.3033349330288877,1.0
