,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2358,TLR7_code_potential_somatic,ENSG00000148516,2358,1.0,1.3176555118417765,-0.47289697259782226,6.985546911952625e-32,-4.0440947833812535,2.6557049774747266,1.0
2368,TLR7_code_potential_somatic,ENSG00000148516,2368,1.0,1.3176555118417765,-0.21610129973106726,3.260604109727379e-07,-3.327567986465148,1.4315448982467989,1.0
2460,TLR7_code_potential_somatic,ENSG00000071794,2460,1.0,1.631234768604205,0.32226064813224775,1.042382829558717e-14,7.379305424712425,2.7296698764487544,1.0
3526,TLR7_code_potential_somatic,ENSG00000153234,3526,-1.0,1.366024272496156,0.28253318163253655,1.6218199881278203e-11,-7.165988451273113,3.1146951371306497,1.0
3670,TLR7_code_potential_somatic,ENSG00000198517,3670,-1.0,1.307250218004843,-0.25834002547937535,8.34216608914833e-10,4.190540087027348,1.3462504808724975,1.0
3669,TLR7_code_potential_somatic,ENSG00000198517,3669,-1.0,1.307250218004843,-0.2741466155679115,6.64586917121238e-11,4.367934824052116,1.5031489073385547,1.0
3667,TLR7_code_potential_somatic,ENSG00000198517,3667,-1.0,1.307250218004843,-0.1701148263611417,6.270266554270235e-05,4.204451137468516,1.429565183883462,1.0
742,TLR7_code_potential_somatic,ENSG00000196628,742,1.0,1.5225011283724712,0.47882602075553327,9.418682893511253e-33,4.034378479747151,1.3421297469350395,1.0
739,TLR7_code_potential_somatic,ENSG00000196628,739,1.0,1.5225011283724712,-0.3530510097210577,1.571079652001692e-17,-6.704450984557397,3.831622533838516,1.0
1603,TLR7_code_potential_somatic,ENSG00000112592,1603,1.0,2.250444691265563,0.4551977685019883,2.2023615178401524e-29,5.221630238875174,1.7068655574477896,1.0
1116,TLR7_code_potential_somatic,ENSG00000165804,1116,1.0,1.5849599001174661,0.4169209536324517,1.8635762799478215e-24,5.496765113020161,1.618716184625034,1.0
1182,TLR7_code_potential_somatic,ENSG00000100811,1182,1.0,1.4083847163068834,0.5131002359150106,3.9412618460168217e-38,4.447280142668046,1.3906157266412054,1.0
1204,TLR7_code_potential_somatic,ENSG00000100811,1204,1.0,1.4083847163068834,0.49941901744931055,6.5434422067206e-36,5.873305943259748,1.8726767974283585,1.0
1186,TLR7_code_potential_somatic,ENSG00000100811,1186,1.0,1.4083847163068834,0.4036442900699491,6.875636328881652e-23,5.153899913427069,1.5587501878522787,1.0
