,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1079,TM7SF4_code_potential_somatic,ENSG00000163848,1079,-1.0,3.1950449310290137,0.3841071612561824,1.043439722072115e-20,-11.904509237316104,6.079711221630959,1.0
1072,TM7SF4_code_potential_somatic,ENSG00000163848,1072,-1.0,3.1950449310290137,-0.3644669978212517,1.169689169460119e-18,4.3425334560000035,1.4299811699132081,1.0
1071,TM7SF4_code_potential_somatic,ENSG00000163848,1071,-1.0,3.1950449310290137,0.25391617240309916,1.644194180087542e-09,-9.232886750062315,8.747452455427274,1.0
1076,TM7SF4_code_potential_somatic,ENSG00000163848,1076,-1.0,3.1950449310290137,0.32495945518384095,6.070185910073987e-15,-4.131872009232615,1.374883316256341,1.0
1535,TM7SF4_code_potential_somatic,ENSG00000113916,1535,-1.0,2.026823637929843,0.35653041522952333,7.197473117795702e-18,-7.1999314615549155,2.2896071309804062,1.0
1523,TM7SF4_code_potential_somatic,ENSG00000113916,1523,-1.0,2.026823637929843,0.323287421310316,8.491104504296732e-15,-4.259870963249816,1.4017192307476147,1.0
1529,TM7SF4_code_potential_somatic,ENSG00000113916,1529,-1.0,2.026823637929843,0.2930879228038076,2.566260578578119e-12,-4.767999901307988,1.5110850274860599,1.0
1524,TM7SF4_code_potential_somatic,ENSG00000113916,1524,-1.0,2.026823637929843,0.3396648946607722,2.8963415857080924e-16,-4.978717973922457,1.615581819636472,1.0
1538,TM7SF4_code_potential_somatic,ENSG00000113916,1538,-1.0,2.026823637929843,0.6841581243819654,7.158883160947051e-77,-3.934294902908564,1.3181400703675707,1.0
2966,TM7SF4_code_potential_somatic,ENSG00000143799,2966,-1.0,1.4758020344592615,0.23901027845088144,1.473562004007722e-08,-3.9673287954553964,1.4803677163098794,1.0
2904,TM7SF4_code_potential_somatic,ENSG00000109381,2904,-1.0,2.191552178799319,0.5149795057357034,1.91750077851589e-38,-6.0257454296533615,1.7997476860229644,1.0
3560,TM7SF4_code_potential_somatic,ENSG00000025156,3560,-1.0,1.7721166852104324,0.33988306846581307,2.765075481280327e-16,-8.942902210337934,4.53055671874248,1.0
2594,TM7SF4_code_potential_somatic,ENSG00000185630,2594,-1.0,1.4710112589666535,0.4522632870727573,5.53633587571199e-29,-4.438252111866224,1.4465200655797723,1.0
547,TM7SF4_code_potential_somatic,ENSG00000169136,547,-1.0,1.538984242969327,0.18394975818948414,1.4685582850237537e-05,-4.901963297076172,1.473858051479143,1.0
2847,TM7SF4_code_potential_somatic,ENSG00000116132,2847,-1.0,3.3359655907718238,0.4526470600459959,4.910065290813023e-29,-4.78041599676544,1.479648893353131,1.0
2856,TM7SF4_code_potential_somatic,ENSG00000116132,2856,-1.0,3.3359655907718238,0.3308925138894389,1.814038509974089e-15,-5.150390047037264,1.851978689344186,1.0
