,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3417,TMPRSS15_code_potential_somatic,ENSG00000100393,3417,1.0,1.7427160515405506,0.27286666743960863,8.207630550317471e-11,2.854293734199489,1.4180303254569275,1.0
3516,TMPRSS15_code_potential_somatic,ENSG00000105991,3516,-1.0,1.347509725538024,0.204880772040821,1.320900086403999e-06,-2.386981971585841,1.3296168223472902,1.0
3514,TMPRSS15_code_potential_somatic,ENSG00000105991,3514,-1.0,1.347509725538024,0.28755586192906624,6.8100213599091565e-12,-3.4062041075823215,1.8921410595797037,1.0
2113,TMPRSS15_code_potential_somatic,ENSG00000069667,2113,1.0,1.9563244040656051,0.22245043455015545,1.4280152349632248e-07,3.3644722974765684,1.5996803694416595,1.0
2112,TMPRSS15_code_potential_somatic,ENSG00000069667,2112,1.0,1.9563244040656051,0.4309491209498844,3.443222759773247e-26,3.6677157639082423,1.7296635389440442,1.0
866,TMPRSS15_code_potential_somatic,ENSG00000244405,866,1.0,1.4234823298254144,0.429402653684742,5.395912682071426e-26,2.604353321608682,1.3171415202857681,1.0
3463,TMPRSS15_code_potential_somatic,ENSG00000150347,3463,1.0,3.676579347469404,0.4458585150166216,4.014154139911832e-28,3.1744688610237977,1.542692363228534,1.0
255,TMPRSS15_code_potential_somatic,ENSG00000177606,255,1.0,3.7641552261049136,0.46501566264787897,9.438461489358275e-31,3.492558713024543,1.6862560596940879,1.0
238,TMPRSS15_code_potential_somatic,ENSG00000177606,238,1.0,3.7641552261049136,0.5242632678221274,5.105164133303365e-40,4.100486619411132,2.334677149458805,1.0
257,TMPRSS15_code_potential_somatic,ENSG00000177606,257,1.0,3.7641552261049136,0.47048590412734237,1.5603952636220468e-31,6.55038947486596,3.71951638530415,1.0
251,TMPRSS15_code_potential_somatic,ENSG00000177606,251,1.0,3.7641552261049136,0.7020705437872713,1.4989788859365892e-82,12.271496199859788,5.7881480021785245,1.0
247,TMPRSS15_code_potential_somatic,ENSG00000177606,247,1.0,3.7641552261049136,0.5122275406948471,5.498927871433927e-38,3.273300339134053,1.6177587508342395,1.0
240,TMPRSS15_code_potential_somatic,ENSG00000177606,240,1.0,3.7641552261049136,0.350644608069937,2.6805473372420744e-17,2.8415030268625467,1.6360330675399994,1.0
236,TMPRSS15_code_potential_somatic,ENSG00000177606,236,1.0,3.7641552261049136,0.5406569292022357,6.389904688620846e-43,5.224765721766228,2.633809608576466,1.0
243,TMPRSS15_code_potential_somatic,ENSG00000177606,243,1.0,3.7641552261049136,0.5406951387857389,6.28842195941703e-43,6.730413483001568,3.090182166272531,1.0
3621,TMPRSS15_code_potential_somatic,ENSG00000105880,3621,-1.0,1.7840118038988557,-0.3428641451695831,1.4617775743690047e-16,13.23285930526398,6.235243428504791,1.0
3008,TMPRSS15_code_potential_somatic,ENSG00000171940,3008,1.0,1.7441964114442698,0.649163979417285,7.017423356659764e-67,4.063631845898694,1.9435686577166318,1.0
3275,TMPRSS15_code_potential_somatic,ENSG00000137309,3275,1.0,1.4803437421347136,-0.25240930018345703,2.0656721801998677e-09,-4.186563316919632,2.3126909844943713,1.0
3272,TMPRSS15_code_potential_somatic,ENSG00000137309,3272,1.0,1.4803437421347136,0.21119056614133597,6.071337605769466e-07,4.753708589761203,2.554655188852872,1.0
233,TMPRSS15_code_potential_somatic,ENSG00000135363,233,1.0,2.71698142742124,0.4007303718135195,1.4856415152276415e-22,2.7988061466683214,1.4383478171653314,1.0
2975,TMPRSS15_code_potential_somatic,ENSG00000187079,2975,1.0,1.5525117881579176,0.26291212298935746,4.081994863604372e-10,7.011110798089937,3.0864324462805097,1.0
2978,TMPRSS15_code_potential_somatic,ENSG00000187079,2978,1.0,1.5525117881579176,0.19721876525147555,3.2873561576711014e-06,4.5503194057158085,2.1694813650522753,1.0
121,TMPRSS15_code_potential_somatic,ENSG00000196843,121,1.0,2.1221608686674904,0.3782272605398475,4.4340798692102234e-20,4.530503524463363,2.200387204287179,1.0
117,TMPRSS15_code_potential_somatic,ENSG00000196843,117,1.0,2.1221608686674904,0.3881891698143999,3.75587017565155e-21,4.505601315544974,2.356796731503991,1.0
116,TMPRSS15_code_potential_somatic,ENSG00000196843,116,1.0,2.1221608686674904,0.4645621061414104,1.0941588355156899e-30,4.600222334464241,2.350719237851182,1.0
126,TMPRSS15_code_potential_somatic,ENSG00000196843,126,1.0,2.1221608686674904,0.4051785798533263,4.568774759530043e-23,9.12578487014688,4.378540056676336,1.0
125,TMPRSS15_code_potential_somatic,ENSG00000196843,125,1.0,2.1221608686674904,0.41849826565679615,1.2008458094252178e-24,3.537550386048187,1.6719646286868375,1.0
2514,TMPRSS15_code_potential_somatic,ENSG00000128652,2514,-1.0,1.4606291727469543,-0.3205498800089534,1.4644230664859973e-14,10.964909096994173,4.982754528891757,0.75
2510,TMPRSS15_code_potential_somatic,ENSG00000128652,2510,-1.0,1.4606291727469543,-0.3302851995394446,2.055269424284233e-15,6.17941243695738,3.783655632965681,0.75
2509,TMPRSS15_code_potential_somatic,ENSG00000128652,2509,-1.0,1.4606291727469543,-0.2848819037821037,1.0832176815210206e-11,3.9464123764836003,1.886286657160711,0.75
1835,TMPRSS15_code_potential_somatic,ENSG00000112658,1835,1.0,1.5010517189184702,0.3052312055335061,2.7937853788989866e-13,7.824204134195949,3.64804228567242,1.0
1834,TMPRSS15_code_potential_somatic,ENSG00000112658,1834,1.0,1.5010517189184702,-0.2496194172353077,3.1395413938508677e-09,-3.4018455359489543,1.8510393891129096,1.0
1839,TMPRSS15_code_potential_somatic,ENSG00000112658,1839,1.0,1.5010517189184702,0.43930433182194023,2.919581539654522e-27,3.6608867639742395,1.7284391718225722,1.0
