,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,TNK2_code_potential_somatic,ENSG00000185811,1596,-1.0,3.035040265228958,0.29259323995173636,2.8027125371516682e-12,-6.037598618232578,2.352353797655427,1.0
1589,TNK2_code_potential_somatic,ENSG00000185811,1589,-1.0,3.035040265228958,0.48857770440176596,3.2002803666066633e-34,-3.558355375869231,1.6507130887329051,1.0
1585,TNK2_code_potential_somatic,ENSG00000185811,1585,-1.0,3.035040265228958,0.40857361801806463,1.835320516994237e-23,-4.808267692024887,1.7520504473564333,1.0
221,TNK2_code_potential_somatic,ENSG00000020633,221,-1.0,2.3288654203518147,0.6379715611320159,5.8828214436437776e-64,-7.48796419005601,2.3357452744668143,1.0
227,TNK2_code_potential_somatic,ENSG00000020633,227,-1.0,2.3288654203518147,0.4475187360036436,2.4116916755157605e-28,-4.050634107843428,1.325169980594721,1.0
222,TNK2_code_potential_somatic,ENSG00000020633,222,-1.0,2.3288654203518147,0.34106202370642147,2.15072407207988e-16,-3.349841264378661,1.4626668457506593,1.0
505,TNK2_code_potential_somatic,ENSG00000120690,505,-1.0,1.5081946384448002,0.593719832020754,1.682613800120794e-53,-7.0209516879693865,2.200749070917065,1.0
515,TNK2_code_potential_somatic,ENSG00000120690,515,-1.0,1.5081946384448002,0.5845918979494944,1.5342715639809988e-51,-3.3428032285344917,1.4557528232495511,1.0
344,TNK2_code_potential_somatic,ENSG00000159216,344,-1.0,2.8436920677404762,0.46056329822208036,3.988216844167444e-30,-7.307597189252333,2.349515607639168,1.0
2188,TNK2_code_potential_somatic,ENSG00000132170,2188,-1.0,2.693227023716786,0.38661812882856933,5.574890332489311e-21,-5.563368377037734,2.043619201167832,1.0
2194,TNK2_code_potential_somatic,ENSG00000132170,2194,-1.0,2.693227023716786,0.2643689727389935,3.2412030433939317e-10,-3.8026345503155223,1.328290449335136,1.0
2196,TNK2_code_potential_somatic,ENSG00000132170,2196,-1.0,2.693227023716786,0.20977229057046545,7.245609552287564e-07,-3.6838584973253528,1.5340412674068005,1.0
2191,TNK2_code_potential_somatic,ENSG00000132170,2191,-1.0,2.693227023716786,0.41826857064146233,1.2803951378042436e-24,-8.786482497087837,2.389532712219825,1.0
170,TNK2_code_potential_somatic,ENSG00000178573,170,-1.0,1.902880107199966,0.4816011740550803,3.6374284235023134e-33,-3.7105476828954678,1.3102440546029313,1.0
168,TNK2_code_potential_somatic,ENSG00000178573,168,-1.0,1.902880107199966,0.40599315858865764,3.674343874134727e-23,-8.790796298936208,3.108835213767294,1.0
166,TNK2_code_potential_somatic,ENSG00000178573,166,-1.0,1.902880107199966,0.5169340280185626,9.020489212937334e-39,-4.1373602639376355,1.3329239991339519,1.0
169,TNK2_code_potential_somatic,ENSG00000178573,169,-1.0,1.902880107199966,0.3551133792825451,9.902752147500087e-18,-6.2193204823081985,2.154179573135909,1.0
154,TNK2_code_potential_somatic,ENSG00000178573,154,-1.0,1.902880107199966,0.6056710459662019,3.657733594393192e-56,-6.642761765800222,2.0971020256216137,1.0
459,TNK2_code_potential_somatic,ENSG00000172216,459,-1.0,10.087740914894582,0.37768933668965154,5.0541939676146437e-20,-3.9864453208042523,1.6087915152834567,1.0
473,TNK2_code_potential_somatic,ENSG00000172216,473,-1.0,10.087740914894582,0.5345396040510034,8.07633152170066e-42,-4.427964782910379,1.434176864227451,1.0
478,TNK2_code_potential_somatic,ENSG00000172216,478,-1.0,10.087740914894582,0.5755761863000123,1.1527766325315883e-49,-3.7849279171340484,1.3422033592899216,1.0
472,TNK2_code_potential_somatic,ENSG00000172216,472,-1.0,10.087740914894582,0.7355169089438647,2.210997179429216e-94,-7.218990231320993,3.998057353506103,1.0
458,TNK2_code_potential_somatic,ENSG00000172216,458,-1.0,10.087740914894582,0.6437152490583052,1.92593106774297e-65,-5.900143137499054,2.125732036223704,1.0
457,TNK2_code_potential_somatic,ENSG00000172216,457,-1.0,10.087740914894582,0.7148546391502247,7.166896573166083e-87,-8.582734838534611,2.8869030578354042,1.0
200,TNK2_code_potential_somatic,ENSG00000125820,200,-1.0,1.318067400601553,0.09322985244756811,0.029092849570705792,-4.385815745045643,1.5770809107769472,0.5
3324,TNK2_code_potential_somatic,ENSG00000128604,3324,-1.0,3.2115151486271802,0.4334432442211469,1.6602867078547144e-26,-4.793902768195269,2.122975237796409,1.0
3329,TNK2_code_potential_somatic,ENSG00000128604,3329,-1.0,3.2115151486271802,0.3914265569876615,1.6532030520778984e-21,-9.08573125283984,3.379126266734649,1.0
3717,TNK2_code_potential_somatic,ENSG00000163435,3717,-1.0,1.6197730219669761,0.32730183390687817,3.779874815497097e-15,-7.147827480072961,2.5580671967818125,0.5
427,TNK2_code_potential_somatic,ENSG00000162367,427,-1.0,2.7746411358500733,0.21193229874323286,5.532397045538258e-07,-7.1614072139281975,2.3478466416470596,1.0
431,TNK2_code_potential_somatic,ENSG00000162367,431,-1.0,2.7746411358500733,0.4066088141488046,3.115251911311722e-23,-4.442375053452897,1.9167334056285474,1.0
623,TNK2_code_potential_somatic,ENSG00000140968,623,-1.0,2.4705181297414467,0.7002585782520239,5.881945624895939e-82,-7.341672304917679,2.459840209321948,1.0
625,TNK2_code_potential_somatic,ENSG00000140968,625,-1.0,2.4705181297414467,0.6080537489252643,1.0441284104448363e-56,-5.377942425721231,2.1819030877275565,1.0
