,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2206,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000169083,2206,1.0,1.5103101857815364,0.20874238187314026,8.232020140103674e-07,2.791514935021991,2.1157435576707977,1.0
366,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.2797312127861704,0.2894018731355593,4.928790824080555e-12,-4.146442709746904,4.010947119671297,1.0
363,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,363,-1.0,2.2797312127861704,-0.26567493056812325,2.632663727496636e-10,2.4299627793878287,1.7158214759233694,1.0
884,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,884,1.0,1.7942369306712498,-0.21474923465985488,3.8749813925423966e-07,-2.135480280716982,1.4104347997623659,1.0
889,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000139083,889,1.0,1.7942369306712498,0.37569040670382775,8.203038178775998e-20,2.2708712639338176,1.545287851307418,1.0
234,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000135363,234,1.0,1.3999613169626095,-0.31197279069307887,7.794265670481288e-14,-2.5580530609144763,1.8582748168612135,1.0
494,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,494,1.0,1.339969892620426,0.43361540610406846,1.5784080008314714e-26,2.3093671470779844,1.5841689278614355,1.0
501,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000068305,501,1.0,1.339969892620426,-0.4576396817316701,1.0157288404906929e-29,-4.8056243239506164,5.249250901347062,1.0
804,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,804,1.0,1.5146922875387758,-0.17788063253194566,2.8140438561071734e-05,-3.0720826484676445,2.478915699457619,1.0
793,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,793,1.0,1.5146922875387758,0.5292624522225253,6.913163364054204e-41,2.3506150664256875,1.6240015133419965,1.0
795,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,795,1.0,1.5146922875387758,0.5945296710176737,1.119601462237606e-53,2.501220936351021,1.7863749491746472,1.0
811,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,811,1.0,1.5146922875387758,0.4894512746505592,2.3512004949770813e-34,2.07085963294831,1.3475709784534677,1.0
3399,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3399,-1.0,2.5653071884895837,0.12252588389376366,0.004071887528659675,-3.6561367399084133,3.29853927614881,1.0
3398,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,3398,-1.0,2.5653071884895837,0.19005162450158916,7.473825507774001e-06,-3.2671179944489195,2.706450710036761,1.0
944,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000112242,944,-1.0,1.3082319111458012,0.48907289768720463,2.687407961291249e-34,-2.2236030280513877,1.4991355092612892,1.0
1326,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000116044,1326,1.0,1.3199235651139136,0.49196049216568644,9.65006094377566e-35,2.10686805363469,1.3872022090437583,1.0
693,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000188786,693,1.0,1.8139668130747886,-0.3278619251490302,3.373042685106883e-15,-4.8056243239506164,5.249250901347062,1.0
851,TRAIL_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,ENSG00000113580,851,1.0,1.766904760138243,-0.33467030416068094,8.291506310731383e-16,-2.73824388451095,2.0906849526872993,1.0
