,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3751,UGT2A3_code_potential_somatic,ENSG00000163666,3751,1.0,1.653807003790749,0.24013607570222692,1.2548504380198814e-08,2.7709752448353275,1.3123813569679628,1.0
3753,UGT2A3_code_potential_somatic,ENSG00000177374,3753,-1.0,2.5141664182077172,-0.2563488249131151,1.1339672987923748e-09,3.165841879092877,1.5676580785358822,1.0
33,UGT2A3_code_potential_somatic,ENSG00000261678,33,-1.0,1.3403573864243397,-0.2251532197945991,9.972859549821972e-08,4.296631019900164,2.022954464012755,1.0
1540,UGT2A3_code_potential_somatic,ENSG00000113916,1540,1.0,1.6818061517649476,0.2776491364160155,3.7089803866898246e-11,4.585522207112811,2.2207913363108247,1.0
1538,UGT2A3_code_potential_somatic,ENSG00000113916,1538,1.0,1.6818061517649476,0.6841581243819654,7.158883160947051e-77,3.6226453693415377,1.7745679954867375,1.0
2096,UGT2A3_code_potential_somatic,ENSG00000105856,2096,1.0,1.6368424597551925,0.3961684829708856,4.888121905985231e-22,4.1745394901958575,1.981656137275612,1.0
1703,UGT2A3_code_potential_somatic,ENSG00000105997,1703,-1.0,1.4629569929813189,0.24962220159062418,3.1382378715248863e-09,-3.1285746477970116,1.5511495820360408,1.0
1685,UGT2A3_code_potential_somatic,ENSG00000105997,1685,-1.0,1.4629569929813189,-0.177331373535358,2.981503482408289e-05,4.087943446383639,1.9592595598727751,1.0
1695,UGT2A3_code_potential_somatic,ENSG00000105997,1695,-1.0,1.4629569929813189,-0.18650682022363238,1.1094567778049381e-05,3.539497965989988,1.7420577085860576,1.0
3722,UGT2A3_code_potential_somatic,ENSG00000137265,3722,-1.0,1.8114478988052374,0.3288728748927087,2.7447125190265412e-15,-6.044739066857095,4.666106033676727,1.0
3673,UGT2A3_code_potential_somatic,ENSG00000198517,3673,-1.0,1.3081797674281228,-0.1434689649585306,0.0007563489075187702,4.585522207112811,2.2207913363108247,1.0
3672,UGT2A3_code_potential_somatic,ENSG00000198517,3672,-1.0,1.3081797674281228,-0.20908349720067404,7.891832365928267e-07,4.309643056131868,2.0705046768881963,1.0
3671,UGT2A3_code_potential_somatic,ENSG00000198517,3671,-1.0,1.3081797674281228,-0.2552081521750623,1.3504160062972682e-09,3.328169672366495,1.6024750934275658,1.0
3668,UGT2A3_code_potential_somatic,ENSG00000198517,3668,-1.0,1.3081797674281228,-0.15469733233667574,0.00027797277635311095,2.7448653318281466,1.3194663578632055,1.0
3477,UGT2A3_code_potential_somatic,ENSG00000107175,3477,1.0,1.599382582752081,0.3558082978527454,8.470030614816931e-18,2.9378688464516336,1.4140669273634312,1.0
975,UGT2A3_code_potential_somatic,ENSG00000066136,975,1.0,1.3071181530108498,0.45642149604082355,1.495516009088608e-29,2.888897083091006,1.401635763952232,1.0
977,UGT2A3_code_potential_somatic,ENSG00000066136,977,1.0,1.3071181530108498,0.41230138581930065,6.661055322068451e-24,2.9131191497503717,1.4012150603566154,1.0
2592,UGT2A3_code_potential_somatic,ENSG00000185630,2592,1.0,1.4879130872460045,0.2908792776230314,3.798643919702454e-12,2.9863211427818057,1.4515610156632746,1.0
2594,UGT2A3_code_potential_somatic,ENSG00000185630,2594,1.0,1.4879130872460045,0.4522632870727573,5.53633587571199e-29,3.4478224305391896,1.6117607967388539,1.0
2596,UGT2A3_code_potential_somatic,ENSG00000185630,2596,1.0,1.4879130872460045,0.2079536894014418,9.073336116452097e-07,3.008561624368252,1.4845161450157958,1.0
532,UGT2A3_code_potential_somatic,ENSG00000196092,532,-1.0,1.4837761513744954,-0.24811360750413528,3.927222363077168e-09,3.352340230264432,1.6151023213466706,1.0
333,UGT2A3_code_potential_somatic,ENSG00000134532,333,1.0,1.4692668523472732,0.3372906503117982,4.786552816987904e-16,6.243523961749035,2.940935408663622,1.0
341,UGT2A3_code_potential_somatic,ENSG00000134532,341,1.0,1.4692668523472732,0.1604141860516499,0.00016254680321509365,2.7870778141522843,1.3530597453320512,1.0
326,UGT2A3_code_potential_somatic,ENSG00000134532,326,1.0,1.4692668523472732,-0.29560581768618077,1.6342432170611825e-12,-2.704956628728161,1.6129717085413535,1.0
1236,UGT2A3_code_potential_somatic,ENSG00000110777,1236,-1.0,1.470546122677048,0.3683191597506944,4.753848317408781e-19,-3.3862993050234316,1.6694834333594417,1.0
1052,UGT2A3_code_potential_somatic,ENSG00000005889,1052,1.0,2.0004081993166007,0.4739671326121202,4.879648859264645e-32,6.004074697666352,2.9589462995083,1.0
2398,UGT2A3_code_potential_somatic,ENSG00000092067,2398,-1.0,1.3633054429456188,-0.2348748965190853,2.6404945499979563e-08,4.30964305613187,2.0705046768881967,1.0
2400,UGT2A3_code_potential_somatic,ENSG00000092067,2400,-1.0,1.3633054429456188,-0.10188272301071055,0.01704301921346311,6.468937765336549,3.3790779706443796,1.0
3121,UGT2A3_code_potential_somatic,ENSG00000156273,3121,1.0,1.3643410148771897,0.35039544366758923,2.832267553354165e-17,5.842536430576483,2.637422306876309,1.0
2882,UGT2A3_code_potential_somatic,ENSG00000118260,2882,1.0,1.4926447521116637,0.41798950942759494,1.3840726698935e-24,8.257002647827555,4.3879788468475205,1.0
