,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3062,UGT2B4_code_potential_somatic,ENSG00000124782,3062,1.0,1.4343497068029456,0.24550897024662027,5.764362489184945e-09,3.570782150061322,1.5059213066166353,1.0
1588,UGT2B4_code_potential_somatic,ENSG00000185811,1588,1.0,12.078520760942272,0.3550750238609369,9.988427254548676e-18,9.597870209786374,14.164969014601976,1.0
1586,UGT2B4_code_potential_somatic,ENSG00000185811,1586,1.0,12.078520760942272,0.6233205921872924,2.6175272440063035e-60,4.011515410837183,1.3933264475212692,1.0
1591,UGT2B4_code_potential_somatic,ENSG00000185811,1591,1.0,12.078520760942272,0.5045122674274166,1.0023071857987585e-36,4.469997476554494,1.918767654707198,1.0
221,UGT2B4_code_potential_somatic,ENSG00000020633,221,1.0,13.972758594264741,0.6379715611320159,5.8828214436437776e-64,11.568508603389532,23.78577873565793,1.0
344,UGT2B4_code_potential_somatic,ENSG00000159216,344,1.0,13.498125422732944,0.46056329822208036,3.988216844167444e-30,7.424268675377852,4.19182908783077,1.0
352,UGT2B4_code_potential_somatic,ENSG00000159216,352,1.0,13.498125422732944,0.46592890086122507,7.004613737833904e-31,3.9218172117167485,1.3453223467430697,1.0
345,UGT2B4_code_potential_somatic,ENSG00000159216,345,1.0,13.498125422732944,0.47552862120207495,2.8843745402118936e-32,6.185907630780568,2.024673270468648,1.0
348,UGT2B4_code_potential_somatic,ENSG00000159216,348,1.0,13.498125422732944,0.3131232345841649,6.247962558606434e-14,5.090362917586312,2.771509915043245,1.0
567,UGT2B4_code_potential_somatic,ENSG00000090447,567,-1.0,1.348671110130895,-0.23457082069737303,2.7550319609364572e-08,9.509937529771292,7.079678932434678,1.0
2538,UGT2B4_code_potential_somatic,ENSG00000177732,2538,-1.0,1.348671110130895,-0.40340927196378373,7.318506353990884e-23,4.27717566905786,1.8478141289961796,1.0
2532,UGT2B4_code_potential_somatic,ENSG00000177732,2532,-1.0,1.348671110130895,-0.24271463923626918,8.658729635365614e-09,6.292313848659626,2.225903620477084,1.0
154,UGT2B4_code_potential_somatic,ENSG00000178573,154,1.0,3.1498723180978576,0.6056710459662019,3.657733594393192e-56,10.281319879212552,9.20911378330066,1.0
459,UGT2B4_code_potential_somatic,ENSG00000172216,459,1.0,2.730257535189377,0.37768933668965154,5.0541939676146437e-20,5.104711648313489,2.6071561255920894,1.0
470,UGT2B4_code_potential_somatic,ENSG00000172216,470,1.0,2.730257535189377,0.7912697226895726,9.865638401480642e-119,5.778492501675918,2.0110147709488215,1.0
458,UGT2B4_code_potential_somatic,ENSG00000172216,458,1.0,2.730257535189377,0.6437152490583052,1.92593106774297e-65,5.5821808547854594,1.7753773532121593,1.0
457,UGT2B4_code_potential_somatic,ENSG00000172216,457,1.0,2.730257535189377,0.7148546391502247,7.166896573166083e-87,10.646600772806691,11.454146398963674,1.0
104,UGT2B4_code_potential_somatic,ENSG00000057657,104,1.0,1.5542766108134483,0.40473180481873894,5.1473728401887207e-23,3.83640115602585,1.4060181481162313,1.0
108,UGT2B4_code_potential_somatic,ENSG00000057657,108,1.0,1.5542766108134483,0.3942166586929683,8.09091190283462e-22,7.677663081612269,4.764675889117107,1.0
114,UGT2B4_code_potential_somatic,ENSG00000057657,114,1.0,1.5542766108134483,0.28656261555391105,8.096012626668552e-12,4.859858873529559,1.9042441453341847,1.0
113,UGT2B4_code_potential_somatic,ENSG00000057657,113,1.0,1.5542766108134483,0.48237695985448864,2.783612097846488e-33,5.6321151535920295,2.730257535189377,1.0
98,UGT2B4_code_potential_somatic,ENSG00000057657,98,1.0,1.5542766108134483,0.4724170193943533,8.201656091476145e-32,10.00559293090817,9.257101027067234,1.0
3326,UGT2B4_code_potential_somatic,ENSG00000128604,3326,1.0,14.83298674156787,0.3469964678740166,5.973014440631016e-17,8.182264561697151,3.7045202984473105,1.0
3327,UGT2B4_code_potential_somatic,ENSG00000128604,3327,1.0,14.83298674156787,0.26238652245903177,4.434663181358086e-10,6.8367507388786795,3.0302907415089995,1.0
3329,UGT2B4_code_potential_somatic,ENSG00000128604,3329,1.0,14.83298674156787,0.3914265569876615,1.6532030520778984e-21,4.064506274770247,1.369935298983797,1.0
3712,UGT2B4_code_potential_somatic,ENSG00000163435,3712,1.0,6.708903518807103,0.23974326076647987,1.3273277728038533e-08,4.381405176452098,1.7057054065334236,1.0
427,UGT2B4_code_potential_somatic,ENSG00000162367,427,1.0,16.315400115228204,0.21193229874323286,5.532397045538258e-07,11.829424661655493,21.759414280315685,1.0
428,UGT2B4_code_potential_somatic,ENSG00000162367,428,1.0,16.315400115228204,0.2329255481161108,3.463136694070408e-08,5.11641710835349,1.9866010348902212,1.0
627,UGT2B4_code_potential_somatic,ENSG00000140968,627,1.0,11.413997685818854,0.3184797952608012,2.203226298999811e-14,4.761376096367385,1.7416182659719628,1.0
623,UGT2B4_code_potential_somatic,ENSG00000140968,623,1.0,11.413997685818854,0.7002585782520239,5.881945624895939e-82,10.617406925660578,9.011127056015093,1.0
624,UGT2B4_code_potential_somatic,ENSG00000140968,624,1.0,11.413997685818854,0.6079559644758794,1.0994840884836115e-56,8.528912147325167,3.0850862009127464,1.0
1474,UGT2B4_code_potential_somatic,ENSG00000087510,1474,1.0,14.553789870350618,0.1242875076783873,0.0035664792313555723,5.725018470901089,1.8552031780225937,0.75
1470,UGT2B4_code_potential_somatic,ENSG00000087510,1470,1.0,14.553789870350618,0.22247778739014765,1.4228685801076825e-07,5.050761818844931,1.6783398767872406,0.75
1467,UGT2B4_code_potential_somatic,ENSG00000087510,1467,1.0,14.553789870350618,0.3621860031536285,1.9821152866970234e-18,3.682143153649531,1.493378281522324,0.75
290,UGT2B4_code_potential_somatic,ENSG00000245848,290,1.0,11.190657222212787,0.6844355813766781,5.888470078524959e-77,11.710499641605292,19.347503972749188,1.0
294,UGT2B4_code_potential_somatic,ENSG00000245848,294,1.0,11.190657222212787,0.691993932843157,2.6408163646011318e-79,6.146699709038425,2.342975132090031,1.0
317,UGT2B4_code_potential_somatic,ENSG00000162924,317,1.0,13.851840456782902,0.5970365551231214,3.1492219113434006e-54,6.572587253103067,3.0619695890630063,1.0
322,UGT2B4_code_potential_somatic,ENSG00000162924,322,1.0,13.851840456782902,0.47353873317875955,5.634147158763423e-32,5.317782153034917,5.176166052169525,1.0
619,UGT2B4_code_potential_somatic,ENSG00000066336,619,1.0,14.125260668683131,0.5144756350830187,2.3271362285454314e-38,4.902243708815891,1.632615221464778,1.0
598,UGT2B4_code_potential_somatic,ENSG00000066336,598,1.0,14.125260668683131,0.842991717051909,3.817184459638388e-149,10.09689346325848,10.013524479062438,1.0
440,UGT2B4_code_potential_somatic,ENSG00000204103,440,1.0,12.823583028914951,0.8036235227238009,3.706046125832496e-125,7.617521338688927,3.1498723180978576,1.0
436,UGT2B4_code_potential_somatic,ENSG00000204103,436,1.0,12.823583028914951,0.8007476682127695,1.2734137710494504e-123,10.88848415944807,10.815170634344666,1.0
652,UGT2B4_code_potential_somatic,ENSG00000136630,652,1.0,15.900203666066039,0.5228179392827843,9.04427376088564e-40,7.830718543455879,3.0771426427390924,1.0
658,UGT2B4_code_potential_somatic,ENSG00000136630,658,1.0,15.900203666066039,0.4250003117289494,1.914137044397754e-25,7.628393483948828,3.1204597703561348,1.0
660,UGT2B4_code_potential_somatic,ENSG00000136630,660,1.0,15.900203666066039,0.27114672574859977,1.0880301052143399e-10,4.948493490040982,2.1607664514268645,1.0
130,UGT2B4_code_potential_somatic,ENSG00000105967,130,1.0,9.94636578054127,0.8195316161333988,3.8518852246219126e-134,12.664178177175419,26.619857171303252,1.0
306,UGT2B4_code_potential_somatic,ENSG00000111424,306,1.0,11.14906643942987,0.6049169900444348,5.427001580336199e-56,10.499051889844072,17.616207121045775,0.75
313,UGT2B4_code_potential_somatic,ENSG00000111424,313,1.0,11.14906643942987,0.6481289663862857,1.3234017585687677e-66,4.5212481870238115,1.5147865531124116,0.75
315,UGT2B4_code_potential_somatic,ENSG00000111424,315,1.0,11.14906643942987,0.43338294016474027,1.689948598749975e-26,8.728321729355383,3.375940906945189,0.75
