,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,UPF1_code_potential_somatic,ENSG00000125952,1313,1.0,3.1297817649864306,0.6383058949876683,4.830752998599309e-64,9.796336182736631,2.60733182170083,1.0
1309,UPF1_code_potential_somatic,ENSG00000125952,1309,1.0,3.1297817649864306,0.45210191720960374,5.82270233160004e-29,7.6421909688189675,2.3445392203396294,1.0
1316,UPF1_code_potential_somatic,ENSG00000125952,1316,1.0,3.1297817649864306,0.41974138966359315,8.47913416258375e-25,4.545915037466459,1.4530068007229537,1.0
1314,UPF1_code_potential_somatic,ENSG00000125952,1314,1.0,3.1297817649864306,0.3537194586752052,1.35329489768637e-17,4.4212556431914765,1.4741952159713112,1.0
1307,UPF1_code_potential_somatic,ENSG00000125952,1307,1.0,3.1297817649864306,0.3594368228235468,3.721926650177375e-18,3.756201654838736,1.425907655258111,1.0
1928,UPF1_code_potential_somatic,ENSG00000006468,1928,1.0,1.7543235477817394,0.4411584445695249,1.672807099539624e-27,5.340369776964975,1.9143463135699788,1.0
2357,UPF1_code_potential_somatic,ENSG00000148516,2357,1.0,1.6865578874534957,0.20457972484287223,1.3699860298901783e-06,4.301058830853713,1.369801393165347,1.0
2359,UPF1_code_potential_somatic,ENSG00000148516,2359,1.0,1.6865578874534957,0.48467070156951697,1.2570182182003646e-33,7.969467465920319,8.82731369201261,1.0
2366,UPF1_code_potential_somatic,ENSG00000148516,2366,1.0,1.6865578874534957,0.25037296272370746,2.80528196472836e-09,4.912367198119112,3.432934177667056,1.0
2361,UPF1_code_potential_somatic,ENSG00000148516,2361,1.0,1.6865578874534957,0.3585273034818775,4.578396266516501e-18,5.992096515298124,1.9070726462122993,1.0
3750,UPF1_code_potential_somatic,ENSG00000163666,3750,1.0,2.7980522717550107,0.19375642280129188,4.9068906131440965e-06,5.170582516641947,1.591087547265727,1.0
