,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3703,XK_code_potential_somatic,ENSG00000162772,3703,-1.0,3.710776860524411,0.22458535856886738,1.0758219154562867e-07,-3.220704140329921,1.597756508017469,1.0
364,XK_code_potential_somatic,ENSG00000163497,364,1.0,1.4506158008930932,-0.29843019019556005,9.798844265767807e-13,-5.385775410735946,2.202585401647493,1.0
365,XK_code_potential_somatic,ENSG00000163497,365,1.0,1.4506158008930932,-0.21647528057006557,3.1079592577989785e-07,-7.73784189758429,3.246183811463174,1.0
362,XK_code_potential_somatic,ENSG00000163497,362,1.0,1.4506158008930932,-0.22806799057821933,6.737093029244654e-08,-5.47306537305865,1.7414899230942247,1.0
959,XK_code_potential_somatic,ENSG00000101412,959,1.0,1.4612145299190287,0.7769628587535349,8.154332160431679e-112,4.201826682925559,1.4762108861106895,0.3333333333333333
2184,XK_code_potential_somatic,ENSG00000136997,2184,-1.0,3.710776860524411,-0.4230942076969414,3.2928364365180616e-25,6.756556776583106,2.491512633292184,1.0
1445,XK_code_potential_somatic,ENSG00000007372,1445,1.0,2.639591563261737,-0.11901628989756842,0.005276349731374687,-5.0816283661091095,4.857466475284063,1.0
1178,XK_code_potential_somatic,ENSG00000198911,1178,-1.0,1.4714537006945414,0.34028485244501594,2.538462751185916e-16,-3.5734190018632948,1.3665039036662479,1.0
3526,XK_code_potential_somatic,ENSG00000153234,3526,-1.0,2.3566857563435746,0.28253318163253655,1.6218199881278203e-11,-10.570099273701514,6.128499503687794,1.0
1535,XK_code_potential_somatic,ENSG00000113916,1535,-1.0,1.5522310349779516,0.35653041522952333,7.197473117795702e-18,-7.439409694678341,2.197763134981091,1.0
1523,XK_code_potential_somatic,ENSG00000113916,1523,-1.0,1.5522310349779516,0.323287421310316,8.491104504296732e-15,-11.349111708435851,14.826541248306949,1.0
1536,XK_code_potential_somatic,ENSG00000113916,1536,-1.0,1.5522310349779516,0.25605175269328345,1.1868465497559524e-09,-6.311968436075343,4.171375655424807,1.0
1532,XK_code_potential_somatic,ENSG00000113916,1532,-1.0,1.5522310349779516,0.2540152693954289,1.6196192939160244e-09,-5.50035640669282,1.7227955195619653,1.0
1774,XK_code_potential_somatic,ENSG00000197063,1774,-1.0,1.5020621625709134,0.25890966911740315,7.637136288942053e-10,-8.093171856286256,3.3357708565746917,1.0
1773,XK_code_potential_somatic,ENSG00000197063,1773,-1.0,1.5020621625709134,0.2156251383183277,3.465423941294582e-07,-4.494920726452878,1.5764179130316671,1.0
3405,XK_code_potential_somatic,ENSG00000170345,3405,-1.0,3.342979499572469,0.3205029343720507,1.4781030440049208e-14,-4.048256738089678,1.3223385891217805,1.0
2678,XK_code_potential_somatic,ENSG00000102034,2678,-1.0,2.1307287131577164,0.51862214999752,4.6843379447009314e-39,-7.836998445247726,2.9384946834937082,1.0
2579,XK_code_potential_somatic,ENSG00000196767,2579,1.0,2.715250898332489,-0.2676199957750701,1.927417416791905e-10,-6.29936114348468,2.6440109760515877,1.0
123,XK_code_potential_somatic,ENSG00000196843,123,-1.0,1.3272469947404684,0.2611355961136187,5.397513505186927e-10,-9.012129584454183,4.126293186704419,1.0
116,XK_code_potential_somatic,ENSG00000196843,116,-1.0,1.3272469947404684,0.4645621061414104,1.0941588355156899e-30,-4.928902177261009,1.6379062052426858,1.0
127,XK_code_potential_somatic,ENSG00000196843,127,-1.0,1.3272469947404684,0.43323498740724425,1.76496031445562e-26,-3.259083088922673,1.316704439786277,1.0
122,XK_code_potential_somatic,ENSG00000196843,122,-1.0,1.3272469947404684,0.1970125501710426,3.367395252699869e-06,-10.982199879653493,3.6857902321739853,1.0
2568,XK_code_potential_somatic,ENSG00000175745,2568,1.0,3.4006185625092673,0.41538542422518226,2.8522150457957134e-24,5.207399776861678,1.8542261732415302,1.0
