,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3709,ZCWPW1_code_potential_somatic,ENSG00000077150,3709,-1.0,1.9241349398615553,0.2757325320404494,5.1086633499228984e-11,-5.867271725117031,2.3828288805741353,1.0
3675,ZCWPW1_code_potential_somatic,ENSG00000170370,3675,1.0,1.336991632566977,0.27726361338551714,3.9565054352759463e-11,3.287587256519248,1.9239695156747363,1.0
289,ZCWPW1_code_potential_somatic,ENSG00000072310,289,1.0,2.976422473967332,0.17706306411546235,3.0666995784152585e-05,4.419566403161635,1.9534455047880703,1.0
287,ZCWPW1_code_potential_somatic,ENSG00000072310,287,1.0,2.976422473967332,0.31372933774843614,5.558708972596834e-14,3.551985245199384,1.8799892324068068,1.0
2289,ZCWPW1_code_potential_somatic,ENSG00000118689,2289,1.0,1.5711715011098684,0.6409212826432166,1.0255208479425349e-64,7.346125272080429,11.519110909321048,0.6666666666666666
2302,ZCWPW1_code_potential_somatic,ENSG00000118689,2302,1.0,1.5711715011098684,0.2807067781248968,2.2139789008930563e-11,8.104404930352024,3.4998167012388253,0.6666666666666666
2098,ZCWPW1_code_potential_somatic,ENSG00000105856,2098,1.0,1.3697993367757968,0.38110100039835687,2.1943428122448814e-20,3.957432477865402,1.8283660915066149,1.0
867,ZCWPW1_code_potential_somatic,ENSG00000244405,867,1.0,1.86455929319042,0.35117596920540917,2.3832019713847523e-17,3.388011765165279,1.5496080447234708,1.0
2707,ZCWPW1_code_potential_somatic,ENSG00000065970,2707,1.0,1.58796183604753,0.44523141116523407,4.86247367878927e-28,5.115635106671236,1.6725389471924912,0.8
2701,ZCWPW1_code_potential_somatic,ENSG00000065970,2701,1.0,1.58796183604753,0.5840723497005251,1.9751353610850433e-51,3.4143980920283763,1.3861760256095748,0.8
2708,ZCWPW1_code_potential_somatic,ENSG00000065970,2708,1.0,1.58796183604753,0.347420346326123,5.4449755314832486e-17,3.8476576849977118,1.3833931643407273,0.8
2695,ZCWPW1_code_potential_somatic,ENSG00000065970,2695,1.0,1.58796183604753,0.36522900191973995,9.798047410200425e-19,3.132673849484536,1.3358073096565042,0.8
2967,ZCWPW1_code_potential_somatic,ENSG00000143799,2967,1.0,1.7163559193628417,0.09611854071183726,0.024439329276340804,5.651304345859493,1.6758480952775006,1.0
2962,ZCWPW1_code_potential_somatic,ENSG00000143799,2962,1.0,1.7163559193628417,0.1909627480624132,6.744158772555546e-06,3.3078857895137332,1.5116666748697314,1.0
3548,ZCWPW1_code_potential_somatic,ENSG00000167157,3548,-1.0,1.4137335369419717,-0.238510005518698,1.58220595482719e-08,4.640828295512239,1.4589138281584049,1.0
3549,ZCWPW1_code_potential_somatic,ENSG00000167157,3549,-1.0,1.4137335369419717,-0.34601186181597215,7.401690541142171e-17,3.9691508423507553,1.4106035957122993,1.0
3553,ZCWPW1_code_potential_somatic,ENSG00000167157,3553,-1.0,1.4137335369419717,-0.3781314885066346,4.538711291597494e-20,3.1634885014125604,1.304369465545201,1.0
880,ZCWPW1_code_potential_somatic,ENSG00000132005,880,-1.0,1.9852491167318895,-0.2214427661638388,1.6306452528965613e-07,6.398747909256973,3.194914085475939,1.0
875,ZCWPW1_code_potential_somatic,ENSG00000132005,875,-1.0,1.9852491167318895,-0.34280398695128145,1.480802640841583e-16,3.7986334392639263,1.4235486778917457,1.0
1257,ZCWPW1_code_potential_somatic,ENSG00000073282,1257,-1.0,2.423990214310212,0.2989050092053926,8.986478446110168e-13,-3.7108477809378755,1.7214826238174186,1.0
2219,ZCWPW1_code_potential_somatic,ENSG00000187140,2219,-1.0,1.9852491167318895,-0.2906428790864573,3.960698973542819e-12,8.098241891296965,2.6312346374845417,1.0
2224,ZCWPW1_code_potential_somatic,ENSG00000187140,2224,-1.0,1.9852491167318895,-0.3469097566741586,6.087081421668402e-17,7.621999776508701,3.4045942685181565,1.0
2208,ZCWPW1_code_potential_somatic,ENSG00000187140,2208,-1.0,1.9852491167318895,-0.38940352372950876,2.7637120623036622e-21,6.048374341716764,4.971304893598565,1.0
2231,ZCWPW1_code_potential_somatic,ENSG00000187140,2231,-1.0,1.9852491167318895,-0.29864174271478744,9.428389385064682e-13,5.727232752234471,2.54811091674664,1.0
1060,ZCWPW1_code_potential_somatic,ENSG00000005889,1060,1.0,1.6926176533044535,0.25253581473952186,2.0265861201331502e-09,3.309076132734526,1.3287478315749512,1.0
1059,ZCWPW1_code_potential_somatic,ENSG00000005889,1059,1.0,1.6926176533044535,0.22726097736176973,7.513915354602884e-08,2.7298850258018112,1.6068332842031747,1.0
1052,ZCWPW1_code_potential_somatic,ENSG00000005889,1052,1.0,1.6926176533044535,0.4739671326121202,4.879648859264645e-32,9.36988102174843,10.287971595310479,1.0
