,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3752,ZIC4_code_potential_somatic,ENSG00000163666,3752,-1.0,4.892179845724547,0.1961916274781449,3.7048899709859986e-06,-3.5909825160083306,1.583352141963899,1.0
2614,ZIC4_code_potential_somatic,ENSG00000196482,2614,-1.0,1.6577623790702902,0.028833287139113584,0.5005855220951068,-9.434400218424996,2.736127921228058,0.5
2606,ZIC4_code_potential_somatic,ENSG00000196482,2606,-1.0,1.6577623790702902,0.20315196979517844,1.6275974563501287e-06,-4.143783019969178,1.4162219882802378,0.5
2091,ZIC4_code_potential_somatic,ENSG00000030419,2091,1.0,1.4708223109382235,0.3559231453604123,8.253762843512768e-18,3.9620820304398014,1.5959680188380803,0.3333333333333333
1773,ZIC4_code_potential_somatic,ENSG00000197063,1773,-1.0,1.7023368416606663,0.2156251383183277,3.465423941294582e-07,-5.353998673624061,1.9747543100143645,0.3333333333333333
1720,ZIC4_code_potential_somatic,ENSG00000170365,1720,1.0,1.3205378914419894,-0.214570145466947,3.964274428907616e-07,-4.288904445112192,3.9189750430242665,1.0
1707,ZIC4_code_potential_somatic,ENSG00000170365,1707,1.0,1.3205378914419894,0.38321594459668734,1.3017449986137167e-20,4.509570163186193,1.465817752263585,1.0
1710,ZIC4_code_potential_somatic,ENSG00000170365,1710,1.0,1.3205378914419894,0.5793861338734011,1.88865570112978e-50,3.997915525735702,1.6164570275522367,1.0
1717,ZIC4_code_potential_somatic,ENSG00000170365,1717,1.0,1.3205378914419894,0.3671760135401931,6.217776415547688e-19,3.4673520971155427,1.3069897563352613,1.0
1097,ZIC4_code_potential_somatic,ENSG00000176887,1097,-1.0,1.7911675590581964,-0.24564299546509125,5.652251202870115e-09,9.13925767802441,4.394577618358664,1.0
3264,ZIC4_code_potential_somatic,ENSG00000184481,3264,-1.0,1.4772799129042868,0.25129859717597636,2.44176272655712e-09,-4.420669615321738,1.4212979028156436,1.0
3259,ZIC4_code_potential_somatic,ENSG00000184481,3259,-1.0,1.4772799129042868,-0.22017601638403608,1.9249384956311133e-07,6.081129741440967,1.8537443492008077,1.0
3266,ZIC4_code_potential_somatic,ENSG00000184481,3266,-1.0,1.4772799129042868,0.4451406269448879,4.99915639417556e-28,-2.9461569583598823,1.7911539222948762,1.0
3261,ZIC4_code_potential_somatic,ENSG00000184481,3261,-1.0,1.4772799129042868,-0.216595909664086,3.0602078586550607e-07,6.595225312524322,3.387418788374376,1.0
3258,ZIC4_code_potential_somatic,ENSG00000184481,3258,-1.0,1.4772799129042868,0.3408873825757153,2.2324339101400756e-16,-6.395987697125482,6.4024189221195025,1.0
3265,ZIC4_code_potential_somatic,ENSG00000184481,3265,-1.0,1.4772799129042868,0.3577604138068726,5.449156345779989e-18,-5.532965978769551,4.020950339016222,1.0
955,ZIC4_code_potential_somatic,ENSG00000001167,955,-1.0,1.7040509249970177,0.4370086212924946,5.790887624293305e-27,-4.381371335910205,1.6795775372225599,1.0
195,ZIC4_code_potential_somatic,ENSG00000125820,195,-1.0,1.671821327630771,0.38131078851236166,2.0839315407084115e-20,-8.292296932586503,5.671001088699333,1.0
196,ZIC4_code_potential_somatic,ENSG00000125820,196,-1.0,1.671821327630771,0.6110351173052444,2.1427077529094173e-57,-3.477790274734433,1.3817297642499298,1.0
238,ZIC4_code_potential_somatic,ENSG00000177606,238,1.0,2.610176845967273,0.5242632678221274,5.105164133303365e-40,4.8941930643282445,1.6816917591034006,1.0
