,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2608,ZNF676_code_potential_somatic,ENSG00000196482,2608,1.0,4.734616383750701,0.25842884088530443,8.22821973489768e-10,5.6617684971310345,1.6979264574267825,1.0
2333,ZNF676_code_potential_somatic,ENSG00000198914,2333,1.0,1.6068560216352825,-0.30023005231869104,7.052392160175819e-13,-5.710938392946608,4.799810297044302,1.0
3068,ZNF676_code_potential_somatic,ENSG00000111206,3068,1.0,1.6719104214195846,-0.28459015518413994,1.1391442020903926e-11,-5.056150862340948,1.6659114982782133,1.0
1715,ZNF676_code_potential_somatic,ENSG00000170365,1715,1.0,2.661543442534128,0.44415665725062947,6.747683774922753e-28,8.240708728765817,3.293968569650769,1.0
1721,ZNF676_code_potential_somatic,ENSG00000170365,1721,1.0,2.661543442534128,0.6151385640648931,2.3564134104976995e-58,7.171877196861745,1.871749474157985,1.0
3302,ZNF676_code_potential_somatic,ENSG00000006704,3302,1.0,2.111354006033602,0.560984427625908,9.491054619532947e-47,5.064269536643901,1.5374522402773034,1.0
3106,ZNF676_code_potential_somatic,ENSG00000184486,3106,1.0,2.2487714234176086,0.2625784454051773,4.302577963020011e-10,3.439619365752513,1.5406407500378319,0.6666666666666666
3101,ZNF676_code_potential_somatic,ENSG00000184486,3101,1.0,2.2487714234176086,-0.39465227711252515,7.232332742464199e-22,-6.56492973021436,9.02810181807967,0.6666666666666666
2578,ZNF676_code_potential_somatic,ENSG00000196767,2578,1.0,1.7418365464883863,0.2508750833191324,2.602019968725048e-09,11.717280943415116,6.500890343493122,1.0
3027,ZNF676_code_potential_somatic,ENSG00000166949,3027,1.0,1.7340775447085244,0.1667823527434372,8.750090192125411e-05,3.837660394275026,1.6857695702907578,1.0
425,ZNF676_code_potential_somatic,ENSG00000109320,425,1.0,1.364911393762814,0.4431143523143815,9.261303338674418e-28,6.147208422831008,1.863761231473939,1.0
411,ZNF676_code_potential_somatic,ENSG00000109320,411,1.0,1.364911393762814,0.7727425956718023,7.149457807593363e-110,7.975991120078398,2.9344756970808015,1.0
418,ZNF676_code_potential_somatic,ENSG00000109320,418,1.0,1.364911393762814,0.6785677123040037,3.5024457586996866e-75,4.332084179253141,1.4445478393218534,1.0
