DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,,Male,DSMZ,,,,,,CVCL_2050,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,,central_nervous_system,glioma,glioblastoma,
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-3.536064024,not found,not found,82.2,CVCL_4773,central_nervous_system,,Brain Cancer,Glioblastoma,64,,,,central_nervous_system,glioma,glioblastoma,
ACH-000098,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,,906868,Female,DSMZ,2,-5.026314849,Adherent,DMEM + 10% FBS + 2mM Glutamax,91.1,CVCL_1226,central_nervous_system,Primary,Brain Cancer,Glioblastoma,42,SIDM01055,1174,,central_nervous_system,glioma,glioblastoma,
ACH-000102,GMS10,GMS10_CENTRAL_NERVOUS_SYSTEM,,906873,Male,DSMZ,,,,,,CVCL_1233,central_nervous_system,Primary,Brain Cancer,Glioblastoma,49,SIDM01074,294,,central_nervous_system,glioma,glioblastoma,
ACH-000152,M059K,M059K_CENTRAL_NERVOUS_SYSTEM,,,Male,ATCC,2,-4.578673145,Adherent,DMEM:F12 (1:1) + 10% FBS,74.5,CVCL_0401,central_nervous_system,Primary,Brain Cancer,Glioblastoma,33,SIDM00639,,,central_nervous_system,glioma,glioblastoma,
ACH-000200,NMCG1,NMCG1_CENTRAL_NERVOUS_SYSTEM,,908449,Female,HSRRB,2,-2.107387201,Adherent,DMEM + 10% FBS,68.6,CVCL_1608,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00575,650,,central_nervous_system,glioma,glioblastoma,
ACH-000208,U178,U178_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,0,-1.760951575,not found,not found,48.3,CVCL_A758,central_nervous_system,,Brain Cancer,Glioblastoma,56,,,,central_nervous_system,glioma,glioblastoma,
ACH-000215,LN382,LN382_CENTRAL_NERVOUS_SYSTEM,LN-382,,Male,Academic lab,2,-5.640310853,not found,not found,,CVCL_3956,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000231,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,,907271,Female,HSRRB,2,-5.5726274,,RPMI + 5% FBS,92.8,CVCL_1323,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00613,1936,,central_nervous_system,glioma,glioblastoma,
ACH-000244,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,,906839,Female,DSMZ,2,-2.132928732,Adherent,RPMI + 10% FBS + 2mM Glutamine,50.4,CVCL_1173,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67,SIDM00947,1386,,central_nervous_system,glioma,glioblastoma,
ACH-000269,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,,910933,Male,HSRRB,,,,,,CVCL_1070,central_nervous_system,Primary,Brain Cancer,Glioblastoma,36,SIDM00492,776,,central_nervous_system,glioma,glioblastoma,
ACH-000283,A1207,A1207_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,,,,,,CVCL_8481,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000289,SNU466,SNU466_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,,,,,,CVCL_5064,central_nervous_system,,Brain Cancer,Glioblastoma,61,,,,central_nervous_system,glioma,glioblastoma,
ACH-000328,LN215,LN215_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,,,,,,CVCL_3954,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000368,SNU1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,2,-3.560200492,,RPMI + 10% FBS,72.6,CVCL_5010,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,,,,central_nervous_system,glioma,glioblastoma,
ACH-000370,SNU626,SNU626_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,1,-1.603534385,,RPMI + 10% FBS,54.4,CVCL_5080,central_nervous_system,,Brain Cancer,Glioblastoma,65,,,,central_nervous_system,glioma,glioblastoma,
ACH-000376,SF295,SF295_CENTRAL_NERVOUS_SYSTEM,,905985,Female,NCI/DCTD,2,-5.90409283,Adherent,RPMI + 10% FBS,79.1,CVCL_1690,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67,SIDM00084,1164,,central_nervous_system,glioma,glioblastoma,
ACH-000445,KNS60,KNS60_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,1,-3.724518151,,DMEM + 5% FBS,71.2,CVCL_2798,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,,central_nervous_system,glioma,glioblastoma,
ACH-000455,LN428,LN428_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,2,-5.897927941,not found,not found,86.4,CVCL_3959,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000464,CAS1,CAS1_CENTRAL_NERVOUS_SYSTEM,,910943,Male,ICLC,2,-3.512392527,Adherent,DMEM + 10% FBS,57.1,CVCL_1117,central_nervous_system,Primary,Brain Cancer,Glioblastoma,63,SIDM00212,604,,central_nervous_system,glioma,glioblastoma,
