Drug,SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,Drug_rank,SN505_rank,SN508_rank,SN515_rank,SN517_rank,SN521_rank,SN528_rank,SN529_rank,SN531_rank,SN534_rank,SN553_rank,SN575_rank,SN598_rank,SN579_rank,SN601_rank,SN655_rank,SN667_rank,SN674_rank,SN677_rank,SN683_rank,SN735_rank,SN747_rank,SN753_rank,SN756_rank,SN758_rank,SN767_rank,SN787_rank,SN788_rank,SN799_rank,SN804_rank,SN810_rank,SN812_rank,SN820_rank
BORTEZOMIB,-0.167625469,0,0,0,0,0,0.036327074,0,0,0.171695848,0,-0.180533703,0,0,0.333072965,-0.041666676,0,0.051623425,0,0.103893587,0.139915166,0,0,5.108879094,0,0,0,0,0,0,0,0,1,8,10.5,10.5,10,8,9,8,7.5,5,32,12.5,10,11,9,20,5,12.5,19,15.5,18,27,10,9,34,12.5,8.5,8.5,8.5,4.5,10.5,14.5,13
CELECOXIB,0,0.727989841,0.147155412,0.259669885,0,0.306805205,-0.677783645,0.016226927,0.317249478,0.590496751,0.11522652,-0.451855763,-0.454465671,1.165433283,0.656497332,0,-0.795456387,0,0.084038137,0.592296387,-0.016872012,1.825374699,0.607444786,-0.552268155,-0.672642434,0.019322622,-0.041806876,0.310564591,2.141368147,-0.181475596,0.564046553,-0.09118613,2,20,25,26,34,8,27,1,13,26,34,28,3,2,34,34,9,1,15.5,29,32,8,34,30,6,1,16,2,31,34,1,34,3
CLOFARABINE,-0.307337458,0.202497772,0.022886981,0.083474892,0.013282914,0.237629259,0.775101863,0.403787198,0.16326521,0.022492026,0.015268399,0.125799926,0.02181072,0.126956124,0.452962509,0.006690525,0.002845344,-0.081906445,0.026382725,0.414538939,0.127786215,0.140574243,0.260623872,2.361702704,0.222581943,0.027804366,0.206522178,0.074871056,0.374714021,0.082164709,0.037109284,0,3,5,21,21,27,15,22,22,26,17,23,24,31,21,23,24,15,23,12,24,26,25,23,24,25,26,18,25,16,20,19,24,13
COLCHICINE,-0.043727413,-0.098856411,0.255816735,0.044967421,0.092231535,0,0.058479505,0.267550206,0.197712821,0.170932082,0.470987673,-0.025293012,0.448356446,0.017262378,-0.025699285,0.084142269,0.176984306,0.144477958,-0.005965227,-0.059832073,-0.117242911,0.157552481,0.018901134,1.285673475,0.611106588,0.080977873,0.203077377,0.197712821,0.266694606,0.17872488,-0.190543459,0.036945851,4,14.5,3.5,30.5,22.5,22.5,9,10.5,19.5,22.5,29.5,32.5,15.5,31.5,16.5,3.5,21.5,30.5,27.5,9.5,4.5,3.5,28.5,16.5,19.5,31.5,24.5,21.5,23.5,12.5,26.5,3.5,25.5
CYTARABINE,-0.449834925,0.224997525,0.025429978,0.092749879,0.014758793,0.236327437,0.743711453,0.382839151,0.181405789,0.014422405,0.013165516,0.093586205,0.023287875,0.14106236,0.503291677,0.008997261,0.003161493,-0.173906771,0.029314139,0.452921209,0.141984683,0.156193604,0.249710387,2.232404654,0.24731327,0.03089374,0.224126443,0.083190062,0.412026882,0.091294121,0.041232538,0,5,2,23,23,29,17,20,20,24,20,21,22,29,23,26,29,17,25,8,26,31,28,26,22,23,28,20,27,18,23,21,26,13
DAUNORUBICIN,0.661010607,3.656108668,0,0,0.726463494,0.485629137,2.126753759,0.718168532,1.413613267,0,0,-0.337693819,0.336254402,0.251977909,0.457142102,0.254406276,0,-0.392514128,-0.12582218,0.446269986,0.331554673,0,1.058854876,-1.276855769,0,0.377680301,1.087934693,0.442373446,1.851880309,0.19807486,0.380044127,0,6,32,33,10.5,10,33,31,26,33,32,13,12.5,6,25,29,27,26,12.5,4,5,29,32,10,33,2,12.5,32,33,33,32,30,32,13
DIGOXIN,0.46697063,0.758050387,0.061121114,0.056776534,0.403563546,0.255356296,0.034597354,0.093412153,0.00567771,0.385524028,0.059349755,-0.061787278,0.347019978,-0.159140774,0.511485225,0,0.271875356,0.108690269,-0.007813459,0.077885483,0,0.155713665,0.475986141,0.543418698,-0.436160181,-0.020240984,0.005470555,0.285378331,0.494280675,0.32575643,0.183212003,0.862651647,7,30,26,25,25,31,26,7,14,10,33,26,13,27,2,31,9,34,24,7,17,14.5,25,28,15,2,1,15,30,24,32,28,34
DISULFIRAM,0.053040006,0,0,0,0,0,0.701839215,0,0,-0.374087559,-0.359383628,-1.566291789,0,-0.309298724,0.427678463,0,0.152767672,0.258238919,-0.262254449,0,0,0,0,0,0,0,0,0.227750899,0,0.428452148,0,0,8,25,10.5,10.5,10,8,9,19,7.5,5,1,1,1,11,1,22,9,28,30,1,10.5,14.5,10,9,11,12.5,8.5,8.5,29,4.5,33,14.5,13
DOCETAXEL,-0.043727413,-0.098856411,0.255816735,0.044967421,0.092231535,0,0.058479505,0.267550206,0.197712821,0.170932082,0.470987673,-0.025293012,0.448356446,0.017262378,-0.025699285,0.084142269,0.176984306,0.144477958,-0.005965227,-0.059832073,-0.117242911,0.157552481,0.018901134,1.285673475,0.611106588,0.080977873,0.203077377,0.197712821,0.266694606,0.17872488,-0.190543459,0.036945851,9,14.5,3.5,30.5,22.5,22.5,9,10.5,19.5,22.5,29.5,32.5,15.5,31.5,16.5,3.5,21.5,30.5,27.5,9.5,4.5,3.5,28.5,16.5,19.5,31.5,24.5,21.5,23.5,12.5,26.5,3.5,25.5
DOXORUBICIN,0.661010607,3.656108668,0,0,0.726463494,0.485629137,2.126753759,0.718168532,1.413613267,0,0,-0.337693819,0.336254402,0.251977909,0.457142102,0.254406276,0,-0.392514128,-0.12582218,0.446269986,0.331554673,0,1.058854876,-1.276855769,0,0.377680301,1.087934693,0.442373446,1.851880309,0.19807486,0.380044127,0,10,32,33,10.5,10,33,31,26,33,32,13,12.5,6,25,29,27,26,12.5,4,5,29,32,10,33,2,12.5,32,33,33,32,30,32,13
