SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,GeneID,Drug
-0.129048703,0,0,0,0,0,3.228623665,0,0,0,0,0,0,0,0,0.866284395,0,0.088116605,0,0,0,0,0,3.228623665,0,0,0,0,0.361268632,0,0,0,ENSG00000113161,LOVASTATIN
0.534174348,0.037468517,0.210785633,0.02248298,-0.022037086,-0.094182086,3.433447818,0.51202535,0.235448022,0.066824631,0,-0.096869254,-0.019915598,0.144577224,0.201734416,-0.451274757,0,-0.324080117,0.096319984,0.177629453,0.15999193,-0.01593914,0.380120898,3.433447818,0,-0.010331585,0.179574726,0.167609597,0.131395002,-0.084640943,0.062981777,0,ENSG00000253729,CC-115
-0.031232256,0.43020561,-0.129841255,0,0,0.010670321,0.146500343,-0.192066733,0,0,0,0.097036547,0,0.181681142,0.011469862,0,0.02843325,-0.451582965,-0.003289053,0.341187872,0,1.683981002,0,0.155679757,0.011482797,0.26835971,0.14955061,-0.021150942,0,0,0,0,ENSG00000142192,PONEZUMAB
-0.0170981,0.413780287,0.034408405,0.112457986,-0.023009963,0,-0.393256308,0.417633505,0.27249263,0.487367977,0.056484422,-0.290667706,0.031036988,1.561023169,0.564237312,0.072623585,0.027002362,-0.0170981,0.340709007,0.346993319,-0.004976684,0.884439804,0.014709714,-0.324863907,0.564237312,0.109445837,-1.571403831,-0.384659129,2.398659389,0.259253377,0.420244743,-0.003089298,ENSG00000111424,PARICALCITOL
0.389493771,0.292967978,0.09433357,0,0,0,0,0,0.123792374,0,0,0.301095543,0.131153679,0.274180087,0,-0.150547772,0,0.334222003,0,-0.132464824,0,0.041739208,0,0.602191087,0,0,0,0,0.032918859,-0.026174189,0,0.749396559,ENSG00000095303,APAZONE
0,0.727989841,0.147155412,0.259669885,0,0.306805205,-0.677783645,0.016226927,0.317249478,0.590496751,0.11522652,-0.451855763,-0.454465671,1.165433283,0.656497332,0,-0.795456387,0,0.084038137,0.592296387,-0.016872012,1.825374699,0.607444786,-0.552268155,-0.672642434,0.019322622,-0.041806876,0.310564591,2.141368147,-0.181475596,0.564046553,-0.09118613,ENSG00000073756,APAZONE
0,3.342800723,0,0,0,0,0,0,0,0,0,0,0,0,-0.036194278,0,0,0,0,0,0,0.148159681,0,0,0,0,0,0,0,0,0,0,ENSG00000135446,MILCICLIB
0.637409171,0,0,0,0,0,3.368611364,0.085591742,0,0.101742702,0,0,0,0,0,0,0,0.768538485,0,0,0,0,0.478028126,3.368611364,0,0,0,0,0.061298684,0,0,0,ENSG00000123374,MILCICLIB
-0.634873719,0.310674753,0.285769509,0,0,-0.304676583,-0.173147378,0,-0.069352298,-0.148755199,0,-0.115431585,0.066669763,0,0,-0.288578963,0.007150983,0,-0.017392051,0.115431585,0,2.187211081,0.564438967,0.288578963,-0.044573205,0,0.08874083,0,1.308060787,0,0,1.059014824,ENSG00000140009,BAZEDOXIFENE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034260658,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000172572,INAMRINONE
0.389493771,0.292967978,0.09433357,0,0,0,0,0,0.123792374,0,0,0.301095543,0.131153679,0.274180087,0,-0.150547772,0,0.334222003,0,-0.132464824,0,0.041739208,0,0.602191087,0,0,0,0,0.032918859,-0.026174189,0,0.749396559,ENSG00000095303,NEPAFENAC
0,0.727989841,0.147155412,0.259669885,0,0.306805205,-0.677783645,0.016226927,0.317249478,0.590496751,0.11522652,-0.451855763,-0.454465671,1.165433283,0.656497332,0,-0.795456387,0,0.084038137,0.592296387,-0.016872012,1.825374699,0.607444786,-0.552268155,-0.672642434,0.019322622,-0.041806876,0.310564591,2.141368147,-0.181475596,0.564046553,-0.09118613,ENSG00000073756,NEPAFENAC
