,32_SN767-Neurosphere-P5_zscore
0,0.0
4,0.0
6,0.0
14,1.0
23,0.0
24,0.0
26,0.0
27,0.0
28,0.0
32,1.0
34,-1.0
35,-1.0
37,0.0
38,1.0
39,1.0
40,0.0
42,1.0
43,0.0
46,0.0
47,1.0
49,0.0
53,0.0
56,1.0
57,0.0
59,0.0
64,0.0
65,0.0
66,0.0
72,0.0
75,0.0
79,0.0
81,0.0
84,0.0
90,0.0
98,0.0
99,1.0
100,1.0
101,0.0
102,0.0
104,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,1.0
113,0.0
114,0.0
115,-1.0
116,0.0
117,0.0
118,1.0
119,0.0
121,0.0
127,1.0
128,0.0
154,-1.0
155,1.0
157,1.0
163,1.0
165,0.0
166,0.0
171,0.0
192,0.0
193,0.0
195,0.0
209,0.0
212,0.0
213,1.0
220,0.0
231,0.0
236,1.0
238,1.0
239,1.0
241,0.0
242,0.0
243,1.0
244,0.0
245,0.0
247,1.0
250,0.0
252,0.0
255,1.0
257,1.0
281,0.0
283,1.0
288,0.0
290,-1.0
292,1.0
293,0.0
295,1.0
302,0.0
304,0.0
305,0.0
317,0.0
319,1.0
320,0.0
321,0.0
327,0.0
329,1.0
333,1.0
337,1.0
343,0.0
360,1.0
378,0.0
380,1.0
381,1.0
384,0.0
390,1.0
391,0.0
393,0.0
394,0.0
396,0.0
398,0.0
401,0.0
402,0.0
405,1.0
406,1.0
408,0.0
409,1.0
410,1.0
411,0.0
413,1.0
416,0.0
421,0.0
422,0.0
423,1.0
424,1.0
432,0.0
434,1.0
436,-1.0
438,0.0
439,1.0
440,-1.0
441,1.0
442,1.0
443,0.0
444,0.0
445,0.0
446,0.0
447,-1.0
448,1.0
449,1.0
450,0.0
454,0.0
457,-1.0
460,1.0
462,1.0
465,1.0
466,0.0
467,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
478,0.0
479,1.0
480,-1.0
481,0.0
482,1.0
483,1.0
489,0.0
493,0.0
494,1.0
505,-1.0
513,1.0
515,0.0
519,1.0
528,0.0
536,0.0
537,1.0
538,0.0
541,0.0
542,0.0
544,0.0
548,0.0
549,-1.0
553,1.0
555,0.0
557,0.0
560,1.0
623,-1.0
624,-1.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
635,0.0
642,1.0
646,1.0
652,0.0
653,1.0
654,0.0
655,0.0
661,0.0
662,0.0
663,0.0
677,0.0
678,1.0
680,1.0
691,1.0
694,0.0
696,1.0
698,0.0
700,-1.0
703,0.0
704,1.0
705,1.0
706,1.0
710,1.0
712,0.0
714,1.0
716,0.0
719,0.0
723,1.0
734,0.0
737,1.0
743,1.0
773,1.0
779,0.0
787,-1.0
789,0.0
790,1.0
792,0.0
794,0.0
795,0.0
796,0.0
799,1.0
800,0.0
801,0.0
803,0.0
804,0.0
810,0.0
811,0.0
828,1.0
831,0.0
835,0.0
837,1.0
838,1.0
885,1.0
888,1.0
889,0.0
892,0.0
897,0.0
943,0.0
965,0.0
1054,0.0
1067,0.0
1079,0.0
1094,1.0
1095,0.0
1096,0.0
1100,0.0
1103,1.0
1119,1.0
1124,0.0
1153,0.0
1161,0.0
1163,0.0
1170,1.0
1173,0.0
1178,0.0
1199,1.0
1204,1.0
1224,1.0
1239,0.0
1302,0.0
1304,0.0
1307,0.0
1313,0.0
1326,0.0
1332,1.0
1372,0.0
1396,1.0
1398,0.0
1399,1.0
1404,1.0
1427,0.0
