Drug,DrugMechOfAction,DrugTargetAll,Cancer_PhaseIV,DrugRegulonAll,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive,DrugConstrainedProgramActivity,DrugRegulonOverActive,DrugRegulonUnderActive,DrugConstrainedRegulonActivity,IC50,AUCmin-max,sample
SORAFENIB,Serine/threonine-protein kinase B-raf inhibitor:Platelet-derived growth factor receptor beta inhibitor:Stem cell growth factor receptor inhibitor:Tyrosine-protein kinase receptor RET inhibitor:Vascular endothelial growth factor receptor inhibitor:Tyrosine-protein kinase receptor FLT3 inhibitor:Serine/threonine-protein kinase RAF inhibitor,"BRAF,FLT3,KDR,KIT,PDGFRB,RAF1",4,"149,156,176,600,610,679,709,848,868,891,904,1017,1047,1052,1136,1171,1182,1213,1238,1245,1295,1322,1358,1402,1601,1602,1731,1748,1782,1874,1889,1896,2013,2121,2143,2405,2406,2609,2735,2826,2884,2887,2892,2922,3269,3357,3441,3478,3479,3481,3483,3584","64,92,126,131,150,160,161,173","64,160",NA,0.7741935483870968,1889,NA,1,4.4e-6,6.16977e-4,SN655
BROMPHENIRAMINE MALEATE,Histamine H1 receptor antagonist,HRH1,4,"134,284,462,482,551,642,678,771,837,838,1014,1069,1268,1359,1377,1623,1729,1939,1940,1959,1983,1984,2007,2031,2033,2076,2077,2084,2085,2093,2104,2105,2106,2108,2129,2142,2146,2147,2454,2519,2531,2560,2950,2970,2993,3115,3151,3153","42,48,91","42,48,91",NA,1,"462,482,642,678,837,838,1729,1939,1940,2031,2033,2085,2106,2519,3115,3153",NA,1,1.4,9.99993e-4,SN655
METFORMIN,Mitochondrial complex I (NADH dehydrogenase) inhibitor:Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,"GPD2,NDUFA13",4,"95,685,865,881,890,902,907,1558,1807,2409,2588,2695,3206,3276,3484","78,81,152","78,81,152",NA,1,"1558,2695",NA,0.5,9100,0.001164098,SN655
DIGOXIN,Sodium/potassium-transporting ATPase inhibitor,ATP1A1,4,"11,36,39,45,100,105,157,179,206,223,236,379,381,382,441,465,483,488,539,559,576,599,680,686,704,718,768,815,1015,1050,1093,1137,1159,1218,1418,1420,1526,1557,1641,1732,1755,1759,1829,1847,1898,1987,2040,2210,2213,2282,2285,2327,2334,2407,2617,2630,2680,2684,2700,2730,2759,2768,2821,2871,2903,3021,3070,3128,3161,3199,3253,3272,3460,3467,3677","1,8,11,13,14,17,21",17,NA,0.0196078431372549,"39,100,157,236,381,1526,2821",NA,0.4375,5.54e-8,1.8088e-4,SN655
HOMOHARRINGTONINE,NA,RPL3,NA,"26,195,385,489,717,1145,1199,1528,1604,2041,2769,3668","75,82,152",152,NA,0.09090909090909091,1199,NA,0.2,1.08e-7,4.79e-5,SN655
MINOXIDIL,"Sulfonylurea receptor 2, Kir6.2 opener",ABCC9,4,"62,80,653,1967,2342","12,115",12,NA,1,NA,NA,0,0.0126,0.001021025,SN655
VORINOSTAT,Histone deacetylase 1 inhibitor:Histone deacetylase 3 inhibitor:Histone deacetylase 2 inhibitor:Histone deacetylase 6 inhibitor,HDAC2,4,2158,77,NA,NA,0,NA,NA,0,1.1e-6,3.95202e-4,SN655
MYCOPHENOLATE MOFETIL,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,"IMPDH1,IMPDH2",4,"245,570,1486,1949,3121","16,68,152",152,NA,0.5,NA,NA,0,9.33e-7,1.85946e-4,SN655
SODIUM TETRADECYL SULFATE,NA,PROS1,NA,"133,154,235,369,378,435,480,536,573,598,652,676,767,787",2,NA,2,-1,NA,"154,378,480,652,787",-0.8333333333333334,717e27,8.2e-4,SN655
PINDOLOL,Beta-1 adrenergic receptor partial agonist:Beta-2 adrenergic receptor partial agonist,ADRB2,4,"34,59,98,154,190,221,235,290,325,378,402,427,457,480,536,549,573,598,640,676,700,767,784,787,836",2,NA,2,-1,NA,"34,98,154,290,378,402,457,480,549,700,787",-0.8461538461538461,9.97e-7,2.51662e-4,SN655
HYDROXYCHLOROQUINE,Ferriprotoporphyrin IX inhibitor:Toll-like receptor 7 antagonist:Toll-like receptor 9 antagonist,TLR7,4,"34,73,115,133,202,260,290,325,378,402,436,440,457,480,536,598,640,652,745,784,787",2,NA,2,-1,NA,"34,115,290,378,402,436,440,457,480,652,787",-0.9166666666666666,4.2e-6,4.67871e-4,SN655
CELECOXIB,Cyclooxygenase-2 inhibitor,PTGS2,4,"17,34,73,98,260,290,323,325,378,402,457,480,505,536,549,573,598,623,636,640,652,668,676,700,745,767,787,812,836",2,NA,2,-1,NA,"34,98,290,378,402,457,480,505,549,623,652,700,787",-0.9285714285714286,1.88e-7,4.32135e-4,SN655
CLOFAZIMINE,NA,"KCNA3,PPARG",NA,"17,34,35,73,226,260,261,290,325,436,457,458,480,573,640,652,668,676,745,767,769,812,836,878,1256,1267,1274,1384,1462,1487,2336,2723,3105,3730","2,18,133,136,141,149",NA,"2,18",-0.6774193548387096,NA,"34,35,290,436,457,480,652",-1,0.0056,9.52822e-4,SN655
COLCHICINE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,1.41e-8,1.98459e-4,SN655
SUNITINIB,Tyrosine-protein kinase receptor RET inhibitor:Vascular endothelial growth factor receptor inhibitor:Platelet-derived growth factor receptor inhibitor:Macrophage colony stimulating factor receptor inhibitor:Stem cell growth factor receptor inhibitor:Tyrosine-protein kinase receptor FLT3 inhibitor,"CSF1R,FLT3,KDR,KIT,PDGFRA,PDGFRB",4,"149,156,174,176,235,332,427,558,581,598,600,610,745,848,958,966,996,1035,1071,1162,1171,1192,1210,1213,1238,1245,1295,1322,1343,1358,1402,1748,1782,1801,2121,2609,2724,2940,3054,3073,3269,3481,3485,3561","2,77,126,150,156,160,161",160,2,0.23529411764705882,NA,NA,NA,7.3e-6,8.1554e-4,SN655
TENIPOSIDE,DNA topoisomerase II inhibitor,"TOP2A,TOP2B",4,"946,1113","77,152",152,NA,0.5,NA,NA,NA,2.31e-7,2.50813e-4,SN655
VALPROIC ACID,Succinate semialdehyde dehydrogenase inhibitor,ALDH5A1,4,1021,132,NA,NA,NA,NA,NA,NA,9.1e-6,7.86608e-4,SN655
ETOPOSIDE,DNA topoisomerase II inhibitor,"TOP2A,TOP2B",4,"946,1113","77,152",152,NA,0.5,NA,NA,NA,5.9e-7,4.21811e-4,SN655
FLUVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,3.5e-6,4.06566e-4,SN655
LOVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,6.1e-6,6.46176e-4,SN655
BORTEZOMIB,26S proteosome inhibitor,PSMB5,4,"1184,1191,1923",152,152,NA,1,NA,NA,NA,3.7e-9,1.25e-5,SN655
VINBLASTINE SULFATE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,1.54e-8,2.31628e-4,SN655
VINCRISTINE SULFATE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,3.8e-9,2.05e-5,SN655
PACLITAXEL,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,6.9e-9,1.15395e-4,SN655
MEMANTINE,Glutamate [NMDA] receptor negative allosteric modulator,"GRIN1,GRIN2A",4,"859,860,1499",126,NA,NA,0,NA,NA,NA,0.0011,9.80867e-4,SN655
DOCETAXEL,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,4.4e-9,1.29825e-4,SN655
CLOFARABINE,DNA inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor:Ribonucleoside-diphosphate reductase RR1 inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,1.97e-7,6.65e-5,SN655
VINORELBINE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,6.7e-9,2.1e-5,SN655
DAUNORUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,5.34e-8,2.29e-5,SN655
