Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04118036	Abemaciclib + Pembrolizumab In Glioblastoma		Withdrawn	No Results Available	Glioblastoma	Drug: Pembrolizumab|Drug: Abemaciclib	TIL density in tumor tissue (surgery)|Progression Free Survival 6 months (non surgery)|Radiographic response rate (non surgery)|Median progression free survival|Overall survival|Tumor cell death (Surgery)|tumor cell proliferation (surgery)	Dana-Farber Cancer Institute	All	"18 Months and older   (Child, Adult, Older Adult)"	Phase 2	0	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	19-351	1-Dec-21	1-Dec-23	1-Dec-24	7-Oct-19		14-Dec-21	"Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT04118036
2	NCT04552977	A Trail of Fluzoparil in Combination With Temozolomide in Patients With Recurrent Glioblastoma		Not yet recruiting	No Results Available	Glioblastoma	Drug: fluzoparil|Drug: temozolomide	6-months PFS rate in all participants by RECIST 1.1|ORR in all paients by RECIST Version 1.1|Disease control rate in all patients by RECIST Version 1.1|Overall survival (OS) in all participants|mPFS in all participants|mOS in all participants|Number of participants experiencing an adverse event (AE)|Number of participants experiencing a serious adverse event (SAE)	Shandong Cancer Hospital and Institute	All	"18 Years to 70 Years   (Adult, Older Adult)"	Phase 2	50	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GBM-IIT-SHR3162-TMZ	Sep-20	Aug-21	Aug-22	17-Sep-20		17-Sep-20			https://ClinicalTrials.gov/show/NCT04552977
3	NCT04443010	Safety and Efficacy of L19TNF Plus Temozolomide Chemoradiotherapy in Patients With Newly Diagnosed Glioblastoma	GLIOSUN	Not yet recruiting	No Results Available	Glioblastoma	Drug: Onfekafusp alfa|Drug: Temozolomide	For Phase 1: DLT|For Phase 2: Overall Survival|PFS|ORR in CR|ORR in PR|DCR in CR|DCR in PR|DCR in SD|BORR in CR|BORR in PR|BORR in SD|Safety (AE)|Safety (SAE)|Safety (DILI)	Philogen S.p.A.	All	"18 Years and older   (Adult, Older Adult)"	Phase 1|Phase 2	226	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PH-L19TNFTMZ-01/20	Dec-20	Oct-26	Dec-26	23-Jun-20		8-Dec-20			https://ClinicalTrials.gov/show/NCT04443010
4	NCT03048240	INtraoperative photoDYnamic Therapy of GliOblastoma	INDYGO	"Active, not recruiting"	No Results Available	Glioblastoma	"Device: ""perPDT""|Drug: GLIOLAN"	"Number of Patients having the full ""PerPDT"" treatment with unacceptable and unexpected toxicities (grade ≥ 3) graded According to NCI CTC Version 4.0|Progression Free Survival (PFS)|Overall Survival (OS)|Response to treatment|Incidence of ""per PDT"" treatment-emergent Adverse Events|Quality of Life Questionnaire -C30 ( QLQ-C30)|Quality of Life Questionnaire - Brain Cancer Module (QLQ-BN20)"	"University Hospital, Lille|Institut National de la Santé Et de la Recherche Médicale, France"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2016_06|2016-002706-39	5-May-17	May-21	May-21	9-Feb-17		20-Nov-20	"Hôpital Roger Salengro, CHRU, Lille, France"		https://ClinicalTrials.gov/show/NCT03048240
5	NCT03661723	Pembrolizumab and Reirradiation in Bevacizumab Naïve and Bevacizumab Resistant Recurrent Glioblastoma		"Active, not recruiting"	No Results Available	Glioblastoma	Drug: Pembrolizumab|Drug: Bevacizumab|Radiation: Re-irradiation	Objective response rate|Overall survival rate|Safety & Tolerability: toxicities and grades experienced by participants|Duration of response|Median Progression free survival|6-month Progression free survival|Median Overall Survival	Dana-Farber Cancer Institute|Merck Sharp & Dohme Corp.	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	61	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	18-277|3475-787	28-Sep-18	9-Dec-21	1-Jun-22	7-Sep-18		6-Jul-21	"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Columbia University / Herbert Irving Comprehensive Cancer Center, New York, New York, United States|Hospital of the University of Pennsylvania, Abramson Cancer Center, Philadelphia, Pennsylvania, United States"		https://ClinicalTrials.gov/show/NCT03661723
6	NCT04814329	Glioblastoma Response Prediction to Apatinib		Recruiting	No Results Available	Glioblastoma	Other: genetic characteristic	genetic outcome	Beijing Sanbo Brain Hospital	All	"18 Years to 70 Years   (Adult, Older Adult)"		18	Other	Observational	Observational Model: Case-Control|Time Perspective: Retrospective	2021ZZLX03	22-Apr-21	Sep-22	Dec-22	24-Mar-21		24-Jun-21	"Capital Medical University Sanbo Brain Hospital, Beijing, China"		https://ClinicalTrials.gov/show/NCT04814329
7	NCT02977780	INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT)		"Active, not recruiting"	No Results Available	Glioblastoma	Drug: Temozolomide|Drug: Neratinib	Overall Survival in Experimental Arms Compared with Standard Therapy|Incidence of Treatment-Emergent Adverse Events|Progression Free Survival Among Experimental Arms And Biomarker Groups|Overall Survival Among Experimental Arms And Biomarker Groups|Association Between Progression Free Survival and Overall Survival Effects Of Experimental Agents	"Patrick Y. Wen, MD|Eli Lilly and Company|Celgene|Puma Biotechnology, Inc.|Accelerate Brain Cancer Cure|Dana-Farber Cancer Institute"	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	250	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	16-443	9-Feb-17	Dec-21	Dec-22	30-Nov-16		11-Aug-21	"University of Alabama at Birmingham, Birmingham, Alabama, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Columbia University Medical Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Lifespan / Rhode Island Hospital, Providence, Rhode Island, United States|UT MD Anderson Cancer Center, Houston, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|University of Virginia Health System, Charlottesville, Virginia, United States"		https://ClinicalTrials.gov/show/NCT02977780
8	NCT04417933	Tumor Electric Fields Treatment System for Glioblastoma		Recruiting	No Results Available	Glioblastoma	Device: Tumor Electric Fields Treatment System	The treatment-related adverse events|Time to Progression|Overall Survival Rate	"Xiangya Hospital of Central South University|Hunan An Tai Kang Cheng Biotechnology Co., Ltd"	All	"18 Years to 65 Years   (Adult, Older Adult)"	Early Phase 1	5	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	202001012	7-Apr-20	May-21	May-21	5-Jun-20		11-Jun-20	"Xiangya Hospital Central South University, Changsha, Hunan, China"		https://ClinicalTrials.gov/show/NCT04417933
9	NCT03529448	TN-TC11G (THC+CBD) Combination With Temozolomide and Radiotherapy in Patients With Newly-diagnosed Glioblastoma	GEINOCANN	Not yet recruiting	No Results Available	Glioblastoma	Drug: TN-TC11G|Drug: Temozolomide Oral Product|Radiation: Radiotherapy	THC-CBD Maximum tolerated dose|Incidence of Treatment-Emergent Adverse Events|Antitumor activity of THC-CBD combination with temozolamide and radiotherapy|Overall survival|Progression free survival|Expression of Midkine	Grupo Español de Investigación en Neurooncología|Medical Cannabis Bike Tour|Voices Against Brain Cancer|Tilray	All	"18 Years to 70 Years   (Adult, Older Adult)"	Phase 1|Phase 2	30	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GEINO-1601|2016-003216-12	Nov-21	Dec-21	Jun-23	18-May-18		16-Dec-20	"Institut Català d'Oncología L'Hospitalet, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitario Son Espases, Palma de Mallorca, Mallorca, Spain|Consorcio Hospitalario Provincial de Castellón, Castelló, Valencia, Spain|Hospital del Mar, Barcelona, Spain|Complejo Hospitalario Regional Virgen de las Nieves, Granada, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Regional Universitario de Malaga, Malaga, Spain|Hospital Clínico Universitario de Salamanca, Salamanca, Spain"		https://ClinicalTrials.gov/show/NCT03529448
10	NCT03139916	Bavituximab With Radiation and Temozolomide for Patients With Newly Diagnosed Glioblastoma		"Active, not recruiting"	No Results Available	Glioblastoma	Drug: Temozolomide|Drug: Bavituximab|Radiation: Radiation	Overall Survival|Radiographic Response|Progression Free Survival	Massachusetts General Hospital|Peregrine Pharmaceuticals|National Comprehensive Cancer Network	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	36	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17-037	13-Sep-17	31-Aug-22	31-Aug-22	4-May-17		29-Oct-21	"Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts general Hospital, Boston, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT03139916
