,Regulon_ID,PCA_1Var,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPVal,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMember,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
0,0,0.553400991,0.128946018,0.154866339,0,0.001996008,0.424454973,0.398534652,0.210055804,0.47507634,0,0.001996008,0.343345188,0.078324651
1,1,0.656599027,0.228746172,0.309327093,0,0.001996008,0.427852855,0.347271935,0.281429178,0.459485196,0,0.001996008,0.37516985,0.197113831
2,2,0.774792577,0.206710628,0.324985056,0,0.001996008,0.568081948,0.449807521,0.338562714,0.508553633,0,0.001996008,0.436229863,0.266238944
3,3,0.692081823,0.12929201,0.285913456,0,0.001996008,0.562789813,0.406168367,0.287411515,0.52999006,0,0.001996008,0.404670308,0.162091764
4,4,0.545063611,0.124160099,0.150591375,0,0.001996008,0.420903513,0.394472236,0.251199427,0.477397505,0,0.001996008,0.293864184,0.067666106
5,5,0.610766824,0.173030195,0.255483726,0,0.001996008,0.437736629,0.355283098,0.238719531,0.480809734,0,0.001996008,0.372047293,0.12995709
6,6,0.706278494,0.163925193,0.272347078,0,0.001996008,0.542353301,0.433931416,0.251533003,0.555098389,0,0.001996008,0.454745491,0.151180105
7,7,0.623635587,0.149116138,0.266493489,0,0.001996008,0.474519449,0.357142098,0.25224152,0.432605444,0,0.001996008,0.371394067,0.191030143
8,8,0.646326382,0.142169562,0.272233638,0,0.001996008,0.504156819,0.374092744,0.278751721,0.371633547,0,0.001996008,0.367574661,0.274692834
9,9,0.708895688,0.13239615,0.28952407,0,0.001996008,0.576499538,0.419371618,0.331358785,0.565744128,0,0.001996008,0.377536903,0.14315156
10,10,0.617512274,0.137802281,0.290746654,0,0.001996008,0.479709992,0.32676562,0.260913568,0.447475937,0,0.001996008,0.356598706,0.170036336
11,11,0.740860883,0.150779079,0.329159481,0,0.001996008,0.590081804,0.411701402,0.348317173,0.49120736,0,0.001996008,0.392543711,0.249653523
12,12,0.832305279,0.195030411,0.357324218,0,0.001996008,0.637274868,0.474981061,0.451851505,0.619447089,0,0.001996008,0.380453774,0.21285819
13,13,0.848193924,0.149540721,0.319681124,0,0.001996008,0.698653203,0.5285128,0.392625935,0.705484475,0,0.001996008,0.455567989,0.142709449
14,14,0.66027168,0.145446951,0.35504252,0,0.001996008,0.514824729,0.30522916,0.359846413,0.470359502,0,0.001996008,0.300425267,0.189912178
15,15,0.608654501,0.126911897,0.336542569,0,0.001996008,0.481742604,0.272111932,0.35238124,0.4086927,0,0.001996008,0.256273261,0.199961801
16,16,0.750958954,0.149046122,0.347961093,0,0.001996008,0.601912832,0.402997862,0.366269738,0.522333284,0,0.001996008,0.384689217,0.22862567
17,17,0.506146634,0.135076552,0.140618428,0,0.001996008,0.371070082,0.365528206,0.232564225,0.485763034,0,0.001996008,0.273582409,0.0203836
