,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2411,ADAMTS20_code_potential_somatic,ENSG00000198815,2411,1.0,1.5590904301843123,0.22339794471817043,1.2597899026040629e-07,9.071488701873431,4.180290112279519,1.0
2422,ADAMTS20_code_potential_somatic,ENSG00000198815,2422,1.0,1.5590904301843123,0.2797112143012929,2.620822559397025e-11,3.5076215179269,1.455768690328618,1.0
2423,ADAMTS20_code_potential_somatic,ENSG00000198815,2423,1.0,1.5590904301843123,0.33707831003095634,5.005455565380171e-16,4.435968546990866,1.8534953755714056,1.0
1440,ADAMTS20_code_potential_somatic,ENSG00000221869,1440,1.0,1.9862105328507098,0.7210168824377889,4.8594174980191e-89,5.531213941780852,2.249254831493717,1.0
1442,ADAMTS20_code_potential_somatic,ENSG00000221869,1442,1.0,1.9862105328507098,0.34831433390961264,4.477296755863648e-17,3.0287464750189197,1.3154371202394006,1.0
3756,ADAMTS20_code_potential_somatic,ENSG00000176842,3756,-1.0,1.7980272412198,0.1922083134370656,5.855888948107238e-06,-2.9913085852346066,1.8277071082477305,1.0
366,ADAMTS20_code_potential_somatic,ENSG00000163497,366,-1.0,4.380410645717487,0.2894018731355593,4.928790824080555e-12,-5.289153599750634,3.5879232366696687,1.0
962,ADAMTS20_code_potential_somatic,ENSG00000101412,962,-1.0,1.3793429863590985,0.5285187508062114,9.327641426056122e-41,-3.3510722086558182,1.4219703946499291,1.0
965,ADAMTS20_code_potential_somatic,ENSG00000101412,965,-1.0,1.3793429863590985,0.6201656764623934,1.50771877898473e-59,-4.235189919936826,1.8328154388591433,1.0
964,ADAMTS20_code_potential_somatic,ENSG00000101412,964,-1.0,1.3793429863590985,0.3713515772427513,2.320072316957606e-19,-3.838981731983038,1.8794210068709285,1.0
524,ADAMTS20_code_potential_somatic,ENSG00000120690,524,1.0,1.7167530188869322,0.6207065899937414,1.1183039932827503e-59,3.499774545911685,1.565938693754317,1.0
519,ADAMTS20_code_potential_somatic,ENSG00000120690,519,1.0,1.7167530188869322,0.43115883614483685,3.239143679177495e-26,4.177454851447648,1.7405433363572032,1.0
