,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1396,ARHGAP32_code_potential_somatic,ENSG00000125398,1396,-1.0,2.1040964435373106,0.3393591450736945,3.0906595458958634e-16,-8.78074805708919,2.5216452488378853,1.0
1401,ARHGAP32_code_potential_somatic,ENSG00000125398,1401,-1.0,2.1040964435373106,0.3077216828521442,1.749994526371816e-13,-5.932808679570414,1.990733265140691,1.0
2108,ARHGAP32_code_potential_somatic,ENSG00000069667,2108,-1.0,2.063958318263194,0.4641315191364751,1.2586947641370024e-30,-19.561670354371582,48.64821232565588,1.0
867,ARHGAP32_code_potential_somatic,ENSG00000244405,867,-1.0,6.444588879021094,0.35117596920540917,2.3832019713847523e-17,-5.868852348544079,1.8521974280301576,1.0
255,ARHGAP32_code_potential_somatic,ENSG00000177606,255,-1.0,1.5686644104413154,0.46501566264787897,9.438461489358275e-31,-11.073766043581594,5.138622525727868,0.8
251,ARHGAP32_code_potential_somatic,ENSG00000177606,251,-1.0,1.5686644104413154,0.7020705437872713,1.4989788859365892e-82,-7.256087355036599,9.466581435193243,0.8
236,ARHGAP32_code_potential_somatic,ENSG00000177606,236,-1.0,1.5686644104413154,0.5406569292022357,6.389904688620846e-43,-4.6811933566824795,1.4856150421343712,0.8
243,ARHGAP32_code_potential_somatic,ENSG00000177606,243,-1.0,1.5686644104413154,0.5406951387857389,6.28842195941703e-43,-8.890381025418172,2.594215938003399,0.8
3009,ARHGAP32_code_potential_somatic,ENSG00000157554,3009,-1.0,1.6874215611268972,0.13801075512272754,0.0011999859853497744,-6.475840984367138,2.271143601983243,1.0
3480,ARHGAP32_code_potential_somatic,ENSG00000203883,3480,-1.0,1.5476007227742838,0.11423360216400416,0.0074328701632500145,-5.107512150306845,1.7709912959472034,1.0
3080,ARHGAP32_code_potential_somatic,ENSG00000100968,3080,-1.0,1.9368869675079865,0.2615669852281313,5.044484278144171e-10,-4.29308908991194,1.426068331342699,1.0
3077,ARHGAP32_code_potential_somatic,ENSG00000100968,3077,-1.0,1.9368869675079865,0.2735208242594688,7.369346362521313e-11,-8.539883900489652,2.782582487636228,1.0
390,ARHGAP32_code_potential_somatic,ENSG00000168610,390,-1.0,1.4193950107512399,0.4318538719662096,2.644574074210169e-26,-3.814384698496832,1.5352152218495514,1.0
2133,ARHGAP32_code_potential_somatic,ENSG00000175592,2133,-1.0,1.8239043179724757,0.6836078772118992,1.0539597238896441e-76,-6.466752440415792,2.305342546689638,1.0
2139,ARHGAP32_code_potential_somatic,ENSG00000175592,2139,-1.0,1.8239043179724757,0.6268982925785104,3.5071788300740385e-61,-5.81514888519137,1.7000544481720334,1.0
2140,ARHGAP32_code_potential_somatic,ENSG00000175592,2140,-1.0,1.8239043179724757,0.7417272058870178,8.857405543262781e-97,-11.922363548422744,4.531556462513426,1.0
2132,ARHGAP32_code_potential_somatic,ENSG00000175592,2132,-1.0,1.8239043179724757,0.45086644970331796,8.55900065237079e-29,-5.775288114982142,1.8035620968358168,1.0
2489,ARHGAP32_code_potential_somatic,ENSG00000106511,2489,-1.0,2.0677325730848977,0.3264023044753996,4.536191596632064e-15,-11.482492077794074,6.856678760059269,1.0
2474,ARHGAP32_code_potential_somatic,ENSG00000106511,2474,-1.0,2.0677325730848977,0.2722700437521607,9.052790659408268e-11,-4.147255428555727,1.3760380416906446,1.0
2481,ARHGAP32_code_potential_somatic,ENSG00000106511,2481,-1.0,2.0677325730848977,0.38656628338225113,5.647822511674906e-21,-6.117264954622961,1.8111443593367462,1.0
176,ARHGAP32_code_potential_somatic,ENSG00000007866,176,-1.0,1.9574227964413171,0.27873402607891573,3.090751918851442e-11,-3.7205329794811113,1.4317014383222366,1.0
180,ARHGAP32_code_potential_somatic,ENSG00000007866,180,-1.0,1.9574227964413171,0.5138902409296537,2.9129729113115976e-38,-7.1085283976813844,2.2476266302945356,1.0
2105,ARHGAP32_code_potential_somatic,ENSG00000183072,2105,-1.0,4.474516072078318,0.1687019086009387,7.227411653022727e-05,-8.805654164663057,2.739909717302134,1.0
