,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2364,ATP2B2_code_potential_somatic,ENSG00000148516,2364,1.0,1.3036439806190905,-0.5002130330118405,4.894209518590839e-36,-6.3494834669934646,4.464657912608434,1.0
2460,ATP2B2_code_potential_somatic,ENSG00000071794,2460,1.0,1.3703555028961723,0.32226064813224775,1.042382829558717e-14,3.6530615966747177,1.6132109083904171,1.0
1079,ATP2B2_code_potential_somatic,ENSG00000163848,1079,1.0,1.4873579766441747,0.3841071612561824,1.043439722072115e-20,4.194927132774605,1.7690559863502575,1.0
1066,ATP2B2_code_potential_somatic,ENSG00000163848,1066,1.0,1.4873579766441747,0.5698172582917531,1.6976368826165313e-48,3.2380963924714896,1.4920348621861603,1.0
2295,ATP2B2_code_potential_somatic,ENSG00000118689,2295,1.0,1.742753467158001,0.5623378781591177,5.16358797112004e-47,3.744715600790908,1.5672379607320144,0.8333333333333334
2288,ATP2B2_code_potential_somatic,ENSG00000118689,2288,1.0,1.742753467158001,0.5098697031326828,1.3458184188233866e-37,4.144633339902279,1.7892814697119974,0.8333333333333334
2296,ATP2B2_code_potential_somatic,ENSG00000118689,2296,1.0,1.742753467158001,0.3734317390530455,1.4121369632795847e-19,3.261430431999953,1.4070147205492882,0.8333333333333334
2284,ATP2B2_code_potential_somatic,ENSG00000118689,2284,1.0,1.742753467158001,0.4971650166178875,1.4860743483863024e-35,3.707070800574418,1.5552287715506192,0.8333333333333334
2289,ATP2B2_code_potential_somatic,ENSG00000118689,2289,1.0,1.742753467158001,0.6409212826432166,1.0255208479425349e-64,3.7145762968623637,1.609363672759379,0.8333333333333334
3670,ATP2B2_code_potential_somatic,ENSG00000198517,3670,-1.0,2.7748443646215732,-0.25834002547937535,8.34216608914833e-10,3.3410140368268766,1.4698470753869723,1.0
3669,ATP2B2_code_potential_somatic,ENSG00000198517,3669,-1.0,2.7748443646215732,-0.2741466155679115,6.64586917121238e-11,3.7243530648269205,1.5662373950977706,1.0
3668,ATP2B2_code_potential_somatic,ENSG00000198517,3668,-1.0,2.7748443646215732,-0.15469733233667574,0.00027797277635311095,6.953984827913974,3.438235541670531,1.0
3667,ATP2B2_code_potential_somatic,ENSG00000198517,3667,-1.0,2.7748443646215732,-0.1701148263611417,6.270266554270235e-05,4.460230595667085,1.8784661750944103,1.0
3206,ATP2B2_code_potential_somatic,ENSG00000171634,3206,1.0,1.4148504008448837,0.5092732982023923,1.6858867508120433e-37,3.733354343546948,1.583626985157589,1.0
3214,ATP2B2_code_potential_somatic,ENSG00000171634,3214,1.0,1.4148504008448837,0.7117582774244728,8.383930012079178e-86,4.067044981051839,1.6755756478025614,1.0
3203,ATP2B2_code_potential_somatic,ENSG00000171634,3203,1.0,1.4148504008448837,0.5135587509170483,3.307287696480564e-38,3.7068133239013252,1.8587116750528543,1.0
1548,ATP2B2_code_potential_somatic,ENSG00000123364,1548,1.0,1.3409770641989454,0.45285051907844587,4.607026336387008e-29,4.349356107025574,1.7541366027461482,1.0
3553,ATP2B2_code_potential_somatic,ENSG00000167157,3553,-1.0,4.249154325649594,-0.3781314885066346,4.538711291597494e-20,4.250417241899407,1.8253378544682115,1.0
3551,ATP2B2_code_potential_somatic,ENSG00000167157,3551,-1.0,4.249154325649594,0.23820553109920556,1.652084474045135e-08,-3.4023927947493218,1.4529426312595672,1.0
1662,ATP2B2_code_potential_somatic,ENSG00000143190,1662,1.0,1.3287905006431204,0.49261829493817083,7.631470075785453e-35,3.2604258904879937,1.3716790179131297,1.0
1665,ATP2B2_code_potential_somatic,ENSG00000143190,1665,1.0,1.3287905006431204,0.32183975936129333,1.133541093086075e-14,3.952359755636713,2.0130934001502707,1.0
1667,ATP2B2_code_potential_somatic,ENSG00000143190,1667,1.0,1.3287905006431204,0.6538399865770609,3.871989707205816e-68,2.4767311594354013,1.325467351281116,1.0
2897,ATP2B2_code_potential_somatic,ENSG00000109381,2897,1.0,1.5924614960428305,0.6838262697740976,9.040613206213917e-77,3.87204204132218,1.9747597430009476,1.0
1173,ATP2B2_code_potential_somatic,ENSG00000162702,1173,1.0,1.6536157056714134,0.5996722142752609,8.199544904969831e-55,3.532501862404449,1.489503865565755,1.0
1174,ATP2B2_code_potential_somatic,ENSG00000162702,1174,1.0,1.6536157056714134,0.34445100958980335,1.038254108147545e-16,2.826921745841698,1.3735136496025881,1.0
1152,ATP2B2_code_potential_somatic,ENSG00000162702,1152,1.0,1.6536157056714134,0.668571312317625,2.976059038259947e-72,3.0072430305798328,1.3651660160580572,1.0
25,ATP2B2_code_potential_somatic,ENSG00000196712,25,1.0,1.3262599899575507,0.568410576850228,3.2484746207953633e-48,3.624512388628872,1.5624093951707665,1.0
1235,ATP2B2_code_potential_somatic,ENSG00000110777,1235,-1.0,5.01602708139677,0.36754829584680226,5.697930515715456e-19,-2.9381968408622963,1.32549194416819,1.0
2859,ATP2B2_code_potential_somatic,ENSG00000116132,2859,1.0,1.3317562183519709,0.3618801944342784,2.1266635781518953e-18,4.306789555943457,2.601065952366516,1.0
1180,ATP2B2_code_potential_somatic,ENSG00000100811,1180,1.0,1.434538615193656,0.35689748973974245,6.624743754004093e-18,3.064488266933584,1.4256737055208395,1.0
1183,ATP2B2_code_potential_somatic,ENSG00000100811,1183,1.0,1.434538615193656,0.43649723997740386,6.740456233367988e-27,4.105437520039445,1.8092361465527316,1.0
924,ATP2B2_code_potential_somatic,ENSG00000106459,924,1.0,1.384285946835807,0.662848041726032,1.2585998410611911e-70,3.198537640537024,1.4244610477205888,1.0
919,ATP2B2_code_potential_somatic,ENSG00000106459,919,1.0,1.384285946835807,0.6639871102449301,6.013057518937056e-71,3.104813407399163,1.4199062746133704,1.0
923,ATP2B2_code_potential_somatic,ENSG00000106459,923,1.0,1.384285946835807,0.7121543007985294,6.132342355537881e-86,3.1974712514323635,1.433515747453667,1.0
