,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1594,ATP8A2_code_potential_somatic,ENSG00000185811,1594,-1.0,7.293864013582127,0.4067356203810794,3.010990387751692e-23,-4.111979604399094,1.3155022057834997,1.0
1589,ATP8A2_code_potential_somatic,ENSG00000185811,1589,-1.0,7.293864013582127,0.48857770440176596,3.2002803666066633e-34,-4.035149382482626,1.3697759014680495,1.0
1595,ATP8A2_code_potential_somatic,ENSG00000185811,1595,-1.0,7.293864013582127,0.45970832233167136,5.247039673838221e-30,-5.484853336925109,1.837949794989948,1.0
1584,ATP8A2_code_potential_somatic,ENSG00000185811,1584,-1.0,7.293864013582127,-0.32656126800982105,4.392501871817817e-15,9.474066602421363,2.633528436703131,1.0
885,ATP8A2_code_potential_somatic,ENSG00000139083,885,-1.0,1.740927074205859,0.3774455682971878,5.362641469225887e-20,-6.378752203267424,3.1345918174426033,1.0
638,ATP8A2_code_potential_somatic,ENSG00000115844,638,1.0,2.37397162207214,-0.29335108766423285,2.4485398762962622e-12,-3.544020910927953,1.3725348075272132,1.0
636,ATP8A2_code_potential_somatic,ENSG00000115844,636,1.0,2.37397162207214,-0.2767374295027716,4.3205118507878994e-11,-6.081317193208661,1.7946250754594335,1.0
2725,ATP8A2_code_potential_somatic,ENSG00000130726,2725,1.0,1.3012051487378264,0.25870192273686793,7.887269778888437e-10,5.0367209487806655,1.5734724231401582,1.0
1573,ATP8A2_code_potential_somatic,ENSG00000105866,1573,1.0,1.3692489502884706,0.2605493998506764,5.915990779892945e-10,5.391617334163149,1.5749776742105612,1.0
1578,ATP8A2_code_potential_somatic,ENSG00000105866,1578,1.0,1.3692489502884706,-0.32483695117566297,6.221744664343175e-15,-4.236635546723742,1.3384557083750475,1.0
1574,ATP8A2_code_potential_somatic,ENSG00000105866,1574,1.0,1.3692489502884706,-0.21339921132211218,4.598802402890166e-07,-3.7941270675925187,1.5233962507884888,1.0
221,ATP8A2_code_potential_somatic,ENSG00000020633,221,-1.0,11.439605787207254,0.6379715611320159,5.8828214436437776e-64,-19.483669231659952,42.567837283252274,1.0
222,ATP8A2_code_potential_somatic,ENSG00000020633,222,-1.0,11.439605787207254,0.34106202370642147,2.15072407207988e-16,-6.117313671475346,2.3801558649937156,1.0
1549,ATP8A2_code_potential_somatic,ENSG00000134323,1549,1.0,1.3692489502884706,0.41189610172557833,7.441609030900848e-24,8.154378449687634,2.2089576127382275,1.0
344,ATP8A2_code_potential_somatic,ENSG00000159216,344,-1.0,7.569922362763173,0.46056329822208036,3.988216844167444e-30,-16.88596861583078,14.553701956535521,1.0
349,ATP8A2_code_potential_somatic,ENSG00000159216,349,-1.0,7.569922362763173,0.5700792564473387,1.503842326774578e-48,-5.309835974760447,1.8109281487913858,1.0
351,ATP8A2_code_potential_somatic,ENSG00000159216,351,-1.0,7.569922362763173,0.21215047254827368,5.382833661546578e-07,-7.430015001634447,7.865533603710155,1.0
348,ATP8A2_code_potential_somatic,ENSG00000159216,348,-1.0,7.569922362763173,0.3131232345841649,6.247962558606434e-14,-4.4811500819362005,1.396737119679978,1.0
2194,ATP8A2_code_potential_somatic,ENSG00000132170,2194,-1.0,3.6985982516423657,0.2643689727389935,3.2412030433939317e-10,-7.824364449983252,2.9770042582548806,1.0
2197,ATP8A2_code_potential_somatic,ENSG00000132170,2197,-1.0,3.6985982516423657,0.4633611293469509,1.616432207712841e-30,-7.741950611703235,2.5621233055370047,1.0
2191,ATP8A2_code_potential_somatic,ENSG00000132170,2191,-1.0,3.6985982516423657,0.41826857064146233,1.2803951378042436e-24,-21.114734731719743,56.30273428536446,1.0
2086,ATP8A2_code_potential_somatic,ENSG00000030419,2086,1.0,1.9044161499758823,-0.13424557984756566,0.0016343767298333338,-4.042251521188005,1.5142235737557526,0.6666666666666666
2089,ATP8A2_code_potential_somatic,ENSG00000030419,2089,1.0,1.9044161499758823,-0.23865611061295247,1.5496989846009427e-08,-5.047930017858404,1.5982520520443007,0.6666666666666666
2635,ATP8A2_code_potential_somatic,ENSG00000126767,2635,-1.0,1.3074400903604126,0.21146284588332206,5.867884816022567e-07,-3.182551305814011,1.3342808431221989,1.0
159,ATP8A2_code_potential_somatic,ENSG00000178573,159,-1.0,22.15514301343096,0.4123296784116655,6.609690096601123e-24,-4.2756653562336195,1.6382894343702272,1.0
157,ATP8A2_code_potential_somatic,ENSG00000178573,157,-1.0,22.15514301343096,0.42850990572514464,6.986103301632626e-26,-9.504097048616233,14.095227363428348,1.0
158,ATP8A2_code_potential_somatic,ENSG00000178573,158,-1.0,22.15514301343096,0.4564464343567742,1.4837418012313657e-29,-5.411424093756886,2.2651777454905315,1.0
166,ATP8A2_code_potential_somatic,ENSG00000178573,166,-1.0,22.15514301343096,0.5169340280185626,9.020489212937334e-39,-7.791014603733165,2.9843306919641055,1.0
154,ATP8A2_code_potential_somatic,ENSG00000178573,154,-1.0,22.15514301343096,0.6056710459662019,3.657733594393192e-56,-13.04855362681123,4.622708674336676,1.0
164,ATP8A2_code_potential_somatic,ENSG00000178573,164,-1.0,22.15514301343096,0.38102057068346373,2.238185444011674e-20,-3.493465191808392,1.331173550404974,1.0
3103,ATP8A2_code_potential_somatic,ENSG00000184486,3103,1.0,2.117059219746793,0.3951167714768668,6.415788450770041e-22,4.600210416657206,1.9245436773927986,1.0
1548,ATP8A2_code_potential_somatic,ENSG00000123364,1548,1.0,2.4419336360544115,0.45285051907844587,4.607026336387008e-29,7.063131051477501,2.060802681417664,1.0
2683,ATP8A2_code_potential_somatic,ENSG00000102034,2683,-1.0,1.8530763366644645,0.6078213305259013,1.1804992873636761e-56,-4.532621794807066,2.9630293026004395,1.0
2684,ATP8A2_code_potential_somatic,ENSG00000102034,2684,-1.0,1.8530763366644645,0.4983912324900616,9.518575163682427e-36,-2.5657577890243646,1.313718721777183,1.0
2680,ATP8A2_code_potential_somatic,ENSG00000102034,2680,-1.0,1.8530763366644645,0.6020812519880698,2.3705961429946867e-55,-5.42039511007259,2.004415756478189,1.0
2694,ATP8A2_code_potential_somatic,ENSG00000102034,2694,-1.0,1.8530763366644645,0.6464928933910492,3.5893925114567785e-66,-4.157028788717944,1.400720040587329,1.0
