,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,BMP5_code_potential_somatic,ENSG00000125952,1313,1.0,13.194262653590338,0.6383058949876683,4.830752998599309e-64,4.396065291440047,1.5792551162249582,1.0
1311,BMP5_code_potential_somatic,ENSG00000125952,1311,1.0,13.194262653590338,0.4344864971050772,1.2215048897877538e-26,3.7789534020989977,1.3187813415655012,1.0
1318,BMP5_code_potential_somatic,ENSG00000125952,1318,1.0,13.194262653590338,0.20678596369491634,1.04722012673564e-06,11.56849201920842,7.064696990992503,1.0
1632,BMP5_code_potential_somatic,ENSG00000028277,1632,-1.0,1.7933996201217128,-0.23786617851736172,1.7334905555925857e-08,4.679761349410765,1.5499801125857848,1.0
1630,BMP5_code_potential_somatic,ENSG00000028277,1630,-1.0,1.7933996201217128,-0.28095397371282743,2.1229348738128706e-11,4.4159693427807545,1.5772567343170871,1.0
1631,BMP5_code_potential_somatic,ENSG00000028277,1631,-1.0,1.7933996201217128,-0.15303601756386634,0.0003237671838138839,4.124084504342217,1.3773985143124918,1.0
1633,BMP5_code_potential_somatic,ENSG00000028277,1633,-1.0,1.7933996201217128,-0.15277992585153233,0.0003314232449802602,10.33828094025576,14.523941336761705,1.0
1637,BMP5_code_potential_somatic,ENSG00000028277,1637,-1.0,1.7933996201217128,-0.13222893053198753,0.001922421493676959,6.177543037908137,2.119337280190988,1.0
1628,BMP5_code_potential_somatic,ENSG00000028277,1628,-1.0,1.7933996201217128,-0.2409649465718457,1.1142824862848704e-08,6.076586465568698,1.7914428164323049,1.0
1935,BMP5_code_potential_somatic,ENSG00000006468,1935,1.0,2.107833554248058,0.3921744147899673,1.365953438805359e-21,3.9571479272094483,1.3872582072460944,1.0
1932,BMP5_code_potential_somatic,ENSG00000006468,1932,1.0,2.107833554248058,0.540120244975932,7.999384660910738e-43,9.35537095148762,2.4930568224218344,1.0
1933,BMP5_code_potential_somatic,ENSG00000006468,1933,1.0,2.107833554248058,0.4589397555184592,6.709998790355674e-30,4.610656547303468,1.4455136095847225,1.0
1927,BMP5_code_potential_somatic,ENSG00000006468,1927,1.0,2.107833554248058,0.4984914141826245,9.177637982013544e-36,12.630774623403306,6.939642922964492,1.0
1930,BMP5_code_potential_somatic,ENSG00000006468,1930,1.0,2.107833554248058,0.15684611097536016,0.00022769185105046336,3.6713492782529538,1.31449915690339,1.0
2203,BMP5_code_potential_somatic,ENSG00000169083,2203,1.0,2.33515582801488,0.4748926212262841,3.574342057785658e-32,4.416091553745725,1.4606293371613945,1.0
2198,BMP5_code_potential_somatic,ENSG00000169083,2198,1.0,2.33515582801488,0.29772499118955553,1.1139578145517225e-12,4.571236589503812,1.559776151874622,1.0
2201,BMP5_code_potential_somatic,ENSG00000169083,2201,1.0,2.33515582801488,0.3049596549820448,2.9391888289980374e-13,6.152637999631519,1.7651552104790715,1.0
3062,BMP5_code_potential_somatic,ENSG00000124782,3062,-1.0,2.5967083365741104,0.24550897024662027,5.764362489184945e-09,-6.164793577156924,2.325889273852101,1.0
3060,BMP5_code_potential_somatic,ENSG00000124782,3060,-1.0,2.5967083365741104,-0.2421508291224404,9.393871131402554e-09,5.644538585196402,1.980529067860452,1.0
3055,BMP5_code_potential_somatic,ENSG00000124782,3055,-1.0,2.5967083365741104,-0.19280315202813042,5.472192633314826e-06,5.741669800253269,2.180936409826213,1.0
2360,BMP5_code_potential_somatic,ENSG00000148516,2360,1.0,2.4119893394051513,0.2313211831232937,4.32147003187175e-08,5.282929931589985,1.6851919286722004,1.0
2365,BMP5_code_potential_somatic,ENSG00000148516,2365,1.0,2.4119893394051513,0.4191433805141479,1.0026158581791103e-24,7.2825626395478675,2.1376556416501487,1.0
2361,BMP5_code_potential_somatic,ENSG00000148516,2361,1.0,2.4119893394051513,0.3585273034818775,4.578396266516501e-18,5.622017947450217,1.6974564059807413,1.0
2318,BMP5_code_potential_somatic,ENSG00000135457,2318,1.0,2.760575723175846,0.36490429337901564,1.0566881936261309e-18,7.500519822626457,4.460403002848578,1.0
2321,BMP5_code_potential_somatic,ENSG00000135457,2321,1.0,2.760575723175846,0.43875794936165574,3.438064899905261e-27,5.537547513725922,1.8327353570393083,1.0
2500,BMP5_code_potential_somatic,ENSG00000184058,2500,-1.0,1.395620423276436,-0.4294196751368483,5.36936576208349e-26,5.752732509345653,2.5216482571820285,1.0
3598,BMP5_code_potential_somatic,ENSG00000168779,3598,1.0,1.6743098553527698,0.2266405497352884,8.16925935622826e-08,14.775583114505354,17.936581975865536,1.0
2520,BMP5_code_potential_somatic,ENSG00000112333,2520,1.0,4.891630162732158,0.5670993464484083,5.931604568650053e-48,21.90728633794302,18.487425839843855,1.0
2528,BMP5_code_potential_somatic,ENSG00000112333,2528,1.0,4.891630162732158,0.5900396803607918,1.0560480916954014e-52,8.139431802537901,2.6937375362793596,1.0
2521,BMP5_code_potential_somatic,ENSG00000112333,2521,1.0,4.891630162732158,-0.22798156343844547,6.816424123189805e-08,-9.156409810335674,7.172361137864127,1.0
2525,BMP5_code_potential_somatic,ENSG00000112333,2525,1.0,4.891630162732158,0.4068991778158076,2.8815856743790265e-23,3.900989819357507,1.3048550457776433,1.0
2524,BMP5_code_potential_somatic,ENSG00000112333,2524,1.0,4.891630162732158,0.18161685894327023,1.89040325177178e-05,9.664709705932063,4.6794183810704375,1.0
2519,BMP5_code_potential_somatic,ENSG00000112333,2519,1.0,4.891630162732158,0.5367556869751333,3.2412023142188855e-42,5.9405024902059465,1.7062277531041123,1.0
1823,BMP5_code_potential_somatic,ENSG00000096401,1823,1.0,6.350203786107119,0.5108129839956534,9.415499959187543e-38,7.261483315011636,3.3799305430820286,1.0
1545,BMP5_code_potential_somatic,ENSG00000164048,1545,1.0,2.3539664063917733,0.2715641873240874,1.0162624710567647e-10,3.964140539620615,1.7170907612271245,1.0
2605,BMP5_code_potential_somatic,ENSG00000147601,2605,1.0,1.9659524287760433,0.34344283077011933,1.2906175885613344e-16,6.276277280309864,1.7650684849754406,1.0
88,BMP5_code_potential_somatic,ENSG00000213928,88,1.0,3.9818583550124513,0.18557403008363016,1.2294946352902099e-05,3.96350275728979,1.5392326107668555,1.0
77,BMP5_code_potential_somatic,ENSG00000213928,77,1.0,3.9818583550124513,-0.21401647110141386,4.253032343117396e-07,-8.50877495378363,2.5967083365741104,1.0
80,BMP5_code_potential_somatic,ENSG00000213928,80,1.0,3.9818583550124513,0.3026300370931928,4.532306656935337e-13,2.9000976213549823,1.3842302416265284,1.0
84,BMP5_code_potential_somatic,ENSG00000213928,84,1.0,3.9818583550124513,0.41823663209647305,1.29186083823815e-24,12.476169371740419,12.198297076278191,1.0
82,BMP5_code_potential_somatic,ENSG00000213928,82,1.0,3.9818583550124513,0.28806095624441214,6.234947022058461e-12,5.647166436173994,3.7073342975128214,1.0
76,BMP5_code_potential_somatic,ENSG00000213928,76,1.0,3.9818583550124513,0.19374657872920614,4.9124323702480266e-06,5.246142150642131,1.6979636538805452,1.0
87,BMP5_code_potential_somatic,ENSG00000213928,87,1.0,3.9818583550124513,0.22985952071619345,5.279957872053686e-08,4.08403337785531,1.3867034751446827,1.0
284,BMP5_code_potential_somatic,ENSG00000072310,284,1.0,1.5129303988250913,0.23808938373702415,1.6795208407915718e-08,6.4857780952721775,1.8805033807239087,1.0
282,BMP5_code_potential_somatic,ENSG00000072310,282,1.0,1.5129303988250913,0.3722129700097792,1.8897356559465879e-19,4.923558202541382,3.5904745041846775,1.0
286,BMP5_code_potential_somatic,ENSG00000072310,286,1.0,1.5129303988250913,0.35272739496612077,1.6885623802112602e-17,5.921874017010046,1.878313742207355,1.0
283,BMP5_code_potential_somatic,ENSG00000072310,283,1.0,1.5129303988250913,0.3281347882434362,3.1907385401537325e-15,5.7583585436360325,7.063345214416685,1.0
2460,BMP5_code_potential_somatic,ENSG00000071794,2460,1.0,1.3203814753305205,0.32226064813224775,1.042382829558717e-14,11.092189914136233,22.600284241269815,1.0
