,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1584,C1orf177_code_potential_somatic,ENSG00000185811,1584,1.0,1.4504064278105573,-0.32656126800982105,4.392501871817817e-15,-4.394062675832357,1.391828109373796,1.0
361,C1orf177_code_potential_somatic,ENSG00000163497,361,-1.0,3.362908621557546,-0.23103258225524304,4.496299133309155e-08,4.202791762711869,1.3667694036445424,1.0
963,C1orf177_code_potential_somatic,ENSG00000101412,963,-1.0,2.093379659548774,0.6513661348023898,1.8046161375597924e-67,-10.236401247143231,2.6032427099340185,1.0
959,C1orf177_code_potential_somatic,ENSG00000101412,959,-1.0,2.093379659548774,0.7769628587535349,8.154332160431679e-112,-6.9728092260374845,1.8329344559563128,1.0
964,C1orf177_code_potential_somatic,ENSG00000101412,964,-1.0,2.093379659548774,0.3713515772427513,2.320072316957606e-19,-3.9980347377492165,1.7238979378713435,1.0
636,C1orf177_code_potential_somatic,ENSG00000115844,636,-1.0,1.7404591761924812,-0.2767374295027716,4.3205118507878994e-11,4.07466736650322,1.3293177811896542,1.0
221,C1orf177_code_potential_somatic,ENSG00000020633,221,1.0,1.454223822286941,0.6379715611320159,5.8828214436437776e-64,4.552650435228129,1.451952107105218,1.0
344,C1orf177_code_potential_somatic,ENSG00000159216,344,1.0,1.4399469319025477,0.46056329822208036,3.988216844167444e-30,4.977751989993606,1.5780429148572117,1.0
3043,C1orf177_code_potential_somatic,ENSG00000183734,3043,1.0,10.398494330837268,-0.21679592662505762,2.9825833509942507e-07,-3.207077208840904,1.885081893237882,1.0
3040,C1orf177_code_potential_somatic,ENSG00000183734,3040,1.0,10.398494330837268,-0.26506586012361094,2.901186024188211e-10,-5.040083199421276,1.6143347441175226,1.0
159,C1orf177_code_potential_somatic,ENSG00000178573,159,1.0,1.5591636410938385,0.4123296784116655,6.609690096601123e-24,4.067282883447362,1.3215239580452702,0.75
169,C1orf177_code_potential_somatic,ENSG00000178573,169,1.0,1.5591636410938385,0.3551133792825451,9.902752147500087e-18,6.884171470366318,2.571425792080091,0.75
154,C1orf177_code_potential_somatic,ENSG00000178573,154,1.0,1.5591636410938385,0.6056710459662019,3.657733594393192e-56,4.14619946291921,1.3488977561007938,0.75
954,C1orf177_code_potential_somatic,ENSG00000001167,954,-1.0,4.521433344749147,0.18282184628561654,1.6599030319722517e-05,-2.4093724512292463,1.4051248267727656,1.0
948,C1orf177_code_potential_somatic,ENSG00000001167,948,-1.0,4.521433344749147,0.33278359659663453,1.2275265310019254e-15,-6.7965389622519785,1.8033918616970406,1.0
951,C1orf177_code_potential_somatic,ENSG00000001167,951,-1.0,4.521433344749147,0.25354275393531367,1.740094785107997e-09,-4.614700021567496,1.4901257624098982,1.0
946,C1orf177_code_potential_somatic,ENSG00000001167,946,-1.0,4.521433344749147,0.3569742005829587,6.510849095546955e-18,-6.321588699430551,1.7155341927713845,1.0
949,C1orf177_code_potential_somatic,ENSG00000001167,949,-1.0,4.521433344749147,0.3478501312214809,4.9565070544709605e-17,-6.261340535869678,1.7357828896212668,1.0
3329,C1orf177_code_potential_somatic,ENSG00000128604,3329,1.0,1.4823538843102047,0.3914265569876615,1.6532030520778984e-21,4.54315543518031,1.4112722535975373,1.0
956,C1orf177_code_potential_somatic,ENSG00000129173,956,-1.0,1.7320082262808494,0.7719811749257338,1.5861341031969156e-109,-9.10791632966937,2.213943015069872,1.0
957,C1orf177_code_potential_somatic,ENSG00000129173,957,-1.0,1.7320082262808494,0.656211387082988,8.734534768759101e-69,-7.755642170456776,2.0252129996258614,1.0
427,C1orf177_code_potential_somatic,ENSG00000162367,427,1.0,1.4695506955592266,0.21193229874323286,5.532397045538258e-07,4.691294167486462,1.4934683133819822,1.0
434,C1orf177_code_potential_somatic,ENSG00000162367,434,1.0,1.4695506955592266,-0.2973003835469242,1.2031758332860915e-12,-11.460253420314219,6.791137909343154,1.0
3708,C1orf177_code_potential_somatic,ENSG00000122592,3708,-1.0,1.592317235401716,0.30019115007390157,7.10287710032287e-13,-4.201557521138487,1.42814051994664,1.0
623,C1orf177_code_potential_somatic,ENSG00000140968,623,1.0,1.342691341838114,0.7002585782520239,5.881945624895939e-82,4.129828536069998,1.3439858463596697,1.0
632,C1orf177_code_potential_somatic,ENSG00000140968,632,1.0,1.342691341838114,0.4433930489329865,8.510373298026734e-28,4.888831469443844,2.7000492434291155,1.0
3637,C1orf177_code_potential_somatic,ENSG00000076604,3637,-1.0,1.3103729077931425,0.35197939132571,1.9942041758595182e-17,-4.68528286867714,2.4107542051882334,1.0
3636,C1orf177_code_potential_somatic,ENSG00000076604,3636,-1.0,1.3103729077931425,0.34017554678533807,2.5982388973886593e-16,-4.643313578061153,3.9606637969989875,1.0
2830,C1orf177_code_potential_somatic,ENSG00000126456,2830,-1.0,2.1993925478009437,0.5963904193990348,4.371680359735945e-54,-3.9563598977411303,3.8585894793663074,1.0
290,C1orf177_code_potential_somatic,ENSG00000245848,290,1.0,1.5124573379691608,0.6844355813766781,5.888470078524959e-77,4.40548804478524,1.4207621213571437,1.0
303,C1orf177_code_potential_somatic,ENSG00000245848,303,1.0,1.5124573379691608,0.24983584098308886,3.0397722871863267e-09,5.216177377483849,2.063557900396435,1.0
291,C1orf177_code_potential_somatic,ENSG00000245848,291,1.0,1.5124573379691608,0.4604164392503718,4.1808693758050666e-30,3.643759226607263,1.3717181318235876,1.0
317,C1orf177_code_potential_somatic,ENSG00000162924,317,1.0,1.4445555375332693,0.5970365551231214,3.1492219113434006e-54,3.9750489470256123,1.3131311496473437,1.0
598,C1orf177_code_potential_somatic,ENSG00000066336,598,1.0,1.4414863762738248,0.842991717051909,3.817184459638388e-149,5.049052228191995,1.5795084192016946,1.0
916,C1orf177_code_potential_somatic,ENSG00000101057,916,-1.0,2.0234387355130923,0.8137042900539069,9.46897652452271e-131,-4.599297648183383,1.3944141806854013,1.0
325,C1orf177_code_potential_somatic,ENSG00000134532,325,-1.0,1.5822260516391895,-0.2855504991053926,9.649765680304819e-12,4.055482306895504,1.3283081920550135,1.0
1917,C1orf177_code_potential_somatic,ENSG00000167034,1917,1.0,2.3545697306661366,-0.33248572226722545,1.3056476504494472e-15,-6.051199166922212,1.94201087562863,1.0
440,C1orf177_code_potential_somatic,ENSG00000204103,440,1.0,1.5484940105251446,0.8036235227238009,3.706046125832496e-125,5.0279094376535465,1.5591636410938385,1.0
436,C1orf177_code_potential_somatic,ENSG00000204103,436,1.0,1.5484940105251446,0.8007476682127695,1.2734137710494504e-123,4.69378351324147,1.4893162008127974,1.0
455,C1orf177_code_potential_somatic,ENSG00000204103,455,1.0,1.5484940105251446,-0.26549097819960965,2.7111028240438513e-10,-3.389457670703,1.9780939240014535,1.0
652,C1orf177_code_potential_somatic,ENSG00000136630,652,1.0,1.4637505510509248,0.5228179392827843,9.04427376088564e-40,4.543401421654687,1.4482813434604498,1.0
943,C1orf177_code_potential_somatic,ENSG00000112242,943,-1.0,1.4375254253352345,0.4906530535545961,1.5362166371506275e-34,-3.847158280990225,1.3261974093485334,1.0
942,C1orf177_code_potential_somatic,ENSG00000112242,942,-1.0,1.4375254253352345,0.6385192561352451,4.259423352210206e-64,-7.630838265591944,1.954020281617599,1.0
941,C1orf177_code_potential_somatic,ENSG00000112242,941,-1.0,1.4375254253352345,0.5505707119021468,9.360156667283042e-45,-8.465995456857675,2.1157735467950203,1.0
1883,C1orf177_code_potential_somatic,ENSG00000118513,1883,-1.0,4.3972815856127045,0.11562074340720153,0.006737979684180342,-5.791333611390498,3.017553880846428,1.0
306,C1orf177_code_potential_somatic,ENSG00000111424,306,1.0,1.471352896899623,0.6049169900444348,5.427001580336199e-56,4.873700949855911,1.53642498789698,1.0
