,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,CACNA1I_code_potential_somatic,ENSG00000028277,1635,1.0,1.6558232671190183,-0.2939484405422057,2.200584761537425e-12,-4.019225809277894,1.4481154122735906,1.0
365,CACNA1I_code_potential_somatic,ENSG00000163497,365,-1.0,2.0011677516620834,-0.21647528057006557,3.1079592577989785e-07,3.2472333540655174,1.379683950761841,1.0
367,CACNA1I_code_potential_somatic,ENSG00000163497,367,-1.0,2.0011677516620834,-0.2748689275683561,5.896715648202729e-11,2.904803677733279,1.6456684885240982,1.0
3241,CACNA1I_code_potential_somatic,ENSG00000117505,3241,-1.0,3.7654893392902746,0.31129960200051965,8.867027527887206e-14,-4.165900711692228,3.7082955286836308,1.0
1818,CACNA1I_code_potential_somatic,ENSG00000281306,1818,-1.0,2.415191012981504,0.28332858265706384,1.4152249523954455e-11,-2.656979570358557,1.3409680721496808,1.0
1810,CACNA1I_code_potential_somatic,ENSG00000281306,1810,-1.0,2.415191012981504,0.5363910187936461,3.768390707530011e-42,-9.338291781286332,4.671977568824575,1.0
1803,CACNA1I_code_potential_somatic,ENSG00000281306,1803,-1.0,2.415191012981504,0.3945743266454167,7.3790697005791225e-22,-5.89453793691633,1.8895866033670943,1.0
1102,CACNA1I_code_potential_somatic,ENSG00000176887,1102,-1.0,1.4257188936560243,0.2157512882791301,3.409986062831539e-07,-4.01905544495297,1.3140583829170067,1.0
3265,CACNA1I_code_potential_somatic,ENSG00000184481,3265,-1.0,2.5624683049693475,0.3577604138068726,5.449156345779989e-18,-4.443675597623271,3.1418519642996143,1.0
3440,CACNA1I_code_potential_somatic,ENSG00000140044,3440,1.0,1.3576006893054542,-0.33388336174624217,9.768970657786869e-16,-4.758822209533258,1.5257928605078024,0.6666666666666666
3443,CACNA1I_code_potential_somatic,ENSG00000140044,3443,1.0,1.3576006893054542,-0.19450617649896235,4.501918493804057e-06,-4.814165701431764,2.128529622743157,0.6666666666666666
2272,CACNA1I_code_potential_somatic,ENSG00000165030,2272,-1.0,1.3434804865869687,0.24985640415589017,3.030454642546102e-09,-3.628372856962982,1.390099861135359,0.5
3633,CACNA1I_code_potential_somatic,ENSG00000076604,3633,-1.0,2.8160733062676795,-0.32719858052855666,3.859965717150536e-15,3.6046035163038446,1.5219746729926433,1.0
3636,CACNA1I_code_potential_somatic,ENSG00000076604,3636,-1.0,2.8160733062676795,0.34017554678533807,2.5982388973886593e-16,-3.0033636586699957,1.7886760703839777,1.0
3639,CACNA1I_code_potential_somatic,ENSG00000076604,3639,-1.0,2.8160733062676795,-0.3930013168451689,1.1054459076174069e-21,3.3432272491776622,1.325983305877034,1.0
3593,CACNA1I_code_potential_somatic,ENSG00000100219,3593,-1.0,1.4855725906523558,0.39701952123246037,3.9197593473856586e-22,-5.802814110623706,2.416230516436991,1.0
1373,CACNA1I_code_potential_somatic,ENSG00000173153,1373,-1.0,2.9304214928509604,0.30033454532090476,6.918520092551745e-13,-3.9635312964910905,1.339817251328189,1.0
2217,CACNA1I_code_potential_somatic,ENSG00000187140,2217,1.0,1.4499278123338701,-0.22553506779266524,9.476194167613509e-08,-12.528090812808896,13.447720454823285,1.0
2231,CACNA1I_code_potential_somatic,ENSG00000187140,2231,1.0,1.4499278123338701,-0.29864174271478744,9.428389385064682e-13,-2.805275459831979,1.5493521057168727,1.0
