,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2369,CLCNKB_code_potential_somatic,ENSG00000148516,2369,1.0,1.5874794180564713,0.37533828059936836,8.930458685031683e-20,4.438514475957319,1.650159887326595,1.0
2364,CLCNKB_code_potential_somatic,ENSG00000148516,2364,1.0,1.5874794180564713,-0.5002130330118405,4.894209518590839e-36,-5.1232224015289844,1.8209913774905881,1.0
2895,CLCNKB_code_potential_somatic,ENSG00000183918,2895,-1.0,1.9388480345368486,-0.2267472723889433,8.05272998500757e-08,5.506018573439883,2.7193854194489675,1.0
3338,CLCNKB_code_potential_somatic,ENSG00000102974,3338,1.0,1.9648740978007588,0.389319560966052,2.823069605953081e-21,3.4687586386302196,1.38372325434996,1.0
1548,CLCNKB_code_potential_somatic,ENSG00000123364,1548,1.0,3.305265337694645,0.45285051907844587,4.607026336387008e-29,5.143460814133219,1.8948438330398323,1.0
956,CLCNKB_code_potential_somatic,ENSG00000129173,956,1.0,2.22897074046296,0.7719811749257338,1.5861341031969156e-109,3.94495376212406,1.3295332078618651,1.0
957,CLCNKB_code_potential_somatic,ENSG00000129173,957,1.0,2.22897074046296,0.656211387082988,8.734534768759101e-69,3.9134789717107465,1.317405252791305,1.0
2450,CLCNKB_code_potential_somatic,ENSG00000160199,2450,1.0,2.8613930814456756,0.3127503265497468,6.712956277740209e-14,7.3225783739813854,7.881562665804921,1.0
3276,CLCNKB_code_potential_somatic,ENSG00000137309,3276,1.0,2.296399343118373,0.2214413807018415,1.6309420689736685e-07,5.201950453084125,3.3520732912101874,1.0
3274,CLCNKB_code_potential_somatic,ENSG00000137309,3274,1.0,2.296399343118373,0.2960377172340608,1.5118372128146953e-12,8.365756741416279,9.925230474140813,1.0
3748,CLCNKB_code_potential_somatic,ENSG00000128713,3748,1.0,2.722479653111128,0.38202481270608896,1.7476344049928133e-20,3.9857635445062045,1.3519801252065933,1.0
3762,CLCNKB_code_potential_somatic,ENSG00000123388,3762,1.0,2.580683419644513,0.36996947054604434,3.2203666637106646e-19,3.9857635445062045,1.3519801252065933,1.0
3735,CLCNKB_code_potential_somatic,ENSG00000124813,3735,-1.0,1.6845180589614102,0.5087771569692713,2.0327063980921514e-37,-4.039997324787192,1.4555581484164573,1.0
3450,CLCNKB_code_potential_somatic,ENSG00000278129,3450,1.0,4.3973846486481944,0.3326171953188594,1.2705829294413367e-15,7.595373819907766,6.5619682719196915,1.0
1356,CLCNKB_code_potential_somatic,ENSG00000182944,1356,1.0,1.9854577195150334,0.40964210089415537,1.3743982608756978e-23,3.63667521996309,2.1137799287734786,1.0
1182,CLCNKB_code_potential_somatic,ENSG00000100811,1182,1.0,1.5767600042632774,0.5131002359150106,3.9412618460168217e-38,3.4997525508608915,1.448628499857689,1.0
1201,CLCNKB_code_potential_somatic,ENSG00000100811,1201,1.0,1.5767600042632774,0.32495500712163927,6.0756249839644116e-15,4.437426774234108,2.4347181741866994,1.0
